Year,GeoAreaName,Activity,Value
2000,Austria,ISIC4_C10T32X19,9.78
2000,Austria,TOTAL,61.83
2001,Austria,TOTAL,66.19
2001,Austria,ISIC4_C10T32X19,9.58
2002,Austria,TOTAL,67.64
2002,Austria,ISIC4_C10T32X19,9.4
2003,Austria,ISIC4_C10T32X19,9.82
2003,Austria,TOTAL,72.71
2004,Austria,TOTAL,74.01
2004,Austria,ISIC4_C10T32X19,10.12
2005,Austria,ISIC4_C10T32X19,9.48
2005,Austria,TOTAL,74.45
2006,Austria,TOTAL,72.15
2006,Austria,ISIC4_C10T32X19,9.73
2007,Austria,ISIC4_C10T32X19,9.48
2007,Austria,TOTAL,69.12
2008,Austria,TOTAL,68.6
2008,Austria,ISIC4_C10T32X19,9.73
2009,Austria,ISIC4_C10T32X19,9.25
2009,Austria,TOTAL,62.62
2010,Austria,ISIC4_C10T32X19,9.82
2010,Austria,TOTAL,68.34
2011,Austria,ISIC4_C10T32X19,9.88
2011,Austria,TOTAL,66.61
2012,Austria,TOTAL,63.44
2012,Austria,ISIC4_C10T32X19,9.66
2013,Austria,ISIC4_C10T32X19,9.38
2013,Austria,TOTAL,64.1
2014,Austria,TOTAL,60.42
2014,Austria,ISIC4_C10T32X19,9.21
2015,Austria,ISIC4_C10T32X19,9.4
2015,Austria,TOTAL,61.55
2016,Austria,TOTAL,61.97
2016,Austria,ISIC4_C10T32X19,9.7
2017,Austria,ISIC4_C10T32X19,9.5
2017,Austria,TOTAL,64.16
2018,Austria,TOTAL,61.3
2018,Austria,ISIC4_C10T32X19,9.43
2019,Austria,ISIC4_C10T32X19,9.57
2019,Austria,TOTAL,62.73
2020,Austria,TOTAL,57.32
2020,Austria,ISIC4_C10T32X19,9.26
2000,Armenia,TOTAL,3.42
2000,Armenia,ISIC4_C10T32X19,0.72
2001,Armenia,ISIC4_C10T32X19,0.8
2001,Armenia,TOTAL,3.46
2002,Armenia,TOTAL,2.91
2002,Armenia,ISIC4_C10T32X19,0.8
2003,Armenia,ISIC4_C10T32X19,0.99
2003,Armenia,TOTAL,3.28
2004,Armenia,TOTAL,3.47
2004,Armenia,ISIC4_C10T32X19,1.1
2005,Armenia,TOTAL,4.13
2005,Armenia,ISIC4_C10T32X19,1.36
2006,Armenia,TOTAL,4.15
2000,Hungary,ISIC4_C10T32X19,5.69
2000,Hungary,TOTAL,53.28
2001,Hungary,TOTAL,54.92
2001,Hungary,ISIC4_C10T32X19,5.9
2002,Hungary,ISIC4_C10T32X19,5.94
2002,Hungary,TOTAL,54.17
2003,Hungary,TOTAL,56.78
