Year,GeoAreaName,Mode of transportation,Value
2010,Denmark,SEA,734000
2011,Denmark,SEA,782000
2012,Denmark,SEA,762000
2013,Denmark,SEA,747000
2014,Denmark,SEA,744000
2015,Denmark,SEA,750000
2016,Denmark,SEA,787652
2017,Denmark,SEA,812800
2018,Denmark,SEA,828900
2019,Denmark,SEA,869600
2020,Denmark,SEA,921513
2010,Estonia,SEA,152000
2011,Estonia,SEA,198000
2012,Estonia,SEA,227800
2013,Estonia,SEA,253627
2014,Estonia,SEA,260293
2015,Estonia,SEA,208700
2016,Estonia,SEA,202327
2017,Estonia,SEA,215500
2018,Estonia,SEA,222700
2019,Estonia,SEA,239000
2020,Estonia,SEA,214000
2010,Finland,SEA,1223702
2011,Finland,SEA,1399612
2012,Finland,SEA,1474426
2013,Finland,SEA,1457388
2014,Finland,SEA,1440350
2015,Finland,SEA,1416985
2016,Finland,SEA,1513174
2017,Finland,SEA,1632000
2018,Finland,SEA,1599990
2019,Finland,SEA,1608638
2020,Finland,SEA,1532564
2010,France,SEA,5185195
2011,France,SEA,4707864
2012,France,SEA,5194812
2013,France,SEA,5205100
2014,France,SEA,5387900
2015,France,SEA,5381800
2016,France,SEA,5454600
2017,France,SEA,5861000
2018,France,SEA,5963100
2019,France,SEA,5871100
2020,France,SEA,5107857
2010,Georgia,SEA,209800
2011,Georgia,SEA,209800
2012,Georgia,SEA,210000
2013,Georgia,SEA,226000
2014,Georgia,SEA,256000
2015,Georgia,SEA,222000
2016,Georgia,SEA,253500
2017,Georgia,SEA,285000
2018,Georgia,SEA,269250
2019,Georgia,SEA,277125
2020,Georgia,SEA,260498
2010,Germany,SEA,14674340
2011,Germany,SEA,18323981
2012,Germany,SEA,18449700
2013,Germany,SEA,18932700
2014,Germany,SEA,19866700
2015,Germany,SEA,19238700
2016,Germany,SEA,19420700
2017,Germany,SEA,19718533
2018,Germany,SEA,19706500
2019,Germany,SEA,19596415
2020,Germany,SEA,18028702
2010,Greece,SEA,1137000
2011,Greece,SEA,1976000
2012,Greece,SEA,3051900
2013,Greece,SEA,3486000
2014,Greece,SEA,3935200
2015,Greece,SEA,3679000
2016,Greece,SEA,4026000
2017,Greece,SEA,4546200
2018,Greece,SEA,5332000
2019,Greece,SEA,5992400
2020,Greece,SEA,5756000
2010,Iceland,SEA,193000
2011,Iceland,SEA,199850
2012,Iceland,SEA,220500
2013,Iceland,SEA,241900
2014,Iceland,SEA,261700
2015,Iceland,SEA,261700
2016,Iceland,SEA,261700
2017,Iceland,SEA,350348
2018,Iceland,SEA,352300
2019,Iceland,SEA,330292
2020,Iceland,SEA,297263
2010,Ireland,SEA,817362
2011,Ireland,SEA,781000
2012,Ireland,SEA,733000
2013,Ireland,SEA,727000
2014,Ireland,SEA,793000
2015,Ireland,SEA,860000
2016,Ireland,SEA,910000
2017,Ireland,SEA,960300
2018,Ireland,SEA,999300
2019,Ireland,SEA,1045000
2020,Ireland,SEA,1041000
2010,Italy,SEA,8021929
2011,Italy,SEA,8689878
2012,Italy,SEA,8550901
2013,Italy,SEA,9537962
2014,Italy,SEA,9683000
2015,Italy,SEA,9436316
2016,Italy,SEA,9774316
2017,Italy,SEA,9894845
2018,Italy,SEA,9922512
2019,Italy,SEA,10120001
2020,Italy,SEA,9800000
2010,Albania,SEA,30774
2011,Albania,SEA,36197
2012,Albania,SEA,40092
2013,Albania,SEA,41869
2014,Albania,SEA,32977
2015,Albania,SEA,55835
2016,Albania,SEA,52102
2017,Albania,SEA,74047
2018,Albania,SEA,24849
2019,Albania,SEA,36314
2020,Albania,SEA,59102
2010,Belgium,SEA,11055745
2011,Belgium,SEA,10940000
2012,Belgium,SEA,10671192
2013,Belgium,SEA,10674200
2014,Belgium,SEA,11061400
2015,Belgium,SEA,11237600
2016,Belgium,SEA,11459909
2017,Belgium,SEA,11967553
2018,Belgium,SEA,12686187
2010,Latvia,SEA,256000
2011,Latvia,SEA,306600
2012,Latvia,SEA,366260
2013,Latvia,SEA,385636
2014,Latvia,SEA,391200
2015,Latvia,SEA,359390
2016,Latvia,SEA,388433
2017,Latvia,SEA,449732
2018,Latvia,SEA,472532
2019,Latvia,SEA,472132
2019,Belgium,SEA,13831469
2020,Belgium,SEA,14066604
2010,Bulgaria,SEA,166927
2011,Bulgaria,SEA,58325
2012,Bulgaria,SEA,92000
2013,Bulgaria,SEA,180935
2014,Bulgaria,SEA,195800
2015,Bulgaria,SEA,201000
2016,Bulgaria,SEA,201000
2017,Bulgaria,SEA,228500
2020,Latvia,SEA,462000
2010,Lithuania,SEA,295000
2011,Lithuania,SEA,382200
2012,Lithuania,SEA,381300
2013,Lithuania,SEA,402500
2014,Lithuania,SEA,450400
2015,Lithuania,SEA,393000
2016,Lithuania,SEA,443300
2017,Lithuania,SEA,472000
2018,Lithuania,SEA,750000
2019,Lithuania,SEA,705000
2020,Lithuania,SEA,640000
2010,Malta,SEA,2450665
2011,Malta,SEA,2439936
2012,Malta,SEA,2618036
2013,Malta,SEA,2824736
2014,Malta,SEA,2949036
2015,Malta,SEA,3023900
2016,Malta,SEA,3140000
2017,Malta,SEA,3154500
2018,Bulgaria,SEA,241800
2019,Bulgaria,SEA,261900
2020,Bulgaria,SEA,252310
2010,Croatia,SEA,121091
2011,Croatia,SEA,128400
2012,Croatia,SEA,128400
2013,Croatia,SEA,145400
2014,Croatia,SEA,211900
2015,Croatia,SEA,181800
2016,Croatia,SEA,181800
2018,Malta,SEA,3314100
2019,Malta,SEA,2712800
2020,Malta,SEA,2440000
2012,Republic of Moldova,SEA,2359
2013,Republic of Moldova,SEA,1281
2014,Republic of Moldova,SEA,1281
2015,Republic of Moldova,SEA,2617
2016,Republic of Moldova,SEA,2617
2017,Republic of Moldova,SEA,2617
2018,Republic of Moldova,SEA,2617
2019,Republic of Moldova,SEA,2348
2020,Republic of Moldova,SEA,906
2010,Montenegro,SEA,24304
2011,Montenegro,SEA,27475
