Year,GeoAreaName,Type of product,Value
2000,Albania,NMA,110331.641
2000,Albania,PET,317000
2000,Albania,ALP,22057704.71159
2000,Albania,CPR,830834.5
2000,Albania,GBO,5692772
2000,Albania,MEO,260518.31949
2000,Albania,CRO,2246881
2000,Albania,NMM,10127419.9381
2000,Albania,FOF,397542
2000,Albania,NFO,93957.808
2000,Albania,GAS,7542
2000,Albania,ONT,0
2000,Albania,NMC,10017088.2971
2000,Albania,WOD,317588.08
2000,Albania,WCH,5673
2000,Albania,COL,73000
2000,Albania,BIM,9093748.58
2000,Albania,FEO,166560.51149
2001,Albania,ONT,0
2001,Albania,WOD,29804
2001,Albania,FEO,221622.03524
2001,Albania,ALP,23943700.82164
2001,Albania,CPR,762245.5
2001,Albania,GAS,5886
2001,Albania,COL,85000
2001,Albania,NMC,12071152.6604
2001,Albania,GBO,5520736
2001,Albania,PET,311000
2001,Albania,MEO,301445.09924
2001,Albania,NMM,12145447.9474
2001,Albania,FOF,401886
2001,Albania,CRO,2258106
2001,Albania,WCH,6639.2
2001,Albania,NMA,74295.287
2001,Albania,BIM,8577530.7
2001,Albania,NFO,79823.064
2002,Albania,ONT,0
2002,Albania,CPR,757892.25
2002,Albania,FOF,430792
2002,Albania,NMA,117167.854
2002,Albania,GBO,5307695
2002,Albania,MEO,307173.67224
2002,Albania,NFO,69199.666
2002,Albania,GAS,9792
2002,Albania,COL,28000
2002,Albania,CRO,2353460
2002,Albania,BIM,8593411.69
2002,Albania,FEO,237974.00624
2002,Albania,NMC,11625904.5934
2002,Albania,NMM,11743072.4474
2002,Albania,PET,393000
2002,Albania,WCH,7223.8
2002,Albania,WOD,167140.64
2002,Albania,ALP,23782352.51564
2003,Albania,PET,375000
2003,Albania,GAS,9792
2003,Albania,ALP,27050133.45602
2003,Albania,BIM,8547988.765
2003,Albania,WOD,139223.24
2003,Albania,NFO,32852.347
2003,Albania,FEO,257395.69022
2003,Albania,COL,67000
2003,Albania,MEO,290248.03722
2003,Albania,ONT,0
2003,Albania,NMM,14942544.9918
2003,Albania,FOF,451792
2003,Albania,NMC,14840560.4228
2003,Albania,WCH,6121.6
2003,Albania,CRO,2342080
2003,Albania,GBO,5338159
2003,Albania,CPR,722404.925
2003,Albania,NMA,101984.569
2004,Albania,CRO,2483731
2004,Albania,GBO,5054078
2004,Albania,ONT,0
2004,Albania,CPR,798297.5
2004,Albania,MEO,329643.43705
2004,Albania,NMA,118308.663
2004,Albania,NMC,21209176.2079
2004,Albania,BIM,8484402.24
2004,Albania,COL,67000
2004,Albania,WOD,139223.24
2004,Albania,GAS,11448
2004,Albania,PET,420000
2004,Albania,FOF,498448
2004,Albania,WCH,9072.5
2004,Albania,FEO,146541.51756
2004,Albania,ALP,33604939.72095
2004,Albania,NFO,183101.91949
2004,Albania,NMM,21327484.8709
2005,Albania,BIM,8378471.74
2005,Albania,CRO,2455379
2005,Albania,WOD,139223.24
2005,Albania,ONT,0
2005,Albania,FEO,177401.55126
2005,Albania,MEO,458874.15186
2005,Albania,ALP,31031614.27706
2005,Albania,COL,58000
2005,Albania,FOF,483542
2005,Albania,NFO,281472.60061
2005,Albania,NMM,17967814.6992
2005,Albania,PET,418000
2005,Albania,GBO,5011058
2005,Albania,CPR,762958.5
2005,Albania,NMC,17862531.6972
2005,Albania,WCH,9853
2005,Albania,GAS,7542
2005,Albania,NMA,105283.002
2006,Albania,BIM,8374124.54
2006,Albania,NFO,212214.6047
2006,Albania,CRO,2525319
2006,Albania,GBO,4914021
2006,Albania,WCH,10452.3
2006,Albania,NMC,17140084.1361
2006,Albania,COL,58000
2006,Albania,ALP,29988815.25068
2006,Albania,FEO,212254.64988
2006,Albania,NMA,120440.826
2006,Albania,FOF,502542
2006,Albania,CPR,785109
2006,Albania,GAS,7542
2006,Albania,PET,437000
2006,Albania,MEO,424469.25458
2006,Albania,ONT,0
2006,Albania,NMM,17260524.9621
2006,Albania,WOD,139223.24
2007,Albania,NFO,588282.59371
2007,Albania,NMC,14747003.3974
2007,Albania,FOF,390060
2007,Albania,GAS,12060
2007,Albania,WCH,11429.4
2007,Albania,FEO,53527.63697
2007,Albania,CRO,2474075
2007,Albania,WOD,280768.52
2007,Albania,ONT,0
2007,Albania,ALP,27052062.76808
2007,Albania,CPR,731889
2007,Albania,BIM,8099025.92
2007,Albania,MEO,641810.23068
2007,Albania,NMM,14876735.4754
2007,Albania,NMA,129732.078
2007,Albania,GBO,4600864
2007,Albania,PET,320000
2007,Albania,COL,58000
2008,Albania,ONT,0
2008,Albania,BIM,8259572.27
2008,Albania,GBO,4347085
2008,Albania,MEO,687083.89103
2008,Albania,NFO,752210.07932
2008,Albania,CRO,2688180
2008,Albania,NMA,110648.058
2008,Albania,FOF,417480
2008,Albania,PET,337700
2008,Albania,NMM,17426636.008
2008,Albania,FEO,-65126.18829
2008,Albania,WCH,11023
2008,Albania,COL,73750
2008,Albania,NMC,17315987.95
2008,Albania,GAS,6030
2008,Albania,WOD,280768.52
2008,Albania,CPR,932515.75
2008,Albania,ALP,29895781.05603
2009,Albania,MEO,630239.72577
2009,Albania,WOD,268464.52
2009,Albania,FEO,210588.00466
2009,Albania,GAS,6158.16
2009,Albania,ONT,0
2009,Albania,PET,355400
2009,Albania,NFO,419651.72111
2009,Albania,GBO,4053150
2009,Albania,COL,222290
2009,Albania,NMC,22750184.5186
2009,Albania,CPR,1007715.95
2009,Albania,WCH,11197
2009,Albania,ALP,35533200.01737
2009,Albania,FOF,583848.16
2009,Albania,NMM,22882361.4276
2009,Albania,BIM,8057457.47
2009,Albania,CRO,2716930
2009,Albania,NMA,132176.909
2010,Albania,NFO,573349.18053
2010,Albania,NMA,137959.258
2010,Albania,MEO,371763.08024
2010,Albania,GAS,9683.82
2010,Albania,CRO,2967960
2010,Albania,ONT,0
2010,Albania,COL,243710
2010,Albania,WOD,269320.92
2010,Albania,PET,157480
2010,Albania,FEO,-201586.1003
2010,Albania,NMM,15060326.364
2010,Albania,ALP,26722158.34624
2010,Albania,FOF,410873.82
2010,Albania,NMC,14922367.106
2010,Albania,WCH,9530.2
2010,Albania,CPR,1095454.425
2010,Albania,GBO,4058847
2010,Albania,BIM,8401112.545
2011,Albania,FOF,609701.4
