Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2003,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,95
2003,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,45
2003,Albania,UPPSEC,ALLAREA,_T,FEMALE,44
2003,Albania,UPPSEC,ALLAREA,_T,MALE,45
2003,Albania,PRIMAR,ALLAREA,_T,FEMALE,97
2003,Albania,PRIMAR,ALLAREA,_T,MALE,97
2003,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,97
2004,Albania,UPPSEC,ALLAREA,_T,MALE,48
2004,Albania,UPPSEC,ALLAREA,_T,FEMALE,45
2004,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,46
2004,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,95
2004,Albania,LOWSEC,ALLAREA,_T,MALE,94
2004,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2004,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,97
2004,Albania,PRIMAR,ALLAREA,_T,MALE,97
2004,Albania,PRIMAR,ALLAREA,_T,FEMALE,97
2005,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,47
2005,Albania,UPPSEC,ALLAREA,_T,FEMALE,46
2005,Albania,UPPSEC,URBAN,_T,BOTHSEX,67
2005,Albania,UPPSEC,ALLAREA,Q3,BOTHSEX,53
2005,Albania,UPPSEC,ALLAREA,Q5,BOTHSEX,77
2005,Albania,UPPSEC,ALLAREA,Q2,BOTHSEX,32
2005,Albania,UPPSEC,ALLAREA,_T,MALE,48
2005,Albania,PRIMAR,ALLAREA,Q3,BOTHSEX,98
2005,Albania,PRIMAR,URBAN,_T,BOTHSEX,98
2005,Albania,LOWSEC,URBAN,_T,BOTHSEX,96
2005,Albania,LOWSEC,RURAL,_T,BOTHSEX,98
2005,Albania,PRIMAR,ALLAREA,Q1,BOTHSEX,100
2005,Albania,PRIMAR,ALLAREA,Q2,BOTHSEX,99
2005,Albania,UPPSEC,RURAL,_T,BOTHSEX,34
2005,Albania,UPPSEC,ALLAREA,Q4,BOTHSEX,60
2005,Albania,PRIMAR,RURAL,_T,BOTHSEX,99
2005,Albania,UPPSEC,ALLAREA,Q1,BOTHSEX,17
2005,Albania,PRIMAR,ALLAREA,_T,FEMALE,99
2005,Albania,PRIMAR,ALLAREA,_T,MALE,99
2005,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,99
2005,Albania,PRIMAR,ALLAREA,Q4,BOTHSEX,98
2005,Albania,PRIMAR,ALLAREA,Q5,BOTHSEX,100
2005,Albania,LOWSEC,ALLAREA,_T,FEMALE,98
2005,Albania,LOWSEC,ALLAREA,_T,MALE,96
2005,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,97
2005,Albania,LOWSEC,ALLAREA,Q4,BOTHSEX,99
2005,Albania,LOWSEC,ALLAREA,Q2,BOTHSEX,96
2005,Albania,LOWSEC,ALLAREA,Q3,BOTHSEX,96
2005,Albania,LOWSEC,ALLAREA,Q1,BOTHSEX,97
2005,Albania,LOWSEC,ALLAREA,Q5,BOTHSEX,99
2006,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2006,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2006,Albania,PRIMAR,ALLAREA,_T,MALE,97
2006,Albania,PRIMAR,ALLAREA,_T,FEMALE,97
2006,Albania,UPPSEC,ALLAREA,_T,MALE,52
2006,Albania,UPPSEC,ALLAREA,_T,FEMALE,48
2006,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,50
2006,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2006,Albania,LOWSEC,ALLAREA,_T,MALE,95
2007,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2007,Albania,LOWSEC,ALLAREA,_T,MALE,95
2007,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2007,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,52
