Year,GeoAreaName,Age,Value
2004,Croatia,15+,29.7395139192534
2005,Croatia,15+,31.6619320606521
2006,Croatia,15+,31.6854173010608
2007,Croatia,15+,33.6203679099347
2008,Croatia,15+,35.358135637981
2009,Croatia,15+,36.7053598898674
2010,Croatia,15+,36.1774080621657
2011,Croatia,15+,35.9074758259824
2012,Croatia,15+,35.5769281271415
2013,Croatia,15+,34.5883202535887
2014,Croatia,15+,33.8245779395162
2015,Croatia,15+,33.4877444041645
2016,Croatia,15+,32.7274233971121
2017,Croatia,15+,32.2468213645109
2018,Croatia,15+,30.0462024747769
2019,Croatia,15+,28.3595075752995
2020,Croatia,15+,27.0880961549358
2021,Croatia,15+,26.8381590042473
2004,Cyprus,15+,67.5018463374021
2005,Cyprus,15+,62.7621169808016
2006,Cyprus,15+,60.7732835412628
2007,Cyprus,15+,60.6880772342978
2008,Cyprus,15+,61.1837114858203
2009,Cyprus,15+,60.2768053515998
2010,Cyprus,15+,57.9764681173181
2011,Cyprus,15+,55.5740802489719
2012,Cyprus,15+,52.1548262412369
2013,Cyprus,15+,39.2780856790199
2014,Cyprus,15+,37.8680893352163
2015,Cyprus,15+,36.1721004278465
2016,Cyprus,15+,34.3357875539966
2017,Cyprus,15+,50.4553210487368
2018,Cyprus,15+,42.238819091542
2019,Cyprus,15+,35.7598261892146
2020,Cyprus,15+,30.877220851556
2021,Cyprus,15+,28.259797139951
2004,Czechia,15+,20.998293484841
2005,Czechia,15+,21.3737694577678
2006,Czechia,15+,21.8921572204601
2007,Czechia,15+,21.5870278986799
2008,Czechia,15+,22.8096602394363
2009,Czechia,15+,22.7391030076901
2010,Czechia,15+,22.6101283578434
2011,Czechia,15+,23.2894131869042
2012,Czechia,15+,23.8314014611621
2013,Czechia,15+,24.2946469047906
2014,Czechia,15+,24.2136697273311
2015,Czechia,15+,23.6815730998777
2016,Czechia,15+,22.3559237170791
2017,Czechia,15+,21.284086330396
2018,Czechia,15+,21.263594686464
2019,Czechia,15+,20.5694124830983
2020,Czechia,15+,18.2971124848555
2021,Czechia,15+,17.3343440964961
2004,Denmark,15+,50.07967427943
2005,Denmark,15+,50.1988542128554
2006,Denmark,15+,50.518932280671
2007,Denmark,15+,51.8562073205776
2008,Denmark,15+,50.4495426547205
2009,Denmark,15+,45.7967540057226
2010,Denmark,15+,40.8621563487159
2011,Denmark,15+,38.7250905168959
2012,Denmark,15+,34.0838284275184
2013,Denmark,15+,30.0146477509792
2014,Denmark,15+,27.7858164192604
2004,Albania,15+,9.68233750719357
2005,Albania,15+,11.7013701897881
2006,Albania,15+,13.8284517701316
2007,Albania,15+,18.6053750749694
2008,Albania,15+,23.5011233269385
2009,Albania,15+,24.0054519048548
2010,Albania,15+,24.1267873743858
2011,Albania,15+,24.1078770515803
2012,Albania,15+,24.0566138101464
2013,Albania,15+,23.4890000366342
2014,Albania,15+,22.0669206147887
2015,Albania,15+,22.0238745629371
2016,Albania,15+,21.6838696292484
2015,Denmark,15+,24.6921155557154
2016,Denmark,15+,24.0511567476054
2017,Denmark,15+,20.70940836523
2018,Denmark,15+,20.8466594932671
2019,Denmark,15+,19.9967042468926
2020,Denmark,15+,18.6605762041807
2021,Denmark,15+,17.5185316085092
2004,Estonia,15+,18.4136469443769
2005,Estonia,15+,20.8798235654909
2006,Estonia,15+,22.6260748477545
2007,Estonia,15+,24.0225285727812
2008,Estonia,15+,23.8242805462881
2009,Estonia,15+,20.2775199006225
2010,Estonia,15+,19.4693539094905
2011,Estonia,15+,17.3520735727919
2012,Estonia,15+,16.0207786814452
2013,Estonia,15+,13.9519602504152
2014,Estonia,15+,12.3929973232935
2015,Estonia,15+,11.1491208510314
2016,Estonia,15+,10.4209709807674
2017,Estonia,15+,10.0572720872645
2018,Estonia,15+,9.67677754264113
2019,Estonia,15+,8.93170493616538
2020,Estonia,15+,7.92693527567269
2021,Estonia,15+,7.47675674507052
2004,Finland,15+,13.1694631681648
2005,Finland,15+,14.412677621839
2006,Finland,15+,16.9470925072753
2007,Finland,15+,16.086793949816
2008,Finland,15+,16.0197160165935
2009,Finland,15+,14.9665847399713
2010,Finland,15+,15.5008044113413
2011,Finland,15+,17.0226156337835
2012,Finland,15+,15.4988301810201
2013,Finland,15+,14.1042854584157
2014,Finland,15+,9.42070341982489
2015,Finland,15+,8.49126022307348
2016,Finland,15+,7.30798911109622
2017,Finland,15+,6.45991331143177
2017,Albania,15+,20.7181646083651
2018,Albania,15+,19.5355124681912
2019,Albania,15+,18.7056694720929
2020,Albania,15+,18.6058710251239
2021,Albania,15+,18.5712570124723
2004,Azerbaijan,15+,6.51805285578395
2005,Azerbaijan,15+,6.75205158179731
2006,Azerbaijan,15+,7.33351730346569
2007,Azerbaijan,15+,8.20898118195416
2008,Azerbaijan,15+,9.18806301242562
2009,Azerbaijan,15+,9.78699878769378
2010,Azerbaijan,15+,9.86153065554847
2011,Azerbaijan,15+,10.0006986403557
2018,Finland,15+,4.79996575159572
2019,Finland,15+,4.48541990538783
2020,Finland,15+,4.01953969177224
2021,Finland,15+,6.16101952893444
2004,France,15+,21.579133113406
2005,France,15+,22.0117945156745
2006,France,15+,45.9139992020724
2007,France,15+,44.914586689895
2008,France,15+,44.5849326673182
2009,France,15+,41.9436770475656
2010,France,15+,41.5850614461962
2011,France,15+,41.3932346590865
2012,France,15+,39.00312606085
2012,Azerbaijan,15+,9.69468681161473
2013,Azerbaijan,15+,10.1976029182438
2014,Azerbaijan,15+,10.8211413330669
2015,Azerbaijan,15+,10.6555071840021
2018,Azerbaijan,15+,7.06325115148718
2019,Azerbaijan,15+,7.02335127480341
2020,Azerbaijan,15+,6.23081692098158
2021,Azerbaijan,15+,6.49937657465094
2004,Austria,15+,13.9281662853697
2005,Austria,15+,13.3213763975874
2006,Austria,15+,13.0933667597033
2007,Austria,15+,12.8816050679629
2008,Austria,15+,12.5702613126329
2013,France,15+,38.6323135180613
2014,France,15+,38.0560462814468
2015,France,15+,37.6037136538308
2016,France,15+,37.1879439567455
2017,France,15+,35.982222614117
2018,France,15+,34.7872210076823
2019,France,15+,34.1731899359291
2020,France,15+,33.5676968348014
2021,France,15+,33.2704392927964
2004,Georgia,15+,10.1588054759116
2005,Georgia,15+,11.6772077992356
2006,Georgia,15+,14.0001501373567
2007,Georgia,15+,17.0359804984024
2009,Austria,15+,11.7650456969874
2010,Austria,15+,11.2862228166767
2011,Austria,15+,15.1261549202663
2012,Austria,15+,15.9719868251195
2013,Austria,15+,15.5409922552222
2014,Austria,15+,14.8330248573139
2015,Austria,15+,13.7961659592539
2016,Austria,15+,12.6556535364817
2017,Austria,15+,12.0600228663335
2018,Austria,15+,11.9448167942276
2019,Austria,15+,11.8743933769552
2020,Austria,15+,7.41638549480787
2021,Austria,15+,12.349426097627
2008,Georgia,15+,21.8065816516819
2009,Georgia,15+,20.7201797283738
2010,Georgia,15+,21.2115769503868
2011,Georgia,15+,23.5965880503758
2012,Georgia,15+,27.9843248412554
2013,Georgia,15+,32.8849935582355
2014,Georgia,15+,32.4038498418824
2015,Georgia,15+,32.1658765433244
2016,Georgia,15+,32.7249048153784
2017,Georgia,15+,33.2337986065138
2018,Georgia,15+,31.516927802146
2019,Georgia,15+,33.5802834323823
2020,Georgia,15+,31.6501833185352
2004,Armenia,15+,10.8383158884999
2005,Armenia,15+,12.30012300123
