Year,GeoAreaName,Education level,Value
2001,Finland,PRIMAR,100
2001,Finland,SECOND,100
2001,Finland,LOWSEC,100
2002,Finland,LOWSEC,100
2002,Finland,SECOND,100
2002,Finland,PRIMAR,100
2002,Finland,UPPSEC,100
2003,Finland,UPPSEC,100
2003,Finland,PRIMAR,100
2003,Finland,SECOND,100
2003,Finland,LOWSEC,100
2004,Finland,LOWSEC,100
2004,Finland,SECOND,100
2004,Finland,PRIMAR,100
2004,Finland,UPPSEC,100
2005,Finland,UPPSEC,100
2005,Finland,PRIMAR,100
2005,Finland,SECOND,100
2005,Finland,LOWSEC,100
2006,Finland,LOWSEC,100
2006,Finland,SECOND,100
2006,Finland,PRIMAR,100
2006,Finland,UPPSEC,100
2007,Finland,UPPSEC,100
2007,Finland,PRIMAR,100
2007,Finland,SECOND,100
2007,Finland,LOWSEC,100
2008,Finland,LOWSEC,100
2008,Finland,SECOND,100
2008,Finland,PRIMAR,100
2008,Finland,UPPSEC,100
2009,Finland,UPPSEC,100
2009,Finland,PRIMAR,100
2009,Finland,SECOND,100
2009,Finland,LOWSEC,100
2010,Finland,LOWSEC,100
2010,Finland,SECOND,100
2010,Finland,PRIMAR,100
2010,Finland,UPPSEC,100
2011,Finland,UPPSEC,100
2011,Finland,PRIMAR,100
2011,Finland,SECOND,100
2011,Finland,LOWSEC,100
2012,Finland,LOWSEC,100
2012,Finland,SECOND,100
2012,Finland,PRIMAR,100
2012,Finland,UPPSEC,100
2013,Finland,UPPSEC,100
2013,Finland,PRIMAR,100
2013,Finland,SECOND,100
2013,Finland,LOWSEC,100
2014,Finland,LOWSEC,100
2014,Finland,SECOND,100
2014,Finland,PRIMAR,100
2014,Finland,UPPSEC,100
2015,Finland,UPPSEC,100
2015,Finland,PRIMAR,100
2015,Finland,SECOND,100
2015,Finland,LOWSEC,100
2016,Finland,LOWSEC,100
2016,Finland,SECOND,100
2016,Finland,PRIMAR,100
2016,Finland,UPPSEC,100
2017,Finland,UPPSEC,100
2017,Finland,PRIMAR,100
2017,Finland,SECOND,100
2017,Finland,LOWSEC,100
2018,Finland,LOWSEC,100
2018,Finland,SECOND,100
2018,Finland,PRIMAR,100
2018,Finland,UPPSEC,100
2019,Finland,UPPSEC,100
2019,Finland,PRIMAR,100
2019,Finland,SECOND,100
2019,Finland,LOWSEC,100
2005,France,LOWSEC,100
2005,France,SECOND,100
2005,France,PRIMAR,96
2005,France,UPPSEC,100
2015,France,UPPSEC,100
2015,France,PRIMAR,99
2015,France,SECOND,100
2015,France,LOWSEC,100
2016,France,LOWSEC,100
2016,France,SECOND,100
2016,France,PRIMAR,99
2016,France,UPPSEC,100
2017,France,UPPSEC,100
2017,France,PRIMAR,99
2017,France,SECOND,100
2017,France,LOWSEC,100
2018,France,LOWSEC,100
2018,France,SECOND,100
2018,France,PRIMAR,99.00093
2018,France,UPPSEC,100
2019,France,UPPSEC,100
2019,France,PRIMAR,98.99887
2019,France,SECOND,100
2019,France,LOWSEC,100
2015,Georgia,PRIMAR,90.32541
2015,Georgia,SECOND,94.66682
2016,Georgia,SECOND,100
2016,Georgia,LOWSEC,100
2016,Georgia,PRIMAR,100
2016,Georgia,UPPSEC,100
2017,Georgia,UPPSEC,100
2017,Georgia,PRIMAR,99.74026
2017,Georgia,LOWSEC,100
2017,Georgia,SECOND,100
2018,Georgia,SECOND,100
2018,Georgia,LOWSEC,100
2018,Georgia,PRIMAR,100
2018,Georgia,UPPSEC,100
2019,Georgia,UPPSEC,100
2019,Georgia,PRIMAR,100
2019,Georgia,LOWSEC,100
2019,Georgia,SECOND,100
2020,Georgia,SECOND,100
2020,Georgia,LOWSEC,100
2020,Georgia,PRIMAR,100
2020,Georgia,UPPSEC,100
2021,Georgia,UPPSEC,100
2021,Georgia,PRIMAR,100
2021,Georgia,LOWSEC,100
2021,Georgia,SECOND,100
2015,Germany,PRIMAR,78.14476
2015,Germany,SECOND,98.18117
2018,Germany,SECOND,98.90785
2019,Germany,PRIMAR,73.46467
2015,Greece,SECOND,100
2018,Greece,SECOND,99.84674
2002,Hungary,PRIMAR,100
2002,Hungary,UPPSEC,100
2002,Hungary,LOWSEC,100
2002,Hungary,SECOND,100
2003,Hungary,SECOND,100
2003,Hungary,LOWSEC,100
2003,Hungary,UPPSEC,100
2003,Hungary,PRIMAR,100
2004,Hungary,PRIMAR,100
2004,Hungary,UPPSEC,100
2004,Hungary,SECOND,100
2004,Hungary,LOWSEC,100
2005,Hungary,LOWSEC,100
2005,Hungary,SECOND,100
2005,Hungary,UPPSEC,100
2005,Hungary,PRIMAR,100
2006,Hungary,PRIMAR,100
2006,Hungary,UPPSEC,100
2006,Hungary,SECOND,100
2006,Hungary,LOWSEC,100
2007,Hungary,SECOND,100
2007,Hungary,LOWSEC,100
2007,Hungary,UPPSEC,100
2007,Hungary,PRIMAR,100
2008,Hungary,PRIMAR,100
2008,Hungary,UPPSEC,100
2008,Hungary,LOWSEC,100
2008,Hungary,SECOND,100
2009,Hungary,SECOND,100
2009,Hungary,LOWSEC,100
2009,Hungary,UPPSEC,100
2009,Hungary,PRIMAR,100
2010,Hungary,PRIMAR,100
2010,Hungary,UPPSEC,100
2010,Hungary,LOWSEC,100
2010,Hungary,SECOND,100
2011,Hungary,SECOND,100
2011,Hungary,LOWSEC,100
2011,Hungary,UPPSEC,100
2011,Hungary,PRIMAR,100
2012,Hungary,PRIMAR,100
2012,Hungary,UPPSEC,100
2012,Hungary,LOWSEC,100
2012,Hungary,SECOND,100
2013,Hungary,SECOND,100
2013,Hungary,LOWSEC,100
2013,Hungary,UPPSEC,100
2013,Hungary,PRIMAR,100
2014,Hungary,PRIMAR,100
2014,Hungary,UPPSEC,100
2014,Hungary,LOWSEC,100
2014,Hungary,SECOND,100
2015,Hungary,SECOND,100
2015,Hungary,LOWSEC,100
2015,Hungary,UPPSEC,100
2015,Hungary,PRIMAR,100
2016,Hungary,PRIMAR,100
2016,Hungary,UPPSEC,100
2016,Hungary,LOWSEC,100
2016,Hungary,SECOND,100
2018,Hungary,SECOND,97.08022
2015,Iceland,SECOND,100
2018,Iceland,SECOND,100
2015,Ireland,SECOND,82.78027
2015,Ireland,PRIMAR,55.63787
2018,Ireland,SECOND,99.23738
2019,Ireland,SECOND,63.6716
2019,Ireland,PRIMAR,67.16599
2015,Italy,SECOND,78.80847
2015,Italy,PRIMAR,59.12776
2018,Italy,SECOND,99.14704
2019,Italy,SECOND,42.9319
2019,Italy,PRIMAR,42.76524
2015,Kazakhstan,PRIMAR,59.03318
2015,Kazakhstan,SECOND,94.17188
2018,Kazakhstan,SECOND,100
2019,Kazakhstan,SECOND,93.9105
2019,Kazakhstan,PRIMAR,70.06499
2016,Kyrgyzstan,UPPSEC,88.00999
2017,Kyrgyzstan,UPPSEC,85.8643
2017,Kyrgyzstan,PRIMAR,88.81932
2017,Kyrgyzstan,LOWSEC,88.81932
2017,Kyrgyzstan,SECOND,87.26655
2018,Kyrgyzstan,UPPSEC,86.67199
2020,Kyrgyzstan,UPPSEC,94.2597
2021,Kyrgyzstan,UPPSEC,95.1441
2015,Latvia,SECOND,100
2016,Latvia,SECOND,100
2016,Latvia,LOWSEC,100
2016,Latvia,UPPSEC,100
2016,Latvia,PRIMAR,100
2018,Latvia,SECOND,99.43957
2019,Latvia,PRIMAR,68.61253
2015,Lithuania,SECOND,96.64321
2015,Lithuania,PRIMAR,54.99619
2018,Lithuania,SECOND,100
2019,Lithuania,SECOND,95.90499
2019,Lithuania,PRIMAR,69.11612
2020,Lithuania,PRIMAR,97.6
2020,Lithuania,UPPSEC,99.57082
2020,Lithuania,SECOND,99.55056
2020,Lithuania,LOWSEC,99.5283
2015,Luxembourg,SECOND,100
2018,Luxembourg,SECOND,97.61904
2015,Malta,SECOND,69.79167
2018,Malta,SECOND,100
2019,Malta,PRIMAR,98.97959
2015,Republic of Moldova,SECOND,98.4738
2016,Republic of Moldova,SECOND,100
2016,Republic of Moldova,LOWSEC,100
2016,Republic of Moldova,PRIMAR,100
2016,Republic of Moldova,UPPSEC,100
2017,Republic of Moldova,UPPSEC,100
2017,Republic of Moldova,PRIMAR,100
2017,Republic of Moldova,LOWSEC,100
2017,Republic of Moldova,SECOND,100
2018,Republic of Moldova,SECOND,100
2018,Republic of Moldova,LOWSEC,100
2018,Republic of Moldova,PRIMAR,100
2018,Republic of Moldova,UPPSEC,100
2019,Republic of Moldova,UPPSEC,100
2019,Republic of Moldova,PRIMAR,100
2019,Republic of Moldova,LOWSEC,100
2019,Republic of Moldova,SECOND,100
2020,Republic of Moldova,SECOND,99.80013
2020,Republic of Moldova,LOWSEC,99.72949
2020,Republic of Moldova,PRIMAR,99.25743
2020,Republic of Moldova,UPPSEC,100
2021,Republic of Moldova,UPPSEC,99.7449
2021,Republic of Moldova,PRIMAR,99.7559
2021,Republic of Moldova,LOWSEC,100
2021,Republic of Moldova,SECOND,99.93399
2015,Montenegro,SECOND,100
2018,Montenegro,SECOND,100
2019,Montenegro,PRIMAR,38.4058
2000,Netherlands,LOWSEC,100
2000,Netherlands,SECOND,100
2000,Netherlands,PRIMAR,100
2000,Netherlands,UPPSEC,100
2001,Netherlands,UPPSEC,100
2001,Netherlands,PRIMAR,100
2001,Netherlands,SECOND,100
2001,Netherlands,LOWSEC,100
2002,Netherlands,LOWSEC,100
2002,Netherlands,SECOND,100
2002,Netherlands,PRIMAR,100
2002,Netherlands,UPPSEC,100
2003,Netherlands,UPPSEC,100
2003,Netherlands,PRIMAR,100
2003,Netherlands,SECOND,100
2003,Netherlands,LOWSEC,100
2004,Netherlands,LOWSEC,100
2004,Netherlands,SECOND,100
2004,Netherlands,PRIMAR,100
2004,Netherlands,UPPSEC,100
2005,Netherlands,UPPSEC,100
2005,Netherlands,PRIMAR,100
2005,Netherlands,SECOND,100
2005,Netherlands,LOWSEC,100
2006,Netherlands,LOWSEC,100
2006,Netherlands,SECOND,100
2006,Netherlands,PRIMAR,100
2006,Netherlands,UPPSEC,100
2007,Netherlands,UPPSEC,100
2007,Netherlands,PRIMAR,100
2007,Netherlands,SECOND,100
2007,Netherlands,LOWSEC,100
2008,Netherlands,LOWSEC,100
2008,Netherlands,SECOND,100
2008,Netherlands,PRIMAR,100
2008,Netherlands,UPPSEC,100
2009,Netherlands,UPPSEC,100
2009,Netherlands,PRIMAR,100
2009,Netherlands,SECOND,100
2009,Netherlands,LOWSEC,100
2010,Netherlands,LOWSEC,100
2010,Netherlands,SECOND,100
2010,Netherlands,PRIMAR,100
2010,Netherlands,UPPSEC,100
2011,Netherlands,UPPSEC,100
2011,Netherlands,PRIMAR,100
2011,Netherlands,SECOND,100
2011,Netherlands,LOWSEC,100
2012,Netherlands,LOWSEC,100
2012,Netherlands,SECOND,100
2012,Netherlands,PRIMAR,100
2012,Netherlands,UPPSEC,100
2013,Netherlands,UPPSEC,100
2013,Netherlands,PRIMAR,100
2013,Netherlands,SECOND,100
2013,Netherlands,LOWSEC,100
2014,Netherlands,LOWSEC,100
2014,Netherlands,SECOND,100
2014,Netherlands,PRIMAR,100
2014,Netherlands,UPPSEC,100
2015,Netherlands,UPPSEC,100
2015,Netherlands,PRIMAR,100
2015,Netherlands,SECOND,100
2015,Netherlands,LOWSEC,100
2016,Netherlands,LOWSEC,100
2016,Netherlands,SECOND,100
2016,Netherlands,PRIMAR,100
2016,Netherlands,UPPSEC,100
2017,Netherlands,UPPSEC,100
2017,Netherlands,PRIMAR,100
2017,Netherlands,SECOND,100
2017,Netherlands,LOWSEC,100
2018,Netherlands,LOWSEC,100
2018,Netherlands,SECOND,100
2018,Netherlands,PRIMAR,100
2018,Netherlands,UPPSEC,100
2019,Netherlands,UPPSEC,100
2019,Netherlands,PRIMAR,100
2019,Netherlands,SECOND,100
2019,Netherlands,LOWSEC,100
2000,Norway,PRIMAR,100
2000,Norway,LOWSEC,100
2001,Norway,LOWSEC,100
2001,Norway,PRIMAR,100
2002,Norway,PRIMAR,100
2002,Norway,LOWSEC,100
2003,Norway,LOWSEC,100
2003,Norway,PRIMAR,100
2004,Norway,PRIMAR,100
2004,Norway,LOWSEC,100
2005,Norway,LOWSEC,100
2005,Norway,PRIMAR,100
2006,Norway,PRIMAR,100
2006,Norway,LOWSEC,100
2007,Norway,LOWSEC,100
2007,Norway,PRIMAR,100
2008,Norway,PRIMAR,100
2008,Norway,LOWSEC,100
2008,Norway,UPPSEC,100
2008,Norway,SECOND,100
2009,Norway,UPPSEC,100
2009,Norway,SECOND,100
2009,Norway,LOWSEC,100
2009,Norway,PRIMAR,100
2010,Norway,PRIMAR,100
2010,Norway,LOWSEC,100
2010,Norway,UPPSEC,100
2010,Norway,SECOND,100
2011,Norway,UPPSEC,100
2011,Norway,SECOND,100
2011,Norway,LOWSEC,100
2011,Norway,PRIMAR,100
2012,Norway,PRIMAR,100
2012,Norway,LOWSEC,100
2012,Norway,SECOND,100
2012,Norway,UPPSEC,100
2013,Norway,UPPSEC,100
2013,Norway,SECOND,100
2013,Norway,LOWSEC,100
2013,Norway,PRIMAR,100
2014,Norway,PRIMAR,100
2014,Norway,LOWSEC,100
2014,Norway,SECOND,100
2014,Norway,UPPSEC,100
2015,Norway,UPPSEC,100
2015,Norway,SECOND,100
2015,Norway,LOWSEC,100
2015,Norway,PRIMAR,100
2016,Norway,PRIMAR,100
2016,Norway,LOWSEC,100
2016,Norway,UPPSEC,100
2016,Norway,SECOND,100
2017,Norway,SECOND,100
2017,Norway,UPPSEC,100
2017,Norway,LOWSEC,100
2017,Norway,PRIMAR,100
2018,Norway,PRIMAR,100
2018,Norway,LOWSEC,100
2018,Norway,UPPSEC,100
2018,Norway,SECOND,100
2019,Norway,SECOND,100
2019,Norway,UPPSEC,100
2019,Norway,LOWSEC,100
2019,Norway,PRIMAR,100
2020,Norway,PRIMAR,100
2020,Norway,LOWSEC,100
2000,Poland,SECOND,100
2000,Poland,UPPSEC,100
2000,Poland,PRIMAR,100
2000,Poland,LOWSEC,100
2001,Poland,LOWSEC,100
2001,Poland,PRIMAR,100
2001,Poland,UPPSEC,100
2001,Poland,SECOND,100
2002,Poland,UPPSEC,100
2002,Poland,SECOND,100
2002,Poland,PRIMAR,100
2002,Poland,LOWSEC,100
2003,Poland,LOWSEC,100
2003,Poland,PRIMAR,100
2003,Poland,SECOND,100
2003,Poland,UPPSEC,100
2004,Poland,UPPSEC,100
2004,Poland,SECOND,100
2004,Poland,PRIMAR,100
2004,Poland,LOWSEC,100
2005,Poland,LOWSEC,100
2005,Poland,PRIMAR,100
2005,Poland,SECOND,100
2005,Poland,UPPSEC,100
2006,Poland,UPPSEC,100
2006,Poland,SECOND,100
2006,Poland,PRIMAR,100
2006,Poland,LOWSEC,100
2007,Poland,LOWSEC,100
2007,Poland,PRIMAR,100
2007,Poland,SECOND,100
2007,Poland,UPPSEC,100
2008,Poland,UPPSEC,100
2008,Poland,SECOND,100
2008,Poland,PRIMAR,100
2008,Poland,LOWSEC,100
2009,Poland,LOWSEC,100
2009,Poland,PRIMAR,100
2009,Poland,SECOND,100
2009,Poland,UPPSEC,100
2010,Poland,UPPSEC,100
2010,Poland,SECOND,100
2010,Poland,PRIMAR,100
2010,Poland,LOWSEC,100
2011,Poland,LOWSEC,100
2011,Poland,PRIMAR,100
2011,Poland,UPPSEC,100
2011,Poland,SECOND,100
2012,Poland,SECOND,100
2012,Poland,UPPSEC,100
2012,Poland,PRIMAR,100
2012,Poland,LOWSEC,100
2013,Poland,LOWSEC,100
2013,Poland,PRIMAR,100
2013,Poland,UPPSEC,100
2013,Poland,SECOND,100
2014,Poland,SECOND,100
2014,Poland,UPPSEC,100
2014,Poland,PRIMAR,100
2014,Poland,LOWSEC,100
2015,Poland,LOWSEC,100
2015,Poland,PRIMAR,100
2015,Poland,UPPSEC,100
2015,Poland,SECOND,100
2016,Poland,UPPSEC,100
2016,Poland,SECOND,100
2016,Poland,LOWSEC,100
2016,Poland,PRIMAR,100
2018,Poland,SECOND,100
2000,Portugal,SECOND,100
2000,Portugal,UPPSEC,100
2000,Portugal,PRIMAR,100
2000,Portugal,LOWSEC,100
2001,Portugal,LOWSEC,100
2001,Portugal,PRIMAR,100
2001,Portugal,UPPSEC,100
2001,Portugal,SECOND,100
2002,Portugal,SECOND,100
