Year,GeoAreaName,Mode of transportation,Value
2017,Sweden,AIR,12419652877
2018,Sweden,AIR,931250000
2019,Sweden,AIR,1795261357
2020,Sweden,AIR,198769383
2021,Sweden,AIR,3363165184
2017,Switzerland,AIR,54436352610
2018,Switzerland,AIR,59774977000
2019,Switzerland,AIR,63015491000
2020,Switzerland,AIR,16719183400
2021,Switzerland,AIR,19581938818
2017,Tajikistan,AIR,1467673000
2018,Tajikistan,AIR,1338309000
2019,Tajikistan,AIR,1400797993
2020,Tajikistan,AIR,696516520
2021,Tajikistan,AIR,343316013
2017,Türkiye,AIR,183397651320
2018,Türkiye,AIR,194439274062
2019,Türkiye,AIR,202496413430
2020,Türkiye,AIR,73686147890
2021,Türkiye,AIR,119308380415
2017,Turkmenistan,AIR,2939647000
2018,Turkmenistan,AIR,3254535000
2019,Turkmenistan,AIR,2733505417
2020,Turkmenistan,AIR,910938462
2021,Turkmenistan,AIR,318216067
2017,Ukraine,AIR,12616279254
2018,Ukraine,AIR,15587857700
2019,Ukraine,AIR,16038487867
2020,Ukraine,AIR,3139432970
2021,Ukraine,AIR,5517955300
2017,Uzbekistan,AIR,7112704720
2018,Uzbekistan,AIR,8408056220
2019,Uzbekistan,AIR,10589577620
2020,Uzbekistan,AIR,2602996660
2021,Uzbekistan,AIR,4731144110
2021,Uzbekistan,AIR,4731144110
