Year,GeoAreaName,Type of product,Value
2000,Albania,CRO,0.71803
2000,Albania,NFO,0.03003
2000,Albania,PET,0.1013
2000,Albania,ALP,7.04889
2000,Albania,GAS,0.00241
2000,Albania,CPR,0.26551
2000,Albania,WCH,0.00181
2000,Albania,FOF,0.12704
2000,Albania,MEO,0.08325
2000,Albania,NMC,3.20112
2000,Albania,COL,0.02333
2000,Albania,NMA,0.03526
2000,Albania,NMM,3.23638
2000,Albania,WOD,0.10149
2000,Albania,BIM,2.90605
2000,Albania,GBO,1.81922
2000,Albania,ONT,0
2000,Albania,FEO,0.05323
2001,Albania,NMA,0.02374
2001,Albania,ONT,0
2001,Albania,NFO,0.02551
2001,Albania,GBO,1.76398
2001,Albania,COL,0.02716
2001,Albania,FEO,0.07081
2001,Albania,NMM,3.88071
2001,Albania,WCH,0.00212
2001,Albania,CPR,0.24355
2001,Albania,PET,0.09937
2001,Albania,WOD,0.00952
2001,Albania,MEO,0.09632
2001,Albania,NMC,3.85697
2001,Albania,CRO,0.72151
2001,Albania,BIM,2.74069
2001,Albania,FOF,0.12841
2001,Albania,GAS,0.00188
2001,Albania,ALP,7.65048
2002,Albania,WCH,0.00231
2002,Albania,ALP,7.60747
2002,Albania,ONT,0
2002,Albania,NMC,3.71888
2002,Albania,NMA,0.03748
2002,Albania,CRO,0.75282
2002,Albania,FEO,0.07612
2002,Albania,NFO,0.02214
2002,Albania,NMM,3.75636
2002,Albania,GAS,0.00313
2002,Albania,BIM,2.74885
2002,Albania,CPR,0.24243
2002,Albania,PET,0.12571
2002,Albania,COL,0.00896
2002,Albania,MEO,0.09826
2002,Albania,FOF,0.1378
2002,Albania,GBO,1.69782
2002,Albania,WOD,0.05346
2003,Albania,MEO,0.09309
2003,Albania,WOD,0.04465
2003,Albania,PET,0.12027
2003,Albania,GBO,1.71204
2003,Albania,WCH,0.00196
2003,Albania,ALP,8.67543
2003,Albania,NMM,4.79232
2003,Albania,BIM,2.74148
2003,Albania,GAS,0.00314
2003,Albania,COL,0.02149
2003,Albania,CPR,0.23169
2003,Albania,FOF,0.1449
2003,Albania,NFO,0.01054
2003,Albania,FEO,0.08255
2003,Albania,NMA,0.03271
2003,Albania,CRO,0.75114
2003,Albania,ONT,0
2003,Albania,NMC,4.75961
2004,Albania,FOF,0.16054
2004,Albania,WCH,0.00292
2004,Albania,FEO,0.0472
2004,Albania,MEO,0.10617
2004,Albania,CPR,0.25711
2004,Albania,NFO,0.05897
2004,Albania,COL,0.02158
2004,Albania,NMM,6.86899
2004,Albania,ONT,0
2004,Albania,BIM,2.73259
2004,Albania,CRO,0.79994
2004,Albania,GBO,1.62778
2004,Albania,WOD,0.04484
2004,Albania,NMA,0.0381
2004,Albania,GAS,0.00369
2004,Albania,PET,0.13527
2004,Albania,ALP,10.82322
2004,Albania,NMC,6.83089
2005,Albania,NMA,0.03411
2005,Albania,FEO,0.05747
2005,Albania,ALP,10.05297
2005,Albania,WCH,0.00319
2005,Albania,BIM,2.71428
2005,Albania,NMM,5.82084
2005,Albania,FOF,0.15665
2005,Albania,GAS,0.00244
2005,Albania,NMC,5.78673
2005,Albania,MEO,0.14866
2005,Albania,CRO,0.79544
2005,Albania,ONT,0
2005,Albania,CPR,0.24717
2005,Albania,NFO,0.09119
2005,Albania,GBO,1.62338
2005,Albania,PET,0.13541
2005,Albania,WOD,0.0451
2005,Albania,COL,0.01879
2006,Albania,ALP,9.7906
2006,Albania,MEO,0.13858
2006,Albania,GBO,1.60431
2006,Albania,WCH,0.00341
2006,Albania,GAS,0.00246
2006,Albania,CRO,0.82445
2006,Albania,PET,0.14267
2006,Albania,CPR,0.25632
2006,Albania,COL,0.01894
2006,Albania,FOF,0.16407
2006,Albania,FEO,0.0693
2006,Albania,BIM,2.73394
2006,Albania,WOD,0.04545
2006,Albania,NMM,5.63513
2006,Albania,NFO,0.06928
2006,Albania,NMA,0.03932
2006,Albania,NMC,5.59581
2006,Albania,ONT,0
2007,Albania,COL,0.01912
2007,Albania,GAS,0.00397
2007,Albania,PET,0.10547
2007,Albania,WCH,0.00377
2007,Albania,ONT,0
2007,Albania,CPR,0.24123
2007,Albania,NMC,4.86059
2007,Albania,GBO,1.51644
2007,Albania,NMM,4.90335
2007,Albania,NMA,0.04276
2007,Albania,ALP,8.91632
2007,Albania,CRO,0.81545
2007,Albania,FEO,0.01764
2007,Albania,FOF,0.12856
2007,Albania,BIM,2.66943
2007,Albania,WOD,0.09254
2007,Albania,NFO,0.1939
2007,Albania,MEO,0.21154
2008,Albania,NMC,5.76684
2008,Albania,NFO,0.25051
2008,Albania,FEO,-0.02169
2008,Albania,WOD,0.09351
2008,Albania,BIM,2.75073
2008,Albania,GBO,1.44773
2008,Albania,GAS,0.00201
2008,Albania,WCH,0.00367
2008,Albania,MEO,0.22882
2008,Albania,COL,0.02456
2008,Albania,PET,0.11247
2008,Albania,FOF,0.13904
2008,Albania,CPR,0.31056
2008,Albania,NMM,5.80369
2008,Albania,ONT,0
2008,Albania,CRO,0.89526
2008,Albania,NMA,0.03685
2008,Albania,ALP,9.95636
2009,Albania,WOD,0.0903
2009,Albania,CRO,0.91385
2009,Albania,MEO,0.21198
2009,Albania,ONT,0
2009,Albania,NMC,7.65215
2009,Albania,NMM,7.69661
2009,Albania,FEO,0.07083
2009,Albania,FOF,0.19638
2009,Albania,GBO,1.3633
2009,Albania,NMA,0.04446
2009,Albania,ALP,11.95179
2009,Albania,BIM,2.71017
2009,Albania,PET,0.11954
2009,Albania,WCH,0.00377
2009,Albania,NFO,0.14115
2009,Albania,CPR,0.33895
2009,Albania,COL,0.07477
2009,Albania,GAS,0.00207
2010,Albania,COL,0.08267
2010,Albania,FEO,-0.06838
2010,Albania,ALP,9.06442
2010,Albania,WOD,0.09136
2010,Albania,CPR,0.37159
2010,Albania,ONT,0
2010,Albania,NMC,5.06181
2010,Albania,PET,0.05342
2010,Albania,BIM,2.84974
2010,Albania,MEO,0.12611
2010,Albania,NMA,0.0468
2010,Albania,CRO,1.00676
2010,Albania,NFO,0.19449
