Year,GeoAreaName,Mode of transportation,Value
2020,Türkiye,AIR,6870468740
2021,Türkiye,AIR,9338328585.454
2017,Turkmenistan,AIR,19484000
2018,Turkmenistan,AIR,16916000
2019,Turkmenistan,AIR,16557840
2020,Turkmenistan,AIR,4347407
2021,Turkmenistan,AIR,684174.704
2017,Ukraine,AIR,53792982
2018,Ukraine,AIR,75264350
2019,Ukraine,AIR,75617661
2020,Ukraine,AIR,13338687
2021,Ukraine,AIR,28169900
2017,Uzbekistan,AIR,126797620
2018,Uzbekistan,AIR,89430280
2019,Uzbekistan,AIR,70498350
2020,Uzbekistan,AIR,20005490
2021,Uzbekistan,AIR,38025910
2021,Uzbekistan,AIR,38025910
