Year,GeoAreaName,Age,Location,Sex,Value
2011,Albania,10+,ALLAREA,FEMALE,18.75
2011,Albania,65+,ALLAREA,FEMALE,17.08333
2011,Albania,10+,ALLAREA,MALE,3.125
2011,Albania,10+,URBAN,FEMALE,16.38889
2011,Albania,65+,URBAN,FEMALE,15.83333
2011,Albania,10+,URBAN,MALE,2.56944
2011,Albania,65+,URBAN,MALE,5.97222
2011,Albania,65+,ALLAREA,MALE,6.18056
2011,Albania,10+,RURAL,FEMALE,21.31944
2011,Albania,65+,RURAL,FEMALE,18.54167
2011,Albania,10+,RURAL,MALE,3.54167
2011,Albania,65+,RURAL,MALE,6.25
2009,Austria,10+,RURAL,MALE,8.55986
2009,Austria,15+,RURAL,MALE,8.95086
2009,Austria,15-24,RURAL,MALE,4.06856
2009,Austria,65+,URBAN,FEMALE,19.91219
2009,Austria,15+,URBAN,MALE,7.9105
2009,Austria,15-24,URBAN,MALE,3.16333
2009,Austria,25-44,URBAN,MALE,6.60825
2009,Austria,15+,URBAN,FEMALE,14.45165
2009,Austria,15-24,URBAN,FEMALE,6.10207
2009,Austria,25-44,URBAN,FEMALE,12.82058
2009,Austria,45-54,URBAN,FEMALE,15.8097
2009,Austria,55-64,URBAN,FEMALE,18.07476
2009,Austria,10+,URBAN,MALE,7.51214
2009,Austria,10+,ALLAREA,FEMALE,15.43485
2009,Austria,25-44,ALLAREA,MALE,6.80029
2009,Austria,45-54,ALLAREA,MALE,8.82521
2009,Austria,55-64,ALLAREA,MALE,11.22308
2009,Austria,65+,ALLAREA,MALE,14.23369
2009,Austria,10+,RURAL,FEMALE,16.23056
2009,Austria,15+,RURAL,FEMALE,16.93753
2009,Austria,15-24,RURAL,FEMALE,6.96847
2009,Austria,45-54,URBAN,MALE,8.14364
2009,Austria,55-64,URBAN,MALE,10.28012
2009,Austria,65+,URBAN,MALE,13.28693
2009,Austria,65+,RURAL,FEMALE,20.71649
2009,Austria,25-44,RURAL,MALE,6.913
2009,Austria,45-54,RURAL,MALE,9.20114
2009,Austria,55-64,RURAL,MALE,11.67599
2009,Austria,65+,RURAL,MALE,14.71709
2009,Austria,10+,URBAN,FEMALE,14.01778
2015,Portugal,65+,ALLAREA,MALE,8.08406
2015,Portugal,55-64,ALLAREA,FEMALE,14.19149
2015,Portugal,45-54,ALLAREA,FEMALE,13.6936
2015,Portugal,25-44,ALLAREA,FEMALE,12.64692
2015,Portugal,15-24,ALLAREA,FEMALE,8.6378
2015,Portugal,15+,ALLAREA,FEMALE,12.51975
2000,Romania,10+,ALLAREA,FEMALE,19.58333
2000,Romania,25-44,ALLAREA,FEMALE,20.41667
2000,Romania,15-24,ALLAREA,FEMALE,13.75
2000,Romania,45-64,URBAN,FEMALE,22.08333
2009,Austria,15+,ALLAREA,FEMALE,16.03486
2009,Austria,15-24,ALLAREA,FEMALE,6.63837
2009,Austria,25-44,ALLAREA,FEMALE,14.60996
2009,Austria,45-54,ALLAREA,FEMALE,17.17911
2009,Austria,55-64,ALLAREA,FEMALE,20.38296
2009,Austria,65+,ALLAREA,FEMALE,20.45989
2009,Austria,10+,ALLAREA,MALE,8.18852
2009,Austria,15+,ALLAREA,MALE,8.58238
2009,Austria,15-24,ALLAREA,MALE,3.7422
2009,Austria,25-44,RURAL,FEMALE,15.72228
2009,Austria,45-54,RURAL,FEMALE,17.99114
2009,Austria,55-64,RURAL,FEMALE,21.65204
2004,Armenia,15+,ALLAREA,MALE,3.47222
2004,Armenia,15+,ALLAREA,FEMALE,20.27778
2008,Armenia,25-44,ALLAREA,MALE,3.04167
2008,Armenia,45-54,ALLAREA,MALE,3.90833
2008,Armenia,55-64,ALLAREA,MALE,2.60833
2008,Armenia,65+,ALLAREA,MALE,6.32083
2008,Armenia,15+,RURAL,FEMALE,22.1875
2008,Armenia,15-24,RURAL,FEMALE,14.70833
2008,Armenia,25-44,RURAL,FEMALE,27.5625
2008,Armenia,45-54,RURAL,MALE,6.15833
2008,Armenia,55-64,RURAL,MALE,3.925
2008,Armenia,65+,RURAL,MALE,7.84583
2008,Armenia,15+,URBAN,FEMALE,16.75417
2008,Armenia,15-24,URBAN,FEMALE,9.79583
2008,Armenia,25-44,URBAN,FEMALE,17.44583
2008,Armenia,45-54,URBAN,FEMALE,21.725
2008,Armenia,45-54,URBAN,MALE,2.5
2008,Armenia,55-64,URBAN,MALE,2.075
2008,Armenia,65+,URBAN,MALE,5.52917
2008,Armenia,15-24,URBAN,MALE,1.65417
2008,Armenia,15+,URBAN,MALE,2.75417
2008,Armenia,55-64,URBAN,FEMALE,18.64583
2008,Armenia,15+,ALLAREA,FEMALE,18.4
2008,Armenia,15-24,ALLAREA,FEMALE,11.12917
2008,Armenia,45-54,ALLAREA,FEMALE,22.09167
2008,Armenia,15+,ALLAREA,MALE,3.73333
2008,Armenia,15-24,ALLAREA,MALE,3.13333
2008,Armenia,45-54,RURAL,FEMALE,22.87083
2008,Armenia,65+,ALLAREA,FEMALE,19.325
2008,Armenia,55-64,RURAL,FEMALE,16.85417
2008,Armenia,15+,RURAL,MALE,5.65417
2008,Armenia,15-24,RURAL,MALE,5.6375
2008,Armenia,25-44,RURAL,MALE,4.50833
2008,Armenia,65+,RURAL,FEMALE,22.27917
2008,Armenia,65+,URBAN,FEMALE,17.72917
2008,Armenia,55-64,ALLAREA,FEMALE,18.16667
2008,Armenia,25-44,ALLAREA,FEMALE,20.525
2008,Armenia,25-44,URBAN,MALE,2.41667
2000,Belgium,12+,ALLAREA,FEMALE,14.09722
2000,Belgium,12+,ALLAREA,MALE,8.26389
2005,Belgium,12+,ALLAREA,FEMALE,13.19444
2005,Belgium,12+,ALLAREA,MALE,8.26389
2013,Belgium,12+,ALLAREA,FEMALE,13.81944
2013,Belgium,15+,ALLAREA,FEMALE,2.11625
