Year,GeoAreaName,Age,Freq,Location,Sex,Value
2015,Azerbaijan,ALLAGE,,,BOTHSEX,5.9
2015,Azerbaijan,15+,,,FEMALE,6.1
2015,Azerbaijan,15+,,,MALE,5.4
2016,Azerbaijan,15+,,,FEMALE,7.7
2016,Azerbaijan,15+,,,MALE,7.4
2016,Azerbaijan,ALLAGE,,,BOTHSEX,7.7
2017,Azerbaijan,15+,,,MALE,8.4
2017,Azerbaijan,15+,,,FEMALE,8.5
2017,Azerbaijan,ALLAGE,,,BOTHSEX,8.6
2018,Azerbaijan,15+,,,MALE,9.5
2018,Azerbaijan,15+,,,FEMALE,9.4
2018,Azerbaijan,ALLAGE,,,BOTHSEX,9.6
2019,Azerbaijan,15+,,,FEMALE,8.8
2019,Azerbaijan,15+,,,MALE,8.7
2019,Azerbaijan,ALLAGE,,,BOTHSEX,8.9
2020,Azerbaijan,15+,,,MALE,9.3
2020,Azerbaijan,15+,,,FEMALE,9.4
2020,Azerbaijan,ALLAGE,,,BOTHSEX,9.5
2015,Austria,ALLAGE,,,BOTHSEX,5.5
2015,Austria,15+,,,FEMALE,5.5
2015,Austria,15+,,,MALE,3.8
2016,Austria,15+,,,FEMALE,5.1
2016,Austria,15+,,,MALE,3.8
2016,Austria,ALLAGE,,,BOTHSEX,5.2
2017,Austria,ALLAGE,,,BOTHSEX,4.4
2017,Austria,15+,,,FEMALE,4.6
2017,Austria,15+,,,MALE,3.4
2018,Austria,15+,,,MALE,2.9
2018,Austria,ALLAGE,,,BOTHSEX,3.6
2018,Austria,15+,,,FEMALE,4
2019,Austria,ALLAGE,,,BOTHSEX,3
2019,Austria,15+,,,MALE,2.7
2019,Austria,15+,,,FEMALE,3.6
2020,Austria,15+,,,FEMALE,3.6
2020,Austria,15+,,,MALE,3.1
2020,Austria,ALLAGE,,,BOTHSEX,3.3
2015,Malta,15+,,,MALE,4.3
2015,Malta,ALLAGE,,,BOTHSEX,5.9
2015,Malta,15+,,,FEMALE,6.2
2016,Malta,ALLAGE,,,BOTHSEX,5.6
2016,Malta,15+,,,FEMALE,6.2
2016,Malta,15+,,,MALE,4.3
2017,Malta,15+,,,MALE,3.3
2017,Malta,ALLAGE,,,BOTHSEX,5.1
2017,Malta,15+,,,FEMALE,6.2
2018,Malta,15+,,,MALE,2.7
2018,Malta,15+,,,FEMALE,5.7
2018,Malta,ALLAGE,,,BOTHSEX,4.4
2019,Malta,ALLAGE,,,BOTHSEX,4.3
2019,Malta,15+,,,FEMALE,5.6
2019,Malta,15+,,,MALE,2.9
2020,Malta,15+,,,FEMALE,6.3
2020,Malta,15+,,,MALE,4
2020,Malta,ALLAGE,,,BOTHSEX,5.2
2015,Armenia,ALLAGE,,,BOTHSEX,NaN
2015,Armenia,15+,,,FEMALE,NaN
2015,Armenia,15+,,,MALE,NaN
2016,Armenia,15+,,,MALE,NaN
2016,Armenia,15+,,,FEMALE,NaN
2016,Armenia,ALLAGE,,,BOTHSEX,NaN
2017,Armenia,ALLAGE,,,BOTHSEX,17.1
2017,Armenia,15+,,,FEMALE,37.8
2017,Armenia,15+,,,MALE,31.8
2018,Armenia,15+,,,MALE,30.5
2015,Albania,15+,,,MALE,33.9
2015,Albania,15+,,,FEMALE,40.8
2015,Albania,ALLAGE,,,BOTHSEX,38.8
2016,Albania,ALLAGE,,,BOTHSEX,39
2016,Albania,15+,,,MALE,34.1
2016,Albania,15+,,,FEMALE,40.8
2017,Albania,15+,,,MALE,33.1
2017,Albania,ALLAGE,,,BOTHSEX,38.6
2017,Albania,15+,,,FEMALE,41.3
2018,Armenia,15+,,,FEMALE,37.3
2018,Armenia,ALLAGE,,,BOTHSEX,14.8
2019,Armenia,ALLAGE,,,BOTHSEX,12.7
2019,Armenia,15+,,,FEMALE,35.8
2019,Armenia,15+,,,MALE,28.3
2020,Armenia,15+,,,MALE,28.6
2020,Armenia,15+,,,FEMALE,34.7
2020,Armenia,ALLAGE,,,BOTHSEX,10.7
2015,Belgium,ALLAGE,,,BOTHSEX,NaN
2015,Republic of Moldova,15+,,,MALE,18.9
2015,Republic of Moldova,15+,,,FEMALE,19.1
2015,Republic of Moldova,ALLAGE,,,BOTHSEX,19.3
2016,Republic of Moldova,15+,,,MALE,20.3
2016,Republic of Moldova,ALLAGE,,,BOTHSEX,21
2016,Republic of Moldova,15+,,,FEMALE,21.2
2017,Republic of Moldova,15+,,,MALE,23.2
2017,Republic of Moldova,ALLAGE,,,BOTHSEX,24.6
2017,Republic of Moldova,15+,,,FEMALE,24.9
2015,Belgium,15+,,,FEMALE,NaN
2015,Belgium,15+,,,MALE,NaN
2016,Belgium,15+,,,FEMALE,NaN
2016,Belgium,15+,,,MALE,NaN
2016,Belgium,ALLAGE,,,BOTHSEX,NaN
2017,Belgium,15+,,,MALE,NaN
2017,Belgium,ALLAGE,,,BOTHSEX,NaN
2017,Belgium,15+,,,FEMALE,NaN
2018,Belgium,15+,,,MALE,NaN
2018,Belgium,15+,,,FEMALE,NaN
2018,Belgium,ALLAGE,,,BOTHSEX,NaN
2018,Albania,ALLAGE,,,BOTHSEX,37.1
2018,Albania,15+,,,FEMALE,38.9
2018,Albania,15+,,,MALE,32.2
2019,Albania,ALLAGE,,,BOTHSEX,33.8
2019,Albania,15+,,,MALE,29.2
2019,Albania,15+,,,FEMALE,36
2020,Albania,ALLAGE,,,BOTHSEX,30.9
2020,Albania,15+,,,FEMALE,33.1
2020,Albania,15+,,,MALE,26.6
2018,Republic of Moldova,ALLAGE,,,BOTHSEX,27.5
2018,Republic of Moldova,15+,,,FEMALE,29.9
2018,Republic of Moldova,15+,,,MALE,23.7
2019,Republic of Moldova,ALLAGE,,,BOTHSEX,27.2
2019,Republic of Moldova,15+,,,MALE,23.8
2019,Republic of Moldova,15+,,,FEMALE,29.6
2020,Republic of Moldova,15+,,,FEMALE,28.4
2020,Republic of Moldova,ALLAGE,,,BOTHSEX,24.9
2020,Republic of Moldova,15+,,,MALE,21.1
2019,Belgium,15+,,,MALE,4.3
2019,Belgium,15+,,,FEMALE,3.1
2019,Belgium,ALLAGE,,,BOTHSEX,3.7
2020,Belgium,15+,,,MALE,4.9
2020,Belgium,15+,,,FEMALE,3.7
2020,Belgium,ALLAGE,,,BOTHSEX,4.8
2015,Bosnia and Herzegovina,15+,,,FEMALE,9.6
2015,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,9.6
2015,Bosnia and Herzegovina,15+,,,MALE,9.2
2015,Montenegro,15+,,,MALE,11.3
2015,Montenegro,ALLAGE,,,BOTHSEX,12.6
2015,Montenegro,15+,,,FEMALE,12.1
