Year,GeoAreaName,Education level,Location,Quantile,Value
2000,Croatia,UPPSEC,ALLAREA,_T,0.98973
2001,Croatia,UPPSEC,ALLAREA,_T,0.99095
2001,Croatia,LOWSEC,ALLAREA,_T,1
2001,Croatia,PRIMAR,ALLAREA,_T,0.999
2002,Croatia,PRIMAR,ALLAREA,_T,0.999
2002,Croatia,LOWSEC,ALLAREA,_T,1
2002,Croatia,UPPSEC,ALLAREA,_T,0.99214
2016,Belarus,LOWSEC,ALLAREA,_T,1
2016,Belarus,PRIMAR,ALLAREA,_T,1
2017,Belarus,PRIMAR,ALLAREA,_T,1.001
2017,Belarus,LOWSEC,ALLAREA,_T,1.00102
2017,Belarus,UPPSEC,ALLAREA,_T,1.03344
2018,Belarus,UPPSEC,ALLAREA,_T,1.03122
2018,Belarus,LOWSEC,ALLAREA,_T,1.00102
2018,Belarus,PRIMAR,ALLAREA,_T,1.001
2019,Belarus,UPPSEC,URBAN,Q4,1.05112
2002,Armenia,LOWSEC,ALLAREA,_T,1.01327
2002,Armenia,UPPSEC,ALLAREA,_T,1.10526
2003,Armenia,UPPSEC,ALLAREA,_T,1.10621
2003,Armenia,LOWSEC,ALLAREA,_T,1.01224
2003,Armenia,PRIMAR,ALLAREA,_T,1.002
2004,Armenia,PRIMAR,ALLAREA,_T,1.002
2004,Armenia,LOWSEC,ALLAREA,_T,1.01122
2004,Armenia,UPPSEC,ALLAREA,_T,1.10808
2005,Armenia,UPPSEC,ALLAREA,_T,1.02485
2019,Belarus,UPPSEC,URBAN,_T,1.00432
2019,Belarus,UPPSEC,URBAN,Q1,0
2019,Belarus,PRIMAR,ALLAREA,Q1,1
2019,Belarus,PRIMAR,ALLAREA,Q2,1
2019,Belarus,UPPSEC,ALLAREA,Q2,1.10333
2019,Belarus,PRIMAR,ALLAREA,_T,1
2019,Belarus,UPPSEC,URBAN,Q2,0
2019,Belarus,UPPSEC,URBAN,Q5,0.92166
2005,Armenia,LOWSEC,ALLAREA,_T,0.91685
2005,Armenia,PRIMAR,ALLAREA,_T,1.0109
2006,Armenia,PRIMAR,ALLAREA,_T,1.002
2006,Armenia,LOWSEC,ALLAREA,_T,1.00918
2006,Armenia,UPPSEC,ALLAREA,_T,1.10563
2007,Armenia,UPPSEC,ALLAREA,_T,1.10502
2007,Armenia,LOWSEC,ALLAREA,_T,1.00917
2007,Armenia,PRIMAR,ALLAREA,_T,1.002
2008,Armenia,PRIMAR,ALLAREA,_T,1.002
2008,Armenia,LOWSEC,ALLAREA,_T,1.00917
2008,Armenia,UPPSEC,ALLAREA,_T,1.10116
2009,Armenia,UPPSEC,ALLAREA,_T,1.09606
2009,Armenia,LOWSEC,ALLAREA,_T,1.00815
2009,Armenia,PRIMAR,ALLAREA,_T,1.002
2010,Armenia,PRIMAR,ALLAREA,_T,1.0034
2010,Armenia,LOWSEC,ALLAREA,_T,1.06405
2010,Armenia,UPPSEC,ALLAREA,_T,1.29501
2011,Armenia,LOWSEC,RURAL,Q3,0
2003,Croatia,UPPSEC,ALLAREA,_T,0.99443
2003,Croatia,LOWSEC,ALLAREA,_T,1
2003,Croatia,PRIMAR,ALLAREA,_T,0.999
2004,Croatia,PRIMAR,ALLAREA,_T,0.999
2004,Croatia,UPPSEC,ALLAREA,_T,0.99558
2004,Croatia,LOWSEC,ALLAREA,_T,1
2005,Croatia,UPPSEC,ALLAREA,_T,0.9978
2005,Croatia,LOWSEC,ALLAREA,_T,1
2005,Croatia,PRIMAR,ALLAREA,_T,0.999
