Year,GeoAreaName,Counterpart,Value
2016,Spain,BG,7.65047
2016,Spain,CN,17.34382
2016,Spain,BR,6.2781
2016,Spain,NG,5.93078
2016,Spain,HN,8.1496
2016,Spain,CO,8.16283
2016,Spain,PH,4.45978
2016,Spain,RO,4.69781
2016,Spain,PE,5.83808
2016,Spain,MA,5.97529
2016,Spain,DO,6.18285
2016,Spain,EC,5.09686
2016,Spain,BO,5.68441
2017,Spain,EC,4.572
2017,Spain,BR,5.56817
2017,Spain,PH,6.3527
2017,Spain,BG,5.03143
2017,Spain,BO,4.63002
2017,Spain,NG,6.29597
2017,Spain,DO,5.63097
2017,Spain,CO,5.49316
2017,Spain,MA,6.62511
2017,Spain,RO,4.78506
2017,Spain,HN,4.39919
2017,Spain,CN,17.44663
2017,Spain,PE,4.52488
2018,Spain,EC,4.8601
2018,Spain,HN,5.0771
2018,Spain,CO,5.45479
2018,Spain,MA,5.07583
2018,Spain,NG,7.18723
2018,Spain,BR,6.58299
2018,Spain,PE,4.25695
2018,Spain,BO,5.33537
2018,Spain,CN,12.85665
2018,Spain,RO,4.20803
2018,Spain,PH,4.47911
2018,Spain,BG,7.43692
2018,Spain,DO,4.86207
2019,Spain,BO,5.14939
2019,Spain,PE,5.37868
2019,Spain,BG,4.41286
2019,Spain,PH,4.26812
2019,Spain,DO,3.19686
2019,Spain,RO,4.17279
2019,Spain,BR,6.1694
2019,Spain,NG,8.25119
2019,Spain,HN,4.2757
2019,Spain,CN,11.68131
2019,Spain,CO,5.29697
2019,Spain,MA,4.70625
2019,Spain,EC,5.36493
2020,Spain,BG,3.83879
2020,Spain,RO,3.35736
2020,Spain,MA,5.16037
2020,Spain,CN,9.43714
2020,Spain,HN,5.54903
2020,Spain,NG,6.37203
2020,Spain,BR,4.85591
2020,Spain,PE,5.49894
2016,Austria,TR,6.32613
2016,Austria,BA,8.73864
2016,Austria,RS,7.81822
2016,Austria,HR,4.35345
2016,Austria,XK,7.2381
2016,Austria,HU,6.4924
2017,Austria,XK,7.2381
2017,Austria,RS,8.75944
2017,Austria,TR,6.43202
