Year,GeoAreaName,IHR Capacity,Value
2012,Austria,IHR08,91
2012,Austria,IHR03,95
2012,Austria,IHR02,90
2013,Austria,IHR04,100
2013,Austria,IHR05,83
2013,Austria,IHR02,90
2013,Austria,IHR11,93
2013,Austria,IHR09,91
2013,Austria,IHR01,100
2013,Austria,IHR07,100
2020,Albania,SPAR03,80
2020,Albania,SPAR09,60
2020,Albania,SPAR10,60
2020,Albania,SPAR11,80
2020,Albania,SPAR13,60
2010,Bosnia and Herzegovina,IHR10,76
2013,Azerbaijan,IHR06,57
2013,Azerbaijan,IHR08,96
2013,Azerbaijan,IHR04,94
2013,Azerbaijan,IHR05,75
2014,Azerbaijan,IHR12,85
2014,Azerbaijan,IHR13,77
2014,Azerbaijan,IHR02,83
2014,Azerbaijan,IHR03,100
2014,Azerbaijan,IHR04,94
2014,Azerbaijan,IHR05,75
2013,Austria,IHR08,100
2013,Austria,IHR03,80
2013,Austria,IHR06,100
2013,Austria,IHR13,92
2013,Austria,IHR10,89
2010,Bosnia and Herzegovina,IHR12,7
2010,Bosnia and Herzegovina,IHR13,0
2010,Bosnia and Herzegovina,IHR06,20
2010,Bosnia and Herzegovina,IHR07,0
2010,Bosnia and Herzegovina,IHR01,75
2014,Azerbaijan,IHR06,57
2014,Azerbaijan,IHR11,93
2014,Azerbaijan,IHR10,100
2014,Azerbaijan,IHR08,96
2014,Azerbaijan,IHR01,50
2013,Austria,IHR12,46
2014,Austria,IHR01,75
2014,Austria,IHR02,90
2014,Austria,IHR03,80
2014,Austria,IHR04,100
2010,Bosnia and Herzegovina,IHR02,40
2010,Bosnia and Herzegovina,IHR09,26
2010,Bosnia and Herzegovina,IHR11,100
2010,Bosnia and Herzegovina,IHR08,43
2010,Bosnia and Herzegovina,IHR03,48
2010,Bosnia and Herzegovina,IHR04,32
2010,Bosnia and Herzegovina,IHR05,33
2011,Bosnia and Herzegovina,IHR08,40
2011,Bosnia and Herzegovina,IHR06,57
2011,Bosnia and Herzegovina,IHR05,30
2014,Azerbaijan,IHR07,100
2014,Azerbaijan,IHR09,86
2018,Azerbaijan,SPAR05,87
2018,Azerbaijan,SPAR03,80
2018,Azerbaijan,SPAR01,80
2018,Azerbaijan,SPAR11,70
2014,Austria,IHR05,83
2014,Austria,IHR10,89
2014,Austria,IHR11,93
2014,Austria,IHR12,92
2014,Austria,IHR13,92
2010,Armenia,IHR11,60
2010,Armenia,IHR13,100
2010,Armenia,IHR06,80
2011,Armenia,IHR03,95
2011,Armenia,IHR09,80
2014,Austria,IHR06,100
2014,Austria,IHR07,100
2014,Austria,IHR08,100
2014,Austria,IHR09,91
2015,Austria,IHR02,90
2011,Bosnia and Herzegovina,IHR07,0
2011,Bosnia and Herzegovina,IHR12,8
2011,Bosnia and Herzegovina,IHR02,73
2011,Bosnia and Herzegovina,IHR04,57
2011,Bosnia and Herzegovina,IHR03,85
2011,Belarus,IHR08,80
2011,Belarus,IHR07,0
2011,Belarus,IHR09,89
2011,Belarus,IHR04,100
2011,Belarus,IHR11,100
2015,Austria,IHR03,100
2015,Austria,IHR04,94
2015,Austria,IHR05,92
2015,Austria,IHR11,100
2015,Austria,IHR13,92
2011,Bosnia and Herzegovina,IHR01,75
2011,Bosnia and Herzegovina,IHR10,56
