Year,GeoAreaName,Nature,Reporting Type,Units,Value
2019,Kazakhstan,NA,G,NUMBER,NaN
2020,Kazakhstan,NA,G,NUMBER,NaN
2021,Kazakhstan,NA,G,NUMBER,NaN
2005,Bulgaria,E,G,NUMBER,62131
2010,Bulgaria,E,G,NUMBER,65875
2012,Bulgaria,E,G,NUMBER,65878
2014,Bulgaria,C,G,NUMBER,66126
2016,Bulgaria,C,G,NUMBER,67012
2017,Bulgaria,C,G,NUMBER,67510
2018,Bulgaria,C,G,NUMBER,69336
2019,Bulgaria,E,G,NUMBER,69336
2020,Bulgaria,C,G,NUMBER,69413
2021,Bulgaria,C,G,NUMBER,69767
1995,Belarus,E,G,NUMBER,1144
1995,Kyrgyzstan,E,G,NUMBER,1031
2000,Kyrgyzstan,E,G,NUMBER,1031
2005,Kyrgyzstan,E,G,NUMBER,1059
2010,Kyrgyzstan,E,G,NUMBER,1136
2012,Kyrgyzstan,E,G,NUMBER,1591
2014,Kyrgyzstan,E,G,NUMBER,1785
2016,Kyrgyzstan,E,G,NUMBER,2260
2017,Kyrgyzstan,E,G,NUMBER,2345
2018,Kyrgyzstan,E,G,NUMBER,2525
2019,Kyrgyzstan,E,G,NUMBER,2638
2020,Kyrgyzstan,C,G,NUMBER,2638
2021,Kyrgyzstan,E,G,NUMBER,2638
1995,Latvia,E,G,NUMBER,704
2000,Latvia,E,G,NUMBER,941
2005,Latvia,E,G,NUMBER,1585
2010,Latvia,E,G,NUMBER,1966
2012,Latvia,E,G,NUMBER,2061
2014,Latvia,C,G,NUMBER,2112
2016,Latvia,C,G,NUMBER,2051
2017,Latvia,C,G,NUMBER,2054
2018,Latvia,C,G,NUMBER,2082
2019,Latvia,C,G,NUMBER,2135
2020,Latvia,E,G,NUMBER,2135
2021,Latvia,C,G,NUMBER,2608
1995,Liechtenstein,NA,G,NUMBER,NaN
2000,Liechtenstein,NA,G,NUMBER,NaN
2005,Liechtenstein,NA,G,NUMBER,NaN
2010,Liechtenstein,NA,G,NUMBER,NaN
2012,Liechtenstein,NA,G,NUMBER,NaN
2014,Liechtenstein,NA,G,NUMBER,NaN
2016,Liechtenstein,NA,G,NUMBER,NaN
2017,Liechtenstein,NA,G,NUMBER,NaN
2018,Liechtenstein,NA,G,NUMBER,NaN
2019,Liechtenstein,NA,G,NUMBER,NaN
2020,Liechtenstein,NA,G,NUMBER,NaN
2021,Liechtenstein,NA,G,NUMBER,NaN
1995,Lithuania,E,G,NUMBER,1
2000,Lithuania,E,G,NUMBER,1039
2005,Lithuania,E,G,NUMBER,1681
2010,Lithuania,E,G,NUMBER,1681
2012,Lithuania,E,G,NUMBER,1681
2014,Lithuania,E,G,NUMBER,1681
2016,Lithuania,E,G,NUMBER,1681
2017,Lithuania,C,G,NUMBER,924
2018,Lithuania,E,G,NUMBER,924
2019,Lithuania,C,G,NUMBER,2246
2020,Lithuania,C,G,NUMBER,2246
2021,Lithuania,E,G,NUMBER,2246
1995,Luxembourg,NA,G,NUMBER,NaN
2000,Luxembourg,NA,G,NUMBER,NaN
2005,Luxembourg,NA,G,NUMBER,NaN
2010,Luxembourg,NA,G,NUMBER,NaN
2012,Luxembourg,NA,G,NUMBER,NaN
2014,Luxembourg,NA,G,NUMBER,NaN
2016,Luxembourg,NA,G,NUMBER,NaN
2017,Luxembourg,NA,G,NUMBER,NaN
2018,Luxembourg,NA,G,NUMBER,NaN
2019,Luxembourg,NA,G,NUMBER,NaN
2020,Luxembourg,NA,G,NUMBER,NaN
2021,Luxembourg,NA,G,NUMBER,NaN
1995,Malta,C,G,NUMBER,0
2000,Malta,C,G,NUMBER,0
2005,Malta,E,G,NUMBER,8
2010,Malta,E,G,NUMBER,9
2012,Malta,E,G,NUMBER,11
2014,Malta,E,G,NUMBER,11
2016,Malta,E,G,NUMBER,13
2017,Malta,E,G,NUMBER,13
2018,Malta,E,G,NUMBER,13
2019,Malta,C,G,NUMBER,16
2020,Malta,E,G,NUMBER,16
2021,Malta,E,G,NUMBER,16
2000,Belarus,E,G,NUMBER,2153
2005,Belarus,E,G,NUMBER,3521
2010,Belarus,E,G,NUMBER,9558
2012,Belarus,C,G,NUMBER,14671
2014,Belarus,E,G,NUMBER,20147
2016,Belarus,E,G,NUMBER,23971
2017,Belarus,E,G,NUMBER,26161
2018,Belarus,C,G,NUMBER,27061
2019,Belarus,E,G,NUMBER,27645
2020,Belarus,C,G,NUMBER,27494
2021,Belarus,E,G,NUMBER,27494
1995,Republic of Moldova,E,G,NUMBER,5741
2000,Republic of Moldova,E,G,NUMBER,6022
2005,Republic of Moldova,E,G,NUMBER,6415
2010,Republic of Moldova,E,G,NUMBER,6415
2012,Republic of Moldova,E,G,NUMBER,6415
2014,Republic of Moldova,E,G,NUMBER,6415
2016,Republic of Moldova,E,G,NUMBER,6415
2017,Republic of Moldova,E,G,NUMBER,6415
2018,Republic of Moldova,C,G,NUMBER,6415
2019,Republic of Moldova,C,G,NUMBER,6012
2020,Republic of Moldova,C,G,NUMBER,6012
2021,Republic of Moldova,E,G,NUMBER,6012
1995,Montenegro,E,G,NUMBER,23
2000,Montenegro,E,G,NUMBER,23
2005,Montenegro,E,G,NUMBER,143
2010,Montenegro,E,G,NUMBER,340
2012,Montenegro,C,G,NUMBER,356
2014,Montenegro,E,G,NUMBER,356
2016,Montenegro,E,G,NUMBER,356
2017,Montenegro,C,G,NUMBER,376
2018,Montenegro,C,G,NUMBER,388
2019,Montenegro,E,G,NUMBER,388
2020,Montenegro,E,G,NUMBER,388
2021,Montenegro,E,G,NUMBER,388
