Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2021,Serbia,,,,,256KT2MBPS,2824
2002,Slovakia,,,,,ANYS,4083
2003,Slovakia,,,,,ANYS,22461
2004,Slovakia,,,,,ANYS,78764
2005,Slovakia,,,,,ANYS,181538
2006,Slovakia,,,,,ANYS,304615
2007,Slovakia,,,,,256KT2MBPS,298963
2007,Slovakia,,,,,ANYS,546664
2007,Slovakia,,,,,2MT10MBPS,149817
2007,Slovakia,,,,,10MBPS,23240
2017,Kazakhstan,,,,,ANYS,2576100
2017,Kazakhstan,,,,,10MBPS,1424400
2017,Kazakhstan,,,,,2MT10MBPS,987300
2017,Kazakhstan,,,,,256KT2MBPS,71300
2018,Kazakhstan,,,,,ANYS,2461300
2018,Kazakhstan,,,,,10MBPS,1276400
2018,Kazakhstan,,,,,2MT10MBPS,1020800
2018,Kazakhstan,,,,,256KT2MBPS,67400
2019,Kazakhstan,,,,,10MBPS,1367700
2019,Kazakhstan,,,,,2MT10MBPS,1006100
2020,Belarus,,,,,2MT10MBPS,1022487
2021,Belarus,,,,,ANYS,3238881
2021,Belarus,,,,,10MBPS,2299027
2021,Belarus,,,,,2MT10MBPS,896863
2021,Belarus,,,,,256KT2MBPS,42991
2003,Croatia,,,,,ANYS,3400
2004,Croatia,,,,,ANYS,26200
2005,Croatia,,,,,ANYS,116200
2006,Croatia,,,,,ANYS,251800
2007,Croatia,,,,,ANYS,387050
2008,Croatia,,,,,ANYS,527989
2009,Croatia,,,,,ANYS,717354
2008,Slovakia,,,,,ANYS,604688
2008,Slovakia,,,,,2MT10MBPS,393775
2008,Slovakia,,,,,10MBPS,95343
2008,Slovakia,,,,,256KT2MBPS,30765
2009,Slovakia,,,,,ANYS,775056
2009,Slovakia,,,,,256KT2MBPS,21601
2009,Slovakia,,,,,2MT10MBPS,452184
2009,Slovakia,,,,,10MBPS,153937
2010,Slovakia,,,,,ANYS,876953
2010,Slovakia,,,,,2MT10MBPS,458444
2010,Slovakia,,,,,10MBPS,209130
2019,Kazakhstan,,,,,256KT2MBPS,52700
2019,Kazakhstan,,,,,ANYS,2512600
2020,Kazakhstan,,,,,ANYS,2620400
2020,Kazakhstan,,,,,10MBPS,1392500
2020,Kazakhstan,,,,,2MT10MBPS,1007510
2020,Kazakhstan,,,,,256KT2MBPS,45800
2021,Kazakhstan,,,,,2MT10MBPS,1071451
2021,Kazakhstan,,,,,256KT2MBPS,45104
2021,Kazakhstan,,,,,ANYS,2753600
2021,Kazakhstan,,,,,10MBPS,1510713
2010,Slovakia,,,,,256KT2MBPS,26840
2011,Slovakia,,,,,2MT10MBPS,452858
2011,Slovakia,,,,,ANYS,953098
2011,Slovakia,,,,,10MBPS,274706
2011,Slovakia,,,,,256KT2MBPS,19163
2012,Slovakia,,,,,ANYS,1045490
2012,Slovakia,,,,,2MT10MBPS,393507
2012,Slovakia,,,,,10MBPS,391182
2012,Slovakia,,,,,256KT2MBPS,13698
2013,Slovakia,,,,,256KT2MBPS,9685
2013,Slovakia,,,,,ANYS,1109060
2010,Croatia,,,,,10MBPS,28726
2010,Croatia,,,,,ANYS,837862
2010,Croatia,,,,,2MT10MBPS,734669
2010,Croatia,,,,,256KT2MBPS,40428
2011,Croatia,,,,,ANYS,892835
2011,Croatia,,,,,2MT10MBPS,726286
2011,Croatia,,,,,10MBPS,85349
2011,Croatia,,,,,256KT2MBPS,49641
2012,Croatia,,,,,ANYS,919222
2012,Croatia,,,,,2MT10MBPS,690838
2012,Croatia,,,,,10MBPS,100352
2012,Croatia,,,,,256KT2MBPS,99134
2013,Croatia,,,,,ANYS,954720
2013,Croatia,,,,,2MT10MBPS,695996
2013,Croatia,,,,,10MBPS,150417
2013,Croatia,,,,,256KT2MBPS,76513
2014,Croatia,,,,,ANYS,984485
2014,Croatia,,,,,2MT10MBPS,673432
2014,Croatia,,,,,256KT2MBPS,66095
2014,Croatia,,,,,10MBPS,212146
2015,Croatia,,,,,ANYS,986215
2015,Croatia,,,,,2MT10MBPS,608805
2015,Croatia,,,,,10MBPS,360866
2015,Croatia,,,,,256KT2MBPS,16544
2013,Slovakia,,,,,2MT10MBPS,407706
2013,Slovakia,,,,,10MBPS,428606
2014,Slovakia,,,,,2MT10MBPS,584050
2014,Slovakia,,,,,ANYS,1191216
2014,Slovakia,,,,,10MBPS,567570
2014,Slovakia,,,,,256KT2MBPS,39596
2015,Slovakia,,,,,ANYS,1273812
2015,Slovakia,,,,,256KT2MBPS,40184
2015,Slovakia,,,,,10MBPS,749137
2015,Slovakia,,,,,2MT10MBPS,484491
2016,Slovakia,,,,,ANYS,1336541
2016,Slovakia,,,,,10MBPS,826973
2016,Slovakia,,,,,2MT10MBPS,470718
2016,Slovakia,,,,,256KT2MBPS,38850
2017,Slovakia,,,,,256KT2MBPS,20096
2017,Slovakia,,,,,ANYS,1405622
2017,Slovakia,,,,,2MT10MBPS,381422
2017,Slovakia,,,,,10MBPS,1003233
2018,Slovakia,,,,,2MT10MBPS,337098
2018,Slovakia,,,,,256KT2MBPS,35374
2018,Slovakia,,,,,ANYS,1507524
2018,Slovakia,,,,,10MBPS,1135052
2002,Kyrgyzstan,,,,,ANYS,36
2003,Kyrgyzstan,,,,,ANYS,139
2004,Kyrgyzstan,,,,,ANYS,1907
2005,Kyrgyzstan,,,,,ANYS,2292
2006,Kyrgyzstan,,,,,ANYS,2762
2007,Kyrgyzstan,,,,,ANYS,3115
2008,Kyrgyzstan,,,,,ANYS,19032
2009,Kyrgyzstan,,,,,ANYS,17355
2010,Kyrgyzstan,,,,,ANYS,23053
2011,Kyrgyzstan,,,,,ANYS,39040
2012,Kyrgyzstan,,,,,256KT2MBPS,22233
2016,Croatia,,,,,ANYS,1043795
2016,Croatia,,,,,10MBPS,545712
2016,Croatia,,,,,2MT10MBPS,478469
2016,Croatia,,,,,256KT2MBPS,19614
2017,Croatia,,,,,ANYS,1095881
2017,Croatia,,,,,10MBPS,714490
2017,Croatia,,,,,2MT10MBPS,355094
2017,Croatia,,,,,256KT2MBPS,26297
2018,Croatia,,,,,ANYS,1127591
2018,Croatia,,,,,10MBPS,824404
2018,Croatia,,,,,2MT10MBPS,285090
2018,Croatia,,,,,256KT2MBPS,18097
2019,Croatia,,,,,ANYS,1154773
2019,Slovakia,,,,,ANYS,1590553
2019,Slovakia,,,,,256KT2MBPS,17607
2019,Slovakia,,,,,2MT10MBPS,242736
2019,Slovakia,,,,,10MBPS,1330210
2020,Slovakia,,,,,ANYS,1701561
2020,Slovakia,,,,,2MT10MBPS,209683
2020,Slovakia,,,,,10MBPS,1475667
2020,Slovakia,,,,,256KT2MBPS,16211
2021,Slovakia,,,,,ANYS,1774670
2021,Slovakia,,,,,10MBPS,1610035
2021,Slovakia,,,,,2MT10MBPS,143544
2012,Kyrgyzstan,,,,,ANYS,54614
2012,Kyrgyzstan,,,,,10MBPS,19351
2012,Kyrgyzstan,,,,,2MT10MBPS,6530
2013,Kyrgyzstan,,,,,ANYS,136200
