Year,GeoAreaName,Migratory status,Sex,Value
2004,Austria,_T,MALE,5560
2004,Austria,_T,BOTHSEX,3890
2004,Austria,_T,FEMALE,1829
2005,Austria,_T,MALE,5486
2005,Austria,_T,FEMALE,1831
2005,Austria,_T,BOTHSEX,3847
2006,Austria,_T,FEMALE,1855
2006,Austria,_T,BOTHSEX,3925
2006,Austria,_T,MALE,5611
2007,Austria,_T,MALE,5069
2007,Austria,_T,FEMALE,1761
2007,Austria,_T,BOTHSEX,3584
2008,Austria,_T,BOTHSEX,4098
2008,Austria,_T,FEMALE,2017
2008,Austria,_T,MALE,5803
2009,Austria,_T,BOTHSEX,1933.98
2010,Austria,_T,MALE,2777.32
2010,Austria,NONMIG,MALE,2708.51
2010,Austria,_T,BOTHSEX,1914.22
2010,Austria,_T,FEMALE,915.53
2010,Austria,NONMIG,FEMALE,886.19
2010,Austria,NONMIG,BOTHSEX,1861.58
2011,Austria,NONMIG,FEMALE,815.67
2011,Austria,_T,FEMALE,856.34
2011,Austria,NONMIG,MALE,2448.31
2011,Austria,NONMIG,BOTHSEX,1721.13
2011,Austria,_T,BOTHSEX,1810.06
2011,Austria,_T,MALE,2570.27
2012,Austria,NONMIG,FEMALE,675.72
2012,Austria,NONMIG,BOTHSEX,1502.72
2012,Austria,_T,FEMALE,720.19
2012,Austria,NONMIG,MALE,2224.28
2012,Austria,_T,BOTHSEX,1602.05
2000,Italy,_T,BOTHSEX,3891
2001,Italy,_T,BOTHSEX,3515
2002,Italy,_T,BOTHSEX,3311
2003,Italy,_T,BOTHSEX,3193
2004,Italy,_T,BOTHSEX,3097
2005,Italy,_T,BOTHSEX,2848
2006,Italy,_T,BOTHSEX,2744
2007,Italy,_T,BOTHSEX,2647
2000,Spain,_T,MALE,10171.06
2000,Spain,_T,FEMALE,3428.53
2000,Spain,_T,BOTHSEX,7549.23
2001,Spain,_T,BOTHSEX,7341.91
2001,Spain,_T,MALE,9931.07
2001,Spain,_T,FEMALE,3419.09
2002,Spain,_T,BOTHSEX,7034.7
2002,Spain,_T,MALE,9482.99
2008,Italy,_T,BOTHSEX,2445
2009,Italy,_T,MALE,2404.67
2009,Italy,_T,FEMALE,1174.22
2009,Italy,NONMIG,MALE,0
2009,Italy,NONMIG,FEMALE,0
2009,Italy,NONMIG,BOTHSEX,0
2002,Spain,_T,FEMALE,3290.34
2003,Spain,_T,MALE,8559.85
2003,Spain,_T,FEMALE,3180.79
2003,Spain,_T,BOTHSEX,6371.25
2004,Spain,_T,MALE,8272.48
2004,Spain,_T,BOTHSEX,6121.31
2004,Spain,_T,FEMALE,3041.58
2005,Spain,_T,MALE,8125
2009,Italy,_T,BOTHSEX,1913.47
2010,Italy,_T,BOTHSEX,1883.78
2010,Italy,_T,MALE,2357.74
2010,Italy,_T,FEMALE,1178.08
