Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2005,Switzerland,30-70,,FEMALE,7.7
2005,Switzerland,30-70,,MALE,14
2010,Switzerland,30-70,,BOTHSEX,9.7
2010,Switzerland,30-70,,FEMALE,7.3
2010,Switzerland,30-70,,MALE,12.2
2015,Switzerland,30-70,,BOTHSEX,8.8
2015,Switzerland,30-70,,FEMALE,6.7
2015,Switzerland,30-70,,MALE,10.8
2019,Switzerland,30-70,,BOTHSEX,7.9
2019,Switzerland,30-70,,FEMALE,6.1
2019,Switzerland,30-70,,MALE,9.6
2000,Tajikistan,30-70,,BOTHSEX,28.2
2000,Tajikistan,30-70,,FEMALE,25.4
2000,Tajikistan,30-70,,MALE,30.7
2005,Tajikistan,30-70,,BOTHSEX,29.8
2005,Tajikistan,30-70,,FEMALE,26.7
2005,Tajikistan,30-70,,MALE,32.7
2010,Tajikistan,30-70,,BOTHSEX,30.5
2010,Tajikistan,30-70,,FEMALE,26.8
2010,Tajikistan,30-70,,MALE,33.8
2015,Tajikistan,30-70,,BOTHSEX,29.5
2015,Tajikistan,30-70,,FEMALE,26
2015,Tajikistan,30-70,,MALE,33.2
2019,Tajikistan,30-70,,BOTHSEX,28.3
2019,Tajikistan,30-70,,FEMALE,25.1
2019,Tajikistan,30-70,,MALE,31.8
2000,Türkiye,30-70,,BOTHSEX,21
2000,Türkiye,30-70,,FEMALE,15.2
2000,Türkiye,30-70,,MALE,26.6
2005,Türkiye,30-70,,BOTHSEX,18.2
2005,Türkiye,30-70,,FEMALE,12.7
2005,Türkiye,30-70,,MALE,23.8
2010,Türkiye,30-70,,BOTHSEX,17.9
2010,Türkiye,30-70,,FEMALE,12.4
2010,Türkiye,30-70,,MALE,23.9
2015,Türkiye,30-70,,BOTHSEX,16.4
2015,Türkiye,30-70,,FEMALE,11.3
2015,Türkiye,30-70,,MALE,22
2019,Türkiye,30-70,,BOTHSEX,15.6
2019,Türkiye,30-70,,FEMALE,10.8
2019,Türkiye,30-70,,MALE,21
2000,Turkmenistan,30-70,,BOTHSEX,37.3
2000,Turkmenistan,30-70,,FEMALE,30.1
2000,Turkmenistan,30-70,,MALE,44.6
2005,Turkmenistan,30-70,,MALE,47.6
2005,Turkmenistan,30-70,,BOTHSEX,40.2
2005,Turkmenistan,30-70,,FEMALE,32.9
2010,Turkmenistan,30-70,,BOTHSEX,33.1
2010,Turkmenistan,30-70,,FEMALE,26.8
2010,Turkmenistan,30-70,,MALE,39.7
2015,Turkmenistan,30-70,,BOTHSEX,28.5
2015,Turkmenistan,30-70,,MALE,34.5
2015,Turkmenistan,30-70,,FEMALE,23.3
2019,Turkmenistan,30-70,,BOTHSEX,27.7
2019,Turkmenistan,30-70,,FEMALE,22.3
2019,Turkmenistan,30-70,,MALE,34
2000,Ukraine,30-70,,BOTHSEX,34.7
2000,Ukraine,30-70,,FEMALE,23.9
2000,Ukraine,30-70,,MALE,46.8
2005,Ukraine,30-70,,BOTHSEX,35.3
2005,Ukraine,30-70,,FEMALE,23.8
2005,Ukraine,30-70,,MALE,48.4
2010,Ukraine,30-70,,FEMALE,19.9
2010,Ukraine,30-70,,MALE,41.4
2010,Ukraine,30-70,,BOTHSEX,29.7
2015,Ukraine,30-70,,BOTHSEX,26.2
2015,Ukraine,30-70,,FEMALE,16.8
2015,Ukraine,30-70,,MALE,37.5
2019,Ukraine,30-70,,BOTHSEX,25.5
2019,Ukraine,30-70,,MALE,36.9
2019,Ukraine,30-70,,FEMALE,16
2000,North Macedonia,30-70,,FEMALE,24.1
2000,North Macedonia,30-70,,MALE,36.3
2000,North Macedonia,30-70,,BOTHSEX,30.2
2005,North Macedonia,30-70,,BOTHSEX,28.3
2005,North Macedonia,30-70,,FEMALE,22.3
2005,North Macedonia,30-70,,MALE,34.3
2010,North Macedonia,30-70,,FEMALE,20.3
2010,North Macedonia,30-70,,MALE,32.9
2010,North Macedonia,30-70,,BOTHSEX,26.6
2015,North Macedonia,30-70,,BOTHSEX,24.5
2015,North Macedonia,30-70,,FEMALE,18.9
2015,North Macedonia,30-70,,MALE,30
2019,North Macedonia,30-70,,BOTHSEX,22.7
2019,North Macedonia,30-70,,FEMALE,17.5
2019,North Macedonia,30-70,,MALE,27.9
2000,Uzbekistan,30-70,,BOTHSEX,34.2
2000,Uzbekistan,30-70,,FEMALE,28.5
2000,Uzbekistan,30-70,,MALE,40.1
2005,Uzbekistan,30-70,,BOTHSEX,34.9
2005,Uzbekistan,30-70,,FEMALE,28.9
2005,Uzbekistan,30-70,,MALE,41
2010,Uzbekistan,30-70,,BOTHSEX,28.9
2010,Uzbekistan,30-70,,FEMALE,23.6
2010,Uzbekistan,30-70,,MALE,34.4
2015,Uzbekistan,30-70,,FEMALE,22.2
2015,Uzbekistan,30-70,,MALE,32.1
2015,Uzbekistan,30-70,,BOTHSEX,27
2019,Uzbekistan,30-70,,BOTHSEX,25.3
2019,Uzbekistan,30-70,,FEMALE,21.2
2019,Uzbekistan,30-70,,MALE,29.8
2010,Kazakhstan,30-70,,BOTHSEX,31.4
2010,Kazakhstan,30-70,,FEMALE,22
2010,Kazakhstan,30-70,,MALE,42.4
2015,Kazakhstan,30-70,,BOTHSEX,25.6
2015,Kazakhstan,30-70,,FEMALE,17.5
2015,Kazakhstan,30-70,,MALE,35.2
2019,Kazakhstan,30-70,,BOTHSEX,22.4
2019,Kazakhstan,30-70,,FEMALE,15.3
2019,Kazakhstan,30-70,,MALE,31.1
2019,Kazakhstan,30-70,,MALE,31.1
