Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2000,Bosnia and Herzegovina,30-70,,MALE,27.4
2000,Bosnia and Herzegovina,30-70,,BOTHSEX,22
2005,Bosnia and Herzegovina,30-70,,BOTHSEX,21.7
2005,Bosnia and Herzegovina,30-70,,FEMALE,16.2
2005,Bosnia and Herzegovina,30-70,,MALE,27.5
2010,Bosnia and Herzegovina,30-70,,BOTHSEX,20.1
2010,Bosnia and Herzegovina,30-70,,MALE,25.3
2010,Bosnia and Herzegovina,30-70,,FEMALE,15.2
2015,Bosnia and Herzegovina,30-70,,FEMALE,14.1
2015,Bosnia and Herzegovina,30-70,,MALE,24.6
2015,Bosnia and Herzegovina,30-70,,BOTHSEX,19.2
2019,Bosnia and Herzegovina,30-70,,FEMALE,13.6
2019,Bosnia and Herzegovina,30-70,,MALE,24
2019,Bosnia and Herzegovina,30-70,,BOTHSEX,18.7
2000,Bulgaria,30-70,,BOTHSEX,28.5
2000,Bulgaria,30-70,,MALE,36.9
2000,Bulgaria,30-70,,FEMALE,20.2
2005,Bulgaria,30-70,,BOTHSEX,27.6
2005,Bulgaria,30-70,,FEMALE,18.6
2005,Bulgaria,30-70,,MALE,36.8
2010,Bulgaria,30-70,,MALE,34.5
2010,Bulgaria,30-70,,BOTHSEX,25.6
2010,Bulgaria,30-70,,FEMALE,17
2015,Bulgaria,30-70,,FEMALE,16.1
2015,Bulgaria,30-70,,BOTHSEX,24.3
2015,Bulgaria,30-70,,MALE,32.8
2019,Bulgaria,30-70,,BOTHSEX,24.2
2019,Bulgaria,30-70,,FEMALE,16.4
2019,Bulgaria,30-70,,MALE,32.1
2000,Belarus,30-70,,FEMALE,21.7
2000,Belarus,30-70,,BOTHSEX,33.2
2000,Belarus,30-70,,MALE,46.1
2005,Belarus,30-70,,MALE,48.4
2005,Belarus,30-70,,FEMALE,21.3
2005,Belarus,30-70,,BOTHSEX,34.1
2010,Belarus,30-70,,FEMALE,18.4
2010,Belarus,30-70,,BOTHSEX,30.8
2010,Belarus,30-70,,MALE,44.8
2015,Belarus,30-70,,FEMALE,14.4
2015,Belarus,30-70,,BOTHSEX,24.7
2015,Belarus,30-70,,MALE,36.6
2019,Belarus,30-70,,MALE,35.7
2019,Belarus,30-70,,FEMALE,13.6
2019,Belarus,30-70,,BOTHSEX,23.8
2000,Croatia,30-70,,BOTHSEX,22.9
2000,Croatia,30-70,,FEMALE,15.4
2000,Croatia,30-70,,MALE,30.8
2005,Croatia,30-70,,MALE,28.6
2005,Croatia,30-70,,FEMALE,13.2
2005,Croatia,30-70,,BOTHSEX,20.7
2010,Croatia,30-70,,MALE,25.6
