Year,GeoAreaName,Age,Freq,Sex,Value
2019,Armenia,15+,,MALE,301.6
2019,Armenia,ALLAGE,,BOTHSEX,374.6
2019,Armenia,15+,,FEMALE,458.1
2020,Armenia,15+,,FEMALE,444.5
2020,Armenia,ALLAGE,,BOTHSEX,316.7
2020,Armenia,15+,,MALE,305
2015,Albania,ALLAGE,,BOTHSEX,1120.5
2015,Albania,15+,,MALE,400.9
2015,Albania,15+,,FEMALE,474.8
2016,Albania,15+,,MALE,406.2
2016,Albania,ALLAGE,,BOTHSEX,1127.2
2016,Albania,15+,,FEMALE,476.6
2017,Albania,ALLAGE,,BOTHSEX,1113.8
2017,Albania,15+,,MALE,395.3
2017,Albania,15+,,FEMALE,483.7
2018,Ukraine,15+,,MALE,2519.4
2018,Ukraine,15+,,FEMALE,4127.4
2018,Ukraine,ALLAGE,,BOTHSEX,8114.8
2019,Ukraine,ALLAGE,,BOTHSEX,8742.1
2019,Ukraine,15+,,FEMALE,4449.1
2019,Ukraine,15+,,MALE,2910.5
2020,Ukraine,15+,,FEMALE,4940.4
2020,Ukraine,15+,,MALE,3367.5
2020,Ukraine,ALLAGE,,BOTHSEX,9948.8
2018,Albania,15+,,MALE,385.5
2018,Albania,ALLAGE,,BOTHSEX,1070.2
2018,Albania,15+,,FEMALE,457.1
2019,Albania,15+,,MALE,350.3
2019,Albania,ALLAGE,,BOTHSEX,972.2
2019,Albania,15+,,FEMALE,423.7
2020,Albania,ALLAGE,,BOTHSEX,890
2020,Albania,15+,,MALE,319.5
2020,Albania,15+,,FEMALE,390.5
2015,North Macedonia,15+,,FEMALE,139.1
2015,North Macedonia,15+,,MALE,103.8
2015,North Macedonia,ALLAGE,,BOTHSEX,315
2016,North Macedonia,15+,,FEMALE,122.5
2016,North Macedonia,15+,,MALE,<100
2016,North Macedonia,ALLAGE,,BOTHSEX,285.7
2017,North Macedonia,15+,,FEMALE,115.5
2017,North Macedonia,15+,,MALE,122.1
2015,Belgium,15+,,MALE,NaN
2015,Belgium,15+,,FEMALE,NaN
2015,Belgium,ALLAGE,,BOTHSEX,NaN
2016,Belgium,15+,,MALE,NaN
2016,Belgium,15+,,FEMALE,NaN
2016,Belgium,ALLAGE,,BOTHSEX,NaN
2017,Belgium,ALLAGE,,BOTHSEX,NaN
2017,Belgium,15+,,MALE,NaN
2017,Belgium,15+,,FEMALE,NaN
2018,Belgium,15+,,MALE,NaN
2018,Belgium,15+,,FEMALE,NaN
2017,North Macedonia,ALLAGE,,BOTHSEX,296.8
2018,North Macedonia,15+,,FEMALE,125.6
2018,North Macedonia,15+,,MALE,114.1
2018,North Macedonia,ALLAGE,,BOTHSEX,300.5
2019,North Macedonia,ALLAGE,,BOTHSEX,369
2019,North Macedonia,15+,,FEMALE,148.7
2019,North Macedonia,15+,,MALE,143.7
2020,North Macedonia,15+,,FEMALE,182.8
2018,Belgium,ALLAGE,,BOTHSEX,NaN
2019,Belgium,15+,,MALE,202.9
2019,Belgium,ALLAGE,,BOTHSEX,428.8
