Year,GeoAreaName,Age,Parliamentary committees,Sex,Value
2021,Switzerland,<=45Y,HUM_RIGH,MALE,1
2021,Switzerland,46+,DEFENCE,FEMALE,1
2022,Albania,46+,FINANCE,MALE,1
2023,Albania,<=45Y,HUM_RIGH,FEMALE,1
2023,Albania,46+,GEN_EQU,FEMALE,1
2023,Albania,46+,FOR_AFF,FEMALE,1
2023,Albania,46+,FINANCE,MALE,1
2023,Albania,46+,DEFENCE,MALE,1
2021,Azerbaijan,46+,GEN_EQU,FEMALE,1
2021,Azerbaijan,46+,DEFENCE,MALE,1
2021,Azerbaijan,46+,FOR_AFF,MALE,1
2022,Lithuania,<=45Y,GEN_EQU,MALE,1
2023,Lithuania,<=45Y,HUM_RIGH,MALE,1
2023,Lithuania,<=45Y,GEN_EQU,MALE,1
2023,Lithuania,46+,FOR_AFF,MALE,1
2023,Lithuania,<=45Y,FINANCE,MALE,1
2023,Lithuania,<=45Y,DEFENCE,MALE,1
2021,Luxembourg,<=45Y,DEFENCE,FEMALE,1
2021,Luxembourg,46+,HUM_RIGH,MALE,1
2021,Luxembourg,46+,FINANCE,MALE,1
2021,Switzerland,46+,FINANCE,MALE,1
2021,Switzerland,<=45Y,GEN_EQU,FEMALE,1
2021,Switzerland,<=45Y,FOR_AFF,FEMALE,1
2022,Switzerland,46+,FINANCE,MALE,1
2022,Switzerland,46+,DEFENCE,MALE,1
2022,Switzerland,<=45Y,HUM_RIGH,MALE,2
2022,Switzerland,46+,FOR_AFF,MALE,1
2022,Switzerland,<=45Y,GEN_EQU,MALE,1
2021,Luxembourg,46+,FOR_AFF,MALE,1
2021,Luxembourg,<=45Y,GEN_EQU,MALE,1
2022,Luxembourg,46+,FINANCE,MALE,1
2022,Luxembourg,46+,FOR_AFF,MALE,1
2022,Luxembourg,46+,HUM_RIGH,MALE,1
2022,Luxembourg,<=45Y,GEN_EQU,MALE,1
2022,Luxembourg,<=45Y,DEFENCE,FEMALE,1
2023,Luxembourg,<=45Y,DEFENCE,FEMALE,1
2023,Luxembourg,46+,GEN_EQU,MALE,1
2023,Luxembourg,46+,FOR_AFF,MALE,1
2023,Luxembourg,46+,FINANCE,MALE,1
2023,Luxembourg,46+,HUM_RIGH,MALE,1
2021,Malta,_X,DEFENCE,_X,0
2021,Malta,46+,FOR_AFF,MALE,1
2021,Malta,_X,GEN_EQU,_X,0
2021,Malta,_X,HUM_RIGH,_X,0
2021,Azerbaijan,46+,HUM_RIGH,MALE,1
2021,Azerbaijan,<=45Y,FINANCE,MALE,1
2022,Azerbaijan,46+,GEN_EQU,FEMALE,1
2022,Azerbaijan,46+,DEFENCE,MALE,1
2022,Azerbaijan,46+,FOR_AFF,MALE,1
2022,Azerbaijan,46+,HUM_RIGH,MALE,1
2022,Azerbaijan,<=45Y,FINANCE,MALE,1
2023,Azerbaijan,46+,HUM_RIGH,MALE,1
2023,Switzerland,46+,DEFENCE,MALE,1
2023,Switzerland,46+,FINANCE,MALE,1
2023,Switzerland,<=45Y,GEN_EQU,MALE,1
2023,Switzerland,46+,FOR_AFF,MALE,1
2023,Switzerland,<=45Y,HUM_RIGH,MALE,2
2021,Tajikistan,46+,HUM_RIGH,MALE,1
2021,Tajikistan,46+,FOR_AFF,MALE,1
2021,Tajikistan,46+,FINANCE,MALE,1
2021,Malta,<=45Y,FINANCE,MALE,1
2022,Malta,46+,FOR_AFF,MALE,1
2022,Malta,_X,HUM_RIGH,_X,0
2022,Malta,_X,GEN_EQU,_X,0
2022,Malta,<=45Y,FINANCE,MALE,1
2022,Malta,_X,DEFENCE,_X,0
2023,Malta,_X,HUM_RIGH,_X,0
2023,Malta,_X,GEN_EQU,_X,0
2021,Tajikistan,_U,DEFENCE,MALE,1
2021,Tajikistan,_X,GEN_EQU,_X,0
2022,Tajikistan,46+,HUM_RIGH,MALE,1
2022,Tajikistan,46+,FINANCE,MALE,1
2022,Tajikistan,46+,FOR_AFF,MALE,1
2022,Tajikistan,_U,DEFENCE,MALE,1
2022,Tajikistan,_X,GEN_EQU,_X,0
2023,Tajikistan,46+,HUM_RIGH,MALE,1
2023,Azerbaijan,46+,GEN_EQU,FEMALE,1
2023,Azerbaijan,46+,FOR_AFF,MALE,1
2023,Azerbaijan,<=45Y,FINANCE,MALE,1
2023,Azerbaijan,46+,DEFENCE,MALE,1
2021,Austria,<=45Y,HUM_RIGH,MALE,1
2021,Austria,46+,DEFENCE,MALE,1
2021,Austria,46+,FINANCE,MALE,1
2021,Austria,46+,FOR_AFF,FEMALE,1
2023,Tajikistan,46+,FOR_AFF,MALE,1
2023,Tajikistan,46+,FINANCE,MALE,1
2023,Tajikistan,_U,DEFENCE,MALE,1
2023,Tajikistan,_X,GEN_EQU,_X,0
2021,Türkiye,46+,HUM_RIGH,MALE,1
2021,Türkiye,46+,GEN_EQU,FEMALE,1
2021,Türkiye,<=45Y,FOR_AFF,MALE,1
2021,Türkiye,46+,DEFENCE,MALE,1
2023,Malta,_X,DEFENCE,_X,0
2023,Malta,_U,FOR_AFF,MALE,1
2023,Malta,_U,FINANCE,MALE,1
2021,Republic of Moldova,<=45Y,DEFENCE,MALE,1
2021,Republic of Moldova,46+,FOR_AFF,FEMALE,1
2021,Republic of Moldova,<=45Y,HR_GEQU,FEMALE,1
2021,Republic of Moldova,46+,FINANCE,MALE,1
2022,Republic of Moldova,<=45Y,FOR_AFF,FEMALE,1
2021,Türkiye,46+,FINANCE,MALE,1
2022,Türkiye,46+,FINANCE,MALE,1
2022,Türkiye,46+,DEFENCE,MALE,1
2022,Türkiye,46+,HUM_RIGH,MALE,1
2022,Türkiye,46+,GEN_EQU,FEMALE,1
2022,Türkiye,<=45Y,FOR_AFF,MALE,1
2023,Türkiye,46+,HUM_RIGH,MALE,1
2023,Türkiye,46+,GEN_EQU,FEMALE,1
2022,Republic of Moldova,<=45Y,HR_GEQU,MALE,1
2022,Republic of Moldova,<=45Y,FINANCE,MALE,1
2022,Republic of Moldova,<=45Y,DEFENCE,MALE,1
2023,Republic of Moldova,<=45Y,HR_GEQU,MALE,1
2023,Republic of Moldova,<=45Y,FOR_AFF,FEMALE,1
2023,Republic of Moldova,<=45Y,FINANCE,MALE,1
2023,Republic of Moldova,<=45Y,DEFENCE,MALE,1
2021,Montenegro,<=45Y,DEFENCE,MALE,1
2023,Türkiye,46+,FOR_AFF,MALE,1
2023,Türkiye,46+,FINANCE,MALE,1
2023,Türkiye,46+,DEFENCE,MALE,1
2021,Turkmenistan,<=45Y,FINANCE,MALE,1
2021,Turkmenistan,<=45Y,DEFENCE,MALE,1
2021,Turkmenistan,46+,GEN_EQU,MALE,1
2021,Turkmenistan,46+,FOR_AFF,MALE,1
2021,Turkmenistan,<=45Y,HUM_RIGH,MALE,1
2022,Turkmenistan,46+,FOR_AFF,MALE,1
2022,Turkmenistan,<=45Y,FINANCE,MALE,1
2022,Turkmenistan,<=45Y,HUM_RIGH,MALE,1
2022,Turkmenistan,<=45Y,DEFENCE,MALE,1
2022,Turkmenistan,46+,GEN_EQU,MALE,1
2023,Turkmenistan,46+,GEN_EQU,MALE,1
2023,Turkmenistan,46+,FOR_AFF,MALE,1
2023,Turkmenistan,<=45Y,FINANCE,MALE,1
2021,Montenegro,46+,GEN_EQU,FEMALE,1
2021,Montenegro,46+,FOR_AFF,MALE,1
2021,Montenegro,46+,FINANCE,MALE,1
2021,Montenegro,46+,HUM_RIGH,MALE,1
2022,Montenegro,46+,GEN_EQU,FEMALE,1
2022,Montenegro,46+,FINANCE,MALE,1
2022,Montenegro,46+,HUM_RIGH,MALE,1
2022,Montenegro,46+,FOR_AFF,MALE,1
2022,Montenegro,<=45Y,DEFENCE,MALE,1
2023,Turkmenistan,46+,DEFENCE,MALE,1
2023,Turkmenistan,<=45Y,HUM_RIGH,MALE,1
2021,Ukraine,46+,DEFENCE,MALE,1
2021,Ukraine,46+,FOR_AFF,MALE,1
2021,Ukraine,<=45Y,FINANCE,FEMALE,1
2021,Ukraine,<=45Y,HUM_RIGH,MALE,1
2021,Ukraine,_U,HUM_RIGH,_U,1
2021,Ukraine,<=45Y,GEN_EQU,FEMALE,1
2022,Ukraine,46+,FOR_AFF,MALE,1
2022,Ukraine,<=45Y,GEN_EQU,FEMALE,1
2022,Ukraine,<=45Y,HR_GEQU,FEMALE,1
2022,Ukraine,<=45Y,HUM_RIGH,MALE,1
2022,Ukraine,46+,DEFENCE,MALE,1
2022,Ukraine,<=45Y,FINANCE,FEMALE,1
2022,Ukraine,_U,HUM_RIGH,_U,1
2023,Ukraine,<=45Y,GEN_EQU,FEMALE,1
2022,Bosnia and Herzegovina,46+,FINANCE,MALE,1
2022,Bosnia and Herzegovina,46+,FOR_AFF,MALE,1
2023,Bosnia and Herzegovina,<=45Y,GEN_EQU,MALE,1
2023,Bosnia and Herzegovina,<=45Y,FOR_AFF,FEMALE,1
2023,Bosnia and Herzegovina,46+,FINANCE,MALE,1
2021,Bulgaria,_X,GEN_EQU,_X,0
2021,Bulgaria,46+,HUM_RIGH,MALE,1
2021,Bulgaria,46+,FINANCE,FEMALE,1
2023,Montenegro,<=45Y,DEFENCE,MALE,1
2023,Montenegro,46+,GEN_EQU,FEMALE,1
2023,Montenegro,46+,FINANCE,MALE,1
2023,Montenegro,46+,FOR_AFF,MALE,1
2023,Montenegro,46+,HUM_RIGH,MALE,1
2021,Netherlands,46+,FOR_AFF,FEMALE,1
2021,Netherlands,_X,HUM_RIGH,_X,0
2021,Netherlands,46+,FINANCE,MALE,1
2023,Ukraine,46+,FOR_AFF,MALE,1
2023,Ukraine,<=45Y,FINANCE,FEMALE,1
2023,Ukraine,46+,DEFENCE,MALE,1
2023,Ukraine,<=45Y,HR_GEQU,FEMALE,1
2023,Ukraine,<=45Y,HUM_RIGH,MALE,1
2023,Ukraine,_U,HUM_RIGH,_U,1
2021,North Macedonia,46+,DEFENCE,MALE,1
2021,North Macedonia,<=45Y,FOR_AFF,MALE,1
2021,North Macedonia,<=45Y,GEN_EQU,FEMALE,1
2021,North Macedonia,46+,FINANCE,FEMALE,1
2021,North Macedonia,46+,HUM_RIGH,MALE,1
2022,North Macedonia,<=45Y,DEFENCE,MALE,1
2022,North Macedonia,46+,HUM_RIGH,MALE,1
2022,North Macedonia,46+,GEN_EQU,FEMALE,1
2022,North Macedonia,<=45Y,FINANCE,MALE,1
2022,North Macedonia,<=45Y,FOR_AFF,MALE,1
2021,Netherlands,_X,GEN_EQU,_X,0
2021,Netherlands,46+,DEFENCE,FEMALE,1
2022,Netherlands,46+,FINANCE,MALE,1
2022,Netherlands,46+,FOR_AFF,FEMALE,1
2022,Netherlands,46+,DEFENCE,FEMALE,1
2022,Netherlands,_X,HUM_RIGH,_X,0
2022,Netherlands,_X,GEN_EQU,_X,0
2023,Netherlands,_X,HUM_RIGH,_X,0
2023,North Macedonia,46+,HUM_RIGH,MALE,1
2023,North Macedonia,46+,GEN_EQU,FEMALE,1
2023,North Macedonia,46+,FOR_AFF,MALE,1
2023,North Macedonia,<=45Y,FINANCE,MALE,1
2023,North Macedonia,46+,DEFENCE,MALE,1
2021,Uzbekistan,46+,DEFENCE,MALE,1
2021,Uzbekistan,46+,FINANCE,MALE,1
2021,Uzbekistan,46+,GEN_EQU,FEMALE,1
2021,Uzbekistan,46+,HUM_RIGH,MALE,1
2021,Uzbekistan,46+,FOR_AFF,MALE,1
2022,Uzbekistan,46+,FOR_AFF,MALE,1
2022,Uzbekistan,46+,FINANCE,MALE,1
