Year,GeoAreaName,Disability status,Sex,Value
2021,Denmark,PWD,FEMALE,8.52
2021,Denmark,_T,MALE,8.03
2021,Denmark,PWD,BOTHSEX,8.04
2021,Denmark,PD,MALE,28.12
2021,Denmark,PD,FEMALE,33.11
2021,Denmark,PD,BOTHSEX,30.61
2021,Denmark,_T,FEMALE,9.09
2021,Denmark,PWD,MALE,7.6
2004,Estonia,_T,BOTHSEX,11.24
2004,Estonia,PD,BOTHSEX,25.5
2004,Estonia,PWD,FEMALE,8.29
2004,Estonia,PD,FEMALE,17.24
2004,Estonia,_T,MALE,13.8
2004,Estonia,PWD,MALE,13.19
2004,Estonia,_T,FEMALE,8.59
2004,Estonia,PD,MALE,34.86
2004,Estonia,PWD,BOTHSEX,10.79
2005,Estonia,PWD,MALE,10.6
2020,Spain,PWD,MALE,17.91
2020,Spain,_T,BOTHSEX,20.47
2020,Spain,PD,BOTHSEX,29.39
2020,Spain,PD,MALE,23.86
2020,Spain,PWD,FEMALE,23
2020,Spain,PWD,BOTHSEX,20.31
2021,Spain,PD,MALE,27.01
2021,Spain,PWD,MALE,15.28
2021,Spain,PD,FEMALE,35.35
2005,Estonia,PWD,FEMALE,7.1
2005,Estonia,_T,BOTHSEX,9.27
2005,Estonia,PD,BOTHSEX,21.98
2005,Estonia,_T,FEMALE,7.4
2005,Estonia,PWD,BOTHSEX,8.88
2005,Estonia,PD,MALE,26.37
2005,Estonia,PD,FEMALE,17.47
2005,Estonia,_T,MALE,11.06
2006,Estonia,_T,BOTHSEX,7.11
2006,Estonia,PWD,BOTHSEX,6.93
2006,Estonia,_T,MALE,8.71
2006,Estonia,PD,MALE,24.3
2006,Estonia,PWD,FEMALE,5.37
2006,Estonia,_T,FEMALE,5.45
2006,Estonia,PD,BOTHSEX,18.59
2006,Estonia,PWD,MALE,8.43
2006,Estonia,PD,FEMALE,10.96
2007,Estonia,PWD,MALE,6.86
2021,Spain,_T,FEMALE,20.87
2021,Spain,_T,MALE,15.55
2021,Spain,PWD,BOTHSEX,17.75
2021,Spain,PWD,FEMALE,20.53
2021,Spain,PD,BOTHSEX,30.95
2021,Spain,_T,BOTHSEX,18.06
2004,Sweden,_T,MALE,8.24
2004,Sweden,PWD,BOTHSEX,7.15
2004,Sweden,PWD,MALE,7.69
2007,Estonia,_T,FEMALE,3.24
2007,Estonia,PD,BOTHSEX,11.87
2007,Estonia,PWD,BOTHSEX,5.09
2007,Estonia,PWD,FEMALE,3.2
2007,Estonia,PD,MALE,17.85
2007,Estonia,_T,BOTHSEX,5.18
2007,Estonia,_T,MALE,7.01
2008,Estonia,PWD,FEMALE,2.57
2008,Estonia,_T,BOTHSEX,5.18
2004,Sweden,PD,FEMALE,19.09
2004,Sweden,PD,MALE,24.72
2004,Sweden,_T,BOTHSEX,7.72
2004,Sweden,_T,FEMALE,7.13
2004,Sweden,PD,BOTHSEX,21.55
2004,Sweden,PWD,FEMALE,6.54
