Year,GeoAreaName,Migratory status,Sex,Value
2014,Netherlands,_T,MALE,1.31
2014,Netherlands,_T,BOTHSEX,0.71
2015,Netherlands,NONMIG,FEMALE,0.0
2015,Netherlands,_T,MALE,1.03
2015,Netherlands,NONMIG,MALE,0.96
2015,Netherlands,_T,BOTHSEX,0.54
2015,Netherlands,NONMIG,BOTHSEX,0.51
2013,Croatia,NONMIG,MALE,3.67
2013,Croatia,_T,BOTHSEX,2.09
2013,Croatia,_T,MALE,3.66
2013,Croatia,NONMIG,BOTHSEX,2.09
2013,Croatia,_T,FEMALE,0.31
2014,Croatia,NONMIG,FEMALE,0.32
2015,Netherlands,_T,FEMALE,0.0
2016,Netherlands,_T,BOTHSEX,0.5
2017,Netherlands,_T,BOTHSEX,0.59
2018,Netherlands,_T,BOTHSEX,0.6
2019,Netherlands,_T,BOTHSEX,0.48
2020,Netherlands,_T,BOTHSEX,0.3
2000,Norway,_T,BOTHSEX,2.5
2001,Norway,_T,BOTHSEX,1.6
2014,Croatia,NONMIG,BOTHSEX,2.02
2014,Croatia,_T,BOTHSEX,2.02
2014,Croatia,_T,FEMALE,0.32
2014,Croatia,NONMIG,MALE,3.51
2014,Croatia,_T,MALE,3.51
2015,Croatia,NONMIG,FEMALE,0.31
2015,Croatia,NONMIG,MALE,4.0
2015,Croatia,_T,MALE,3.99
2015,Croatia,_T,FEMALE,0.3
2015,Croatia,NONMIG,BOTHSEX,2.25
2015,Croatia,_T,BOTHSEX,2.24
2016,Croatia,MIGPER,FEMALE,0.0
2016,Croatia,_T,FEMALE,0.44
2002,Norway,_T,BOTHSEX,1.7
2003,Norway,_T,BOTHSEX,2.1
2004,Norway,_T,BOTHSEX,1.7
2005,Norway,_T,BOTHSEX,2.1
2006,Norway,_T,BOTHSEX,1.3
2007,Norway,_T,BOTHSEX,1.6
2008,Norway,_T,BOTHSEX,2.0
2009,Norway,_T,FEMALE,0.17
2009,Norway,NONMIG,BOTHSEX,1.69
2009,Norway,_T,BOTHSEX,1.76
2009,Norway,_T,MALE,3.19
2009,Norway,NONMIG,FEMALE,0.18
2009,Norway,NONMIG,MALE,3.06
2010,Norway,NONMIG,BOTHSEX,1.57
2010,Norway,NONMIG,MALE,2.77
2010,Norway,_T,MALE,2.88
2010,Norway,NONMIG,FEMALE,0.17
2010,Norway,_T,FEMALE,0.16
2010,Norway,_T,BOTHSEX,1.63
2011,Norway,NONMIG,BOTHSEX,1.97
2011,Norway,_T,BOTHSEX,2.16
2011,Norway,NONMIG,MALE,2.78
2011,Norway,_T,FEMALE,1.0
2011,Norway,NONMIG,FEMALE,1.06
2011,Norway,_T,MALE,3.19
2012,Norway,_T,FEMALE,0.16
2012,Norway,NONMIG,BOTHSEX,1.21
2012,Norway,_T,MALE,2.54
2012,Norway,NONMIG,FEMALE,0.18
2016,Croatia,NONMIG,FEMALE,0.44
2016,Croatia,MIGPER,BOTHSEX,0.0
2016,Croatia,NONMIG,BOTHSEX,2.71
2016,Croatia,MIGPER,MALE,0.0
2016,Croatia,_T,BOTHSEX,2.71
2016,Croatia,NONMIG,MALE,4.74
2016,Croatia,_T,MALE,4.74
2012,Norway,NONMIG,MALE,2.13
2012,Norway,_T,BOTHSEX,1.43
2013,Norway,_T,MALE,3.21
2013,Norway,_T,FEMALE,0.33
2013,Norway,NONMIG,BOTHSEX,1.84
2013,Norway,NONMIG,MALE,3.21
2013,Norway,_T,BOTHSEX,1.85
2013,Norway,NONMIG,FEMALE,0.35
2014,Norway,NONMIG,BOTHSEX,1.19
2014,Norway,_T,BOTHSEX,1.74
2014,Norway,NONMIG,MALE,2.12
2014,Norway,_T,MALE,3.02
2014,Norway,NONMIG,FEMALE,0.13
2014,Norway,_T,FEMALE,0.24
2017,Croatia,_T,BOTHSEX,2.63
2018,Croatia,_T,BOTHSEX,3.04
2019,Croatia,_T,BOTHSEX,2.96
2020,Croatia,_T,BOTHSEX,2.89
2000,Cyprus,_T,BOTHSEX,2.3
2001,Cyprus,_T,BOTHSEX,3.9
2002,Cyprus,_T,BOTHSEX,7.0
2015,Norway,_T,FEMALE,0.16
2015,Norway,NONMIG,MALE,1.68
2015,Norway,NONMIG,BOTHSEX,0.97
2015,Norway,NONMIG,FEMALE,0.17
2015,Norway,_T,BOTHSEX,1.51
2015,Norway,_T,MALE,2.7
2016,Norway,_T,BOTHSEX,1.66
2002,Cyprus,_T,FEMALE,1.7
2002,Cyprus,_T,MALE,11.9
2003,Cyprus,_T,MALE,6.3
2003,Cyprus,_T,FEMALE,0.0
2003,Cyprus,_T,BOTHSEX,3.2
2004,Cyprus,_T,BOTHSEX,5.4
2004,Cyprus,_T,FEMALE,0.0
2004,Cyprus,_T,MALE,10.5
2005,Cyprus,_T,FEMALE,0.0
2005,Cyprus,_T,MALE,9.0
2005,Cyprus,_T,BOTHSEX,5.0
2006,Cyprus,_T,FEMALE,0.0
2006,Cyprus,_T,MALE,12.0
2006,Cyprus,_T,BOTHSEX,6.0
2007,Cyprus,_T,BOTHSEX,5.0
2007,Cyprus,_T,MALE,10.0
2007,Cyprus,_T,FEMALE,0.0
2008,Cyprus,_T,MALE,6.97
2008,Cyprus,_T,BOTHSEX,3.92
2008,Cyprus,_T,FEMALE,0.67
2009,Cyprus,_T,BOTHSEX,2.62
2009,Cyprus,_T,MALE,3.81
2009,Cyprus,_T,FEMALE,1.17
2017,Norway,_T,BOTHSEX,1.59
2018,Norway,_T,BOTHSEX,1.31
2019,Norway,_T,BOTHSEX,1.09
2020,Norway,_T,BOTHSEX,1.45
2000,Poland,_T,BOTHSEX,5.2
2001,Poland,_T,BOTHSEX,5.1
2002,Poland,_T,BOTHSEX,4.9
2009,Cyprus,NONMIG,BOTHSEX,2.54
2009,Cyprus,NONMIG,MALE,3.32
2009,Cyprus,NONMIG,FEMALE,1.49
2010,Cyprus,NONMIG,FEMALE,0.0
2010,Cyprus,NONMIG,MALE,5.12
2010,Cyprus,_T,BOTHSEX,4.93
2010,Cyprus,_T,MALE,9.02
2010,Cyprus,_T,FEMALE,0.0
2010,Cyprus,NONMIG,BOTHSEX,2.95
2011,Cyprus,NONMIG,BOTHSEX,0.77
2011,Cyprus,NONMIG,MALE,1.49
2011,Cyprus,_T,BOTHSEX,1.8
2011,Cyprus,_T,FEMALE,0.0
2011,Cyprus,NONMIG,FEMALE,0.0
2011,Cyprus,_T,MALE,3.67
2012,Cyprus,_T,FEMALE,1.19
2006,Azerbaijan,_T,MALE,15.0
2006,Azerbaijan,_T,BOTHSEX,8.0
2006,Azerbaijan,_T,FEMALE,1.0
2007,Azerbaijan,_T,MALE,24.0
2007,Azerbaijan,_T,FEMALE,0.4
2007,Azerbaijan,_T,BOTHSEX,13.0
2008,Azerbaijan,_T,BOTHSEX,7.0
2008,Azerbaijan,_T,FEMALE,0.0
2003,Poland,_T,BOTHSEX,4.9
2004,Poland,_T,BOTHSEX,4.7
2005,Poland,_T,BOTHSEX,4.4
