Year,GeoAreaName,Age,Location,Sex,Value
2011,Albania,10+,RURAL,MALE,3.88889
2011,Albania,65+,RURAL,MALE,6.52778
2011,Albania,10+,URBAN,FEMALE,19.09722
2011,Albania,65+,URBAN,FEMALE,17.43056
2011,Albania,10+,URBAN,MALE,2.98611
2011,Albania,65+,URBAN,MALE,6.52778
2011,Albania,10+,ALLAREA,FEMALE,21.73611
2011,Albania,65+,ALLAREA,FEMALE,18.47222
2011,Albania,10+,ALLAREA,MALE,3.47222
2011,Albania,65+,ALLAREA,MALE,6.52778
2011,Albania,10+,RURAL,FEMALE,24.65278
2011,Albania,65+,RURAL,FEMALE,19.65278
2000,Kazakhstan,20-74,ALLAREA,FEMALE,27.70833
2000,Kazakhstan,20-74,ALLAREA,MALE,13.81944
2003,Kazakhstan,20-74,ALLAREA,FEMALE,28.47222
2003,Kazakhstan,20-74,ALLAREA,MALE,17.36111
2006,Kazakhstan,20-74,ALLAREA,FEMALE,26.11111
2006,Kazakhstan,20-74,ALLAREA,MALE,15.06944
2012,Kazakhstan,10+,ALLAREA,FEMALE,17.08333
2012,Kazakhstan,10+,ALLAREA,MALE,7.70833
2018,Kazakhstan,10+,ALLAREA,FEMALE,17.91667
2018,Kazakhstan,15+,ALLAREA,FEMALE,18.95833
2018,Kazakhstan,15-24,ALLAREA,FEMALE,14.93056
2018,Kazakhstan,55-64,ALLAREA,FEMALE,18.88889
2018,Kazakhstan,25-44,ALLAREA,FEMALE,22.22222
2018,Kazakhstan,45-54,ALLAREA,FEMALE,17.70833
2018,Kazakhstan,55-64,URBAN,FEMALE,18.61111
2018,Kazakhstan,45-54,URBAN,FEMALE,16.66667
2018,Kazakhstan,25-44,URBAN,FEMALE,21.25
2008,Azerbaijan,15+,ALLAREA,FEMALE,25.41667
2008,Azerbaijan,15+,ALLAREA,MALE,8.88889
2009,Austria,10+,ALLAREA,FEMALE,18.32865
2009,Austria,25-44,ALLAREA,MALE,9.39647
2009,Austria,45-54,ALLAREA,MALE,10.52788
2009,Austria,55-64,ALLAREA,MALE,11.64168
2009,Austria,15+,ALLAREA,FEMALE,19.06954
2009,Austria,65+,ALLAREA,MALE,14.81556
2009,Austria,15+,RURAL,FEMALE,20.01933
2018,Kazakhstan,10+,ALLAREA,MALE,5.90278
2018,Kazakhstan,15+,ALLAREA,MALE,6.25
2018,Kazakhstan,15-24,RURAL,FEMALE,16.73611
2018,Kazakhstan,25-44,RURAL,FEMALE,23.81944
2018,Kazakhstan,65+,ALLAREA,FEMALE,15.27778
2018,Kazakhstan,45-54,RURAL,FEMALE,19.30556
2018,Kazakhstan,65+,RURAL,FEMALE,13.68056
2018,Kazakhstan,10+,RURAL,MALE,6.31944
2018,Kazakhstan,15+,URBAN,FEMALE,18.33333
2009,Austria,10+,URBAN,FEMALE,16.84577
2009,Austria,25-44,URBAN,MALE,9.50728
2009,Austria,45-54,URBAN,MALE,11.51986
2009,Austria,55-64,URBAN,MALE,10.56438
2009,Austria,15+,URBAN,FEMALE,17.40368
2009,Austria,65+,URBAN,MALE,14.16198
2009,Austria,25-44,RURAL,FEMALE,22.80469
