Year,GeoAreaName,Level/Status,Value
2021,Bulgaria,LI_IMP_ADMNG,1
2021,Denmark,LI_IMP_ADMNG,1
2017,Estonia,LI_PLDV,1
2020,Finland,LI_IMP_ADMNG,1
2021,Georgia,LI_PLA_DSG,1
2021,Germany,LI_IMP_ADMNG,1
2019,Latvia,LI_PLA_DSG,1
2021,Lithuania,LI_IMP_ADMNG,1
2021,Poland,LI_PLA_DSG,1
2021,Romania,LI_PLA_DSG,1
2021,Sweden,LI_PLA_DSG,1
2021,Sweden,LI_PLA_DSG,1
