Year,GeoAreaName,Education level,Sex,Type of skill,Value
2009,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,77.66716
2011,Czechia,PRIMAR,BOTHSEX,SKILL_READ,98.25079
2011,Malta,PRIMAR,FEMALE,SKILL_MATH,62.31324
2011,Malta,PRIMAR,BOTHSEX,SKILL_READ,78.2012
2011,Malta,PRIMAR,MALE,SKILL_MATH,63.90364
2015,Malta,LOWSEC,BOTHSEX,SKILL_READ,64.44506
2015,Malta,LOWSEC,FEMALE,SKILL_READ,72.14767
2015,Malta,LOWSEC,BOTHSEX,SKILL_MATH,70.86299
2015,Malta,LOWSEC,MALE,SKILL_READ,56.97728
2009,Azerbaijan,LOWSEC,BOTHSEX,SKILL_READ,27.21145
2011,Azerbaijan,PRIMAR,BOTHSEX,SKILL_MATH,46.41994
2011,Azerbaijan,PRIMAR,FEMALE,SKILL_READ,84.08594
2011,Azerbaijan,PRIMAR,BOTHSEX,SKILL_READ,81.85957
2011,Azerbaijan,PRIMAR,MALE,SKILL_READ,79.86656
2016,Azerbaijan,PRIMAR,MALE,SKILL_READ,78.49785
2016,Azerbaijan,PRIMAR,BOTHSEX,SKILL_READ,80.78633
2016,Azerbaijan,PRIMAR,FEMALE,SKILL_READ,83.53725
2011,Czechia,PRIMAR,BOTHSEX,SKILL_MATH,71.79266
2011,Czechia,PRIMAR,FEMALE,SKILL_READ,98.56715
2011,Czechia,PRIMAR,FEMALE,SKILL_MATH,69.28036
2011,Czechia,PRIMAR,MALE,SKILL_MATH,74.15403
2011,Czechia,PRIMAR,MALE,SKILL_READ,97.92711
2012,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,79.03689
2012,Czechia,LOWSEC,MALE,SKILL_MATH,80.72
2012,Czechia,LOWSEC,BOTHSEX,SKILL_READ,83.13411
2016,Malta,PRIMAR,BOTHSEX,SKILL_READ,73.16581
2016,Malta,PRIMAR,FEMALE,SKILL_READ,77.80421
2016,Malta,PRIMAR,MALE,SKILL_READ,69.14823
2018,Malta,LOWSEC,FEMALE,SKILL_READ,73.98434
2018,Malta,LOWSEC,BOTHSEX,SKILL_READ,64.1141
2018,Malta,LOWSEC,BOTHSEX,SKILL_MATH,69.75253
2018,Malta,LOWSEC,MALE,SKILL_READ,55.05872
2019,Azerbaijan,PRIMAR,BOTHSEX,SKILL_MATH,71.74674
2019,Azerbaijan,PRIMAR,MALE,SKILL_MATH,72.52979
2019,Azerbaijan,PRIMAR,FEMALE,SKILL_MATH,74.16929
2000,Austria,LOWSEC,MALE,SKILL_MATH,87.17
2000,Austria,LOWSEC,FEMALE,SKILL_READ,88.91
2000,Austria,LOWSEC,FEMALE,SKILL_MATH,82.61
2000,Austria,LOWSEC,BOTHSEX,SKILL_READ,85.3
2012,Czechia,LOWSEC,FEMALE,SKILL_MATH,77.27
2012,Czechia,LOWSEC,FEMALE,SKILL_READ,89.39
2012,Czechia,LOWSEC,MALE,SKILL_READ,77.19
2015,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,78.30897
2015,Czechia,LOWSEC,MALE,SKILL_READ,73.17524
2015,Czechia,PRIMAR,BOTHSEX,SKILL_MATH,78.41877
2015,Czechia,PRIMAR,MALE,SKILL_MATH,79.41916
2000,Austria,LOWSEC,MALE,SKILL_READ,82.22
2000,Austria,LOWSEC,BOTHSEX,SKILL_MATH,84.44446
2003,Austria,LOWSEC,BOTHSEX,SKILL_READ,79.29672
2003,Austria,LOWSEC,FEMALE,SKILL_MATH,81.63
2003,Austria,LOWSEC,FEMALE,SKILL_READ,86.86
2003,Austria,LOWSEC,MALE,SKILL_MATH,80.83
2003,Austria,LOWSEC,BOTHSEX,SKILL_MATH,81.23016
2019,Malta,PRIMAR,MALE,SKILL_MATH,70.06548
2019,Malta,PRIMAR,BOTHSEX,SKILL_MATH,69.07995
2019,Malta,PRIMAR,FEMALE,SKILL_MATH,68.02743
2001,Republic of Moldova,PRIMAR,BOTHSEX,SKILL_READ,88.49659
2001,Republic of Moldova,PRIMAR,MALE,SKILL_READ,84.33527
2001,Republic of Moldova,PRIMAR,FEMALE,SKILL_READ,92.66856
2003,Republic of Moldova,PRIMAR,BOTHSEX,SKILL_MATH,65.75611
2003,Republic of Moldova,PRIMAR,FEMALE,SKILL_MATH,67.92466
2003,Austria,LOWSEC,MALE,SKILL_READ,71.76
2006,Austria,LOWSEC,MALE,SKILL_READ,72.57
2006,Austria,PRIMAR,BOTHSEX,SKILL_READ,97.62326
2006,Austria,PRIMAR,MALE,SKILL_READ,96.86289
2006,Austria,LOWSEC,BOTHSEX,SKILL_MATH,80.00001
2006,Austria,LOWSEC,MALE,SKILL_MATH,82.63
2006,Austria,LOWSEC,FEMALE,SKILL_READ,84.63
2006,Austria,LOWSEC,FEMALE,SKILL_MATH,77.27
2006,Austria,LOWSEC,BOTHSEX,SKILL_READ,78.48328
2006,Austria,PRIMAR,FEMALE,SKILL_READ,98.39928
2007,Austria,PRIMAR,BOTHSEX,SKILL_MATH,68.89727
2009,Austria,LOWSEC,FEMALE,SKILL_READ,79.74
2009,Austria,LOWSEC,MALE,SKILL_MATH,78.65
2009,Austria,LOWSEC,BOTHSEX,SKILL_READ,72.42369
2015,Czechia,LOWSEC,FEMALE,SKILL_READ,83.04278
2015,Czechia,PRIMAR,FEMALE,SKILL_MATH,77.39211
2015,Czechia,LOWSEC,FEMALE,SKILL_MATH,78.72189
2015,Czechia,LOWSEC,BOTHSEX,SKILL_READ,77.97674
2015,Czechia,LOWSEC,MALE,SKILL_MATH,77.91761
2016,Czechia,PRIMAR,FEMALE,SKILL_READ,97.97584
2016,Czechia,PRIMAR,MALE,SKILL_READ,96.13597
2016,Czechia,PRIMAR,BOTHSEX,SKILL_READ,97.03947
2018,Czechia,LOWSEC,FEMALE,SKILL_READ,85.04798
2018,Czechia,LOWSEC,MALE,SKILL_READ,73.71976
2018,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,79.61492
2018,Czechia,LOWSEC,MALE,SKILL_MATH,79.1995
2018,Czechia,LOWSEC,BOTHSEX,SKILL_READ,79.25952
2018,Czechia,LOWSEC,FEMALE,SKILL_MATH,80.04899
2003,Republic of Moldova,PRIMAR,MALE,SKILL_MATH,63.65184
2006,Republic of Moldova,PRIMAR,BOTHSEX,SKILL_READ,91.26234
2006,Republic of Moldova,PRIMAR,FEMALE,SKILL_READ,93.04891
2006,Republic of Moldova,PRIMAR,MALE,SKILL_READ,89.54619
2009,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_MATH,39.33646
2009,Republic of Moldova,LOWSEC,MALE,SKILL_READ,33.36
2009,Republic of Moldova,LOWSEC,FEMALE,SKILL_READ,52.71
2019,Czechia,PRIMAR,MALE,SKILL_MATH,80.23538
2019,Czechia,PRIMAR,BOTHSEX,SKILL_MATH,78.42741
2019,Czechia,PRIMAR,FEMALE,SKILL_MATH,76.45569
2000,Denmark,LOWSEC,MALE,SKILL_MATH,87.16
2000,Denmark,LOWSEC,MALE,SKILL_READ,78.24
2000,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,86.1676
2000,Denmark,LOWSEC,FEMALE,SKILL_MATH,85.48
2009,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_READ,42.76967
2009,Republic of Moldova,LOWSEC,MALE,SKILL_MATH,40.54
2009,Republic of Moldova,LOWSEC,FEMALE,SKILL_MATH,38.07
2015,Republic of Moldova,LOWSEC,MALE,SKILL_MATH,49.13737
2015,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_READ,54.21192
2015,Republic of Moldova,LOWSEC,FEMALE,SKILL_READ,65.07829
2015,Republic of Moldova,LOWSEC,MALE,SKILL_READ,43.44065
2009,Austria,LOWSEC,BOTHSEX,SKILL_MATH,76.7601
2009,Austria,LOWSEC,MALE,SKILL_READ,64.82
2009,Austria,LOWSEC,FEMALE,SKILL_MATH,74.94
2011,Austria,PRIMAR,BOTHSEX,SKILL_READ,97.10411
2011,Austria,PRIMAR,MALE,SKILL_READ,96.5088
2011,Austria,PRIMAR,FEMALE,SKILL_READ,97.72839
2011,Austria,PRIMAR,BOTHSEX,SKILL_MATH,70.43405
2012,Austria,LOWSEC,MALE,SKILL_MATH,83.89
2015,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_MATH,49.73857
2015,Republic of Moldova,LOWSEC,FEMALE,SKILL_MATH,50.34488
2018,Republic of Moldova,LOWSEC,MALE,SKILL_MATH,49.29516
2018,Republic of Moldova,LOWSEC,FEMALE,SKILL_MATH,50.05962
2018,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_MATH,49.66686
2018,Republic of Moldova,LOWSEC,MALE,SKILL_READ,48.62072
2018,Republic of Moldova,LOWSEC,FEMALE,SKILL_READ,65.85467
2012,Austria,LOWSEC,FEMALE,SKILL_READ,87.21
2012,Austria,LOWSEC,FEMALE,SKILL_MATH,78.81
2012,Austria,LOWSEC,BOTHSEX,SKILL_READ,80.50978
2012,Austria,LOWSEC,MALE,SKILL_READ,73.77
2012,Austria,LOWSEC,BOTHSEX,SKILL_MATH,81.34507
2015,Austria,LOWSEC,FEMALE,SKILL_MATH,75.23275
2015,Austria,LOWSEC,FEMALE,SKILL_READ,80.74735
2015,Austria,LOWSEC,MALE,SKILL_MATH,81.20835
2015,Austria,LOWSEC,BOTHSEX,SKILL_MATH,78.24862
2015,Austria,LOWSEC,MALE,SKILL_READ,74.23451
2015,Austria,LOWSEC,BOTHSEX,SKILL_READ,77.46034
2016,Austria,PRIMAR,FEMALE,SKILL_READ,98.08942
2016,Austria,PRIMAR,BOTHSEX,SKILL_READ,97.58574
2016,Austria,PRIMAR,MALE,SKILL_READ,97.10886
2000,Denmark,LOWSEC,BOTHSEX,SKILL_READ,82.1
2000,Denmark,LOWSEC,FEMALE,SKILL_READ,86.65
2003,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,84.5929
2003,Denmark,LOWSEC,MALE,SKILL_READ,79.52
2003,Denmark,LOWSEC,MALE,SKILL_MATH,86.64
2003,Denmark,LOWSEC,FEMALE,SKILL_READ,87.3
2003,Denmark,LOWSEC,FEMALE,SKILL_MATH,82.62
2018,Austria,LOWSEC,MALE,SKILL_READ,71.22077
2018,Austria,LOWSEC,BOTHSEX,SKILL_MATH,78.92112
2018,Austria,LOWSEC,BOTHSEX,SKILL_READ,76.37674
2018,Austria,LOWSEC,MALE,SKILL_MATH,79.48838
2018,Austria,LOWSEC,FEMALE,SKILL_READ,81.69047
2018,Austria,LOWSEC,FEMALE,SKILL_MATH,78.33651
2019,Austria,PRIMAR,FEMALE,SKILL_MATH,83.18891
2019,Austria,PRIMAR,MALE,SKILL_MATH,83.93092
2019,Austria,PRIMAR,BOTHSEX,SKILL_MATH,83.55019
2003,Armenia,LOWSEC,MALE,SKILL_MATH,51.36447
2003,Armenia,LOWSEC,FEMALE,SKILL_MATH,56.26984
2003,Armenia,PRIMAR,FEMALE,SKILL_MATH,45.10877
2003,Armenia,LOWSEC,BOTHSEX,SKILL_MATH,53.96795
2003,Armenia,PRIMAR,MALE,SKILL_MATH,40.49514
2003,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,42.74586
2003,Denmark,LOWSEC,BOTHSEX,SKILL_READ,83.47883
2006,Denmark,LOWSEC,FEMALE,SKILL_MATH,84.82
2006,Denmark,LOWSEC,BOTHSEX,SKILL_READ,83.98577
2006,Denmark,LOWSEC,FEMALE,SKILL_READ,88.63
2006,Denmark,LOWSEC,MALE,SKILL_MATH,87.93
2006,Denmark,LOWSEC,MALE,SKILL_READ,79.29
2006,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,86.36603
2006,Denmark,GRAD23,FEMALE,SKILL_READ,97.20577
2006,Denmark,GRAD23,BOTHSEX,SKILL_READ,96.51309
2006,Denmark,GRAD23,MALE,SKILL_READ,95.8847
2007,Denmark,GRAD23,MALE,SKILL_MATH,77.55684
2007,Denmark,GRAD23,FEMALE,SKILL_MATH,75.39959
2007,Denmark,GRAD23,BOTHSEX,SKILL_MATH,76.30163
2009,Denmark,LOWSEC,BOTHSEX,SKILL_MATH,82.94641
2009,Denmark,LOWSEC,MALE,SKILL_READ,80.96
2007,Armenia,PRIMAR,MALE,SKILL_MATH,58.11217
2007,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,59.99581
2007,Armenia,LOWSEC,BOTHSEX,SKILL_MATH,63.48834
2007,Armenia,PRIMAR,FEMALE,SKILL_MATH,62.01363
2007,Armenia,LOWSEC,FEMALE,SKILL_MATH,63.81102
2007,Armenia,LOWSEC,MALE,SKILL_MATH,62.94791
2011,Armenia,PRIMAR,MALE,SKILL_MATH,40.84838
2011,Armenia,LOWSEC,MALE,SKILL_MATH,46.72195
2011,Armenia,PRIMAR,FEMALE,SKILL_MATH,41.07063
2011,Armenia,LOWSEC,FEMALE,SKILL_MATH,51.41391
2011,Armenia,LOWSEC,BOTHSEX,SKILL_MATH,49.01759
2011,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,40.91933
2015,Armenia,PRIMAR,FEMALE,SKILL_MATH,55.83526
2015,Armenia,LOWSEC,MALE,SKILL_MATH,48.27394
2015,Armenia,PRIMAR,MALE,SKILL_MATH,53.35225
2015,Armenia,PRIMAR,BOTHSEX,SKILL_MATH,54.56382
2018,Republic of Moldova,LOWSEC,BOTHSEX,SKILL_READ,57.00025
2006,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,39.9497
2006,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,43.65372
2009,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,41.58381
2009,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,50.45033
2012,Montenegro,LOWSEC,BOTHSEX,SKILL_MATH,43.35334
2012,Montenegro,LOWSEC,BOTHSEX,SKILL_READ,56.70178
2009,Denmark,LOWSEC,MALE,SKILL_MATH,85.34
2009,Denmark,LOWSEC,FEMALE,SKILL_READ,88.53
2009,Denmark,LOWSEC,FEMALE,SKILL_MATH,80.6
