Year,GeoAreaName,Age,Value
2018,Albania,2-14,47.5
2006,Azerbaijan,2-14,76.8
2016,Armenia,1-14,68.9
2012,Bosnia and Herzegovina,2-14,55.2
2019,Belarus,1-14,57.0
2018,Georgia,1-14,68.8
2015,Kazakhstan,1-14,52.7
2018,Kyrgyzstan,1-14,74.3
2012,Republic of Moldova,2-14,75.6
2018,Montenegro,1-14,65.8
2019,Serbia,1-14,44.5
2017,Tajikistan,1-14,69.0
2019,Turkmenistan,1-14,68.6
2012,Ukraine,2-14,61.2
2019,North Macedonia,1-14,73.1
2022,Uzbekistan,1-14,62.21
2022,Uzbekistan,1-14,62.21
