Year,GeoAreaName,Food Waste Sector,Value
2019,Croatia,ALL,506598.26132
2019,Croatia,HHS,348070.21242
2019,Croatia,OOHC,105613.49748
2019,Croatia,RTL,52914.55142
2019,Cyprus,RTL,15355.63551
2019,Cyprus,ALL,159310.421
2019,Cyprus,HHS,113306.08247
2019,Cyprus,OOHC,30648.70302
2019,Czechia,OOHC,273327.31213
2019,Czechia,ALL,1157110.17456
2019,Czechia,RTL,136942.64897
2019,Czechia,HHS,746840.21347
2019,Denmark,RTL,172002.62
2019,Denmark,HHS,469448.98769
2019,Denmark,ALL,760585.87369
2019,Denmark,OOHC,119134.266
2019,Estonia,HHS,102743.4957
2019,Estonia,ALL,130998.85969
2019,Estonia,OOHC,22012.57292
2019,Estonia,RTL,6242.79107
2019,Finland,ALL,561739.05982
2019,Finland,OOHC,128927.40238
2019,Finland,HHS,361936.9313
2019,Finland,RTL,70874.72614
2019,France,RTL,1667567.7439
2019,France,OOHC,1594579.43675
2019,France,HHS,5522358.45303
2019,France,ALL,8784505.63368
2019,Georgia,RTL,62510.86565
2019,Georgia,OOHC,110503.82443
2019,Georgia,HHS,403572.8832
2019,Georgia,ALL,576587.57328
2019,Germany,RTL,498243.85247
2019,Germany,OOHC,1718432.87891
2019,Germany,HHS,6263775.0
2019,Germany,ALL,8480451.73138
2019,Greece,RTL,77331.53355
2019,Greece,ALL,1829139.22342
2019,Greece,HHS,1483995.91691
2019,Greece,OOHC,267811.77297
2019,Hungary,OOHC,247641.82724
2019,Hungary,HHS,908669.05874
2019,Hungary,ALL,1280384.57461
2019,Hungary,RTL,124073.68862
2019,Iceland,RTL,4343.0339
2019,Iceland,OOHC,8668.3717
2019,Iceland,HHS,25826.8775
2019,Iceland,ALL,38838.28311
2019,Ireland,RTL,62551.21839
2019,Ireland,OOHC,274134.93204
2019,Ireland,HHS,267072.75
2019,Ireland,ALL,603758.90043
2019,Italy,HHS,4059806.13181
2019,Italy,OOHC,1548291.36719
2019,Italy,RTL,219551.83218
2019,Italy,ALL,5827649.33117
2019,Kazakhstan,RTL,290148.13675
2019,Kazakhstan,OOHC,512910.49051
2019,Kazakhstan,HHS,1404584.35853
2019,Kazakhstan,ALL,2207642.98579
2019,Kyrgyzstan,RTL,100346.14264
2019,Kyrgyzstan,OOHC,177387.28161
2019,Kyrgyzstan,HHS,583950.70641
2019,Kyrgyzstan,ALL,861684.13066
2019,Latvia,OOHC,48755.11601
2019,Latvia,HHS,145262.85348
2019,Latvia,RTL,24427.32373
2019,Latvia,ALL,218445.29322
2019,Liechtenstein,RTL,486.82976
2019,Liechtenstein,OOHC,971.67588
2019,Liechtenstein,HHS,2723.65533
2019,Liechtenstein,ALL,4182.16097
2019,Lithuania,RTL,35354.08956
2019,Lithuania,OOHC,70564.12552
2019,Lithuania,HHS,210241.44883
2019,Lithuania,ALL,316159.66391
2019,Luxembourg,ALL,72252.395
2019,Luxembourg,HHS,54951.225
2019,Albania,RTL,45057.93456
2019,Albania,OOHC,79651.33802
2019,Albania,HHS,238491.7727
2019,Albania,ALL,363201.04528
2019,Azerbaijan,RTL,157148.32485
2019,Azerbaijan,ALL,1369820.21271
2019,Azerbaijan,HHS,934872.32903
2019,Azerbaijan,OOHC,277799.55882
2019,Austria,ALL,680728.5335
2019,Austria,HHS,349248.9
2019,Austria,RTL,77288.92633
2019,Austria,OOHC,254190.70717
2019,Armenia,HHS,275194.51094
2019,Luxembourg,OOHC,12868.13
2019,Luxembourg,RTL,4433.04
2019,Malta,RTL,5642.10068
2019,Malta,OOHC,11261.21209
2019,Malta,HHS,56811.6
2019,Malta,ALL,73714.91277
2019,Republic of Moldova,RTL,63238.13628
2019,Republic of Moldova,OOHC,111789.45989
2019,Republic of Moldova,HHS,307418.5509
2019,Republic of Moldova,ALL,482446.14707
2019,Montenegro,RTL,9822.06356
2019,Montenegro,OOHC,17362.99083
2019,Montenegro,HHS,51988.20968
2019,Montenegro,ALL,79173.26406
2019,Netherlands,RTL,188068.1
2019,Netherlands,HHS,854855.0
2019,Netherlands,ALL,1480103.09366
2019,Netherlands,OOHC,437179.99366
2019,Norway,ALL,524630.5078
2019,Norway,HHS,423857.32
2019,Norway,RTL,74087.70379
2019,Norway,OOHC,26685.484
2019,Poland,ALL,3573654.11175
2019,Poland,OOHC,968806.88325
2019,Poland,HHS,2119454.89834
2019,Poland,RTL,485392.33016
2019,Armenia,OOHC,81774.71015
2019,Armenia,RTL,46259.10412
2019,Armenia,ALL,403228.3252
2019,Belgium,ALL,915507.53543
2019,Belgium,HHS,576036.22282
2019,Belgium,RTL,112100.16873
2019,Belgium,OOHC,227371.14388
2019,Bosnia and Herzegovina,ALL,416163.92463
2019,Bosnia and Herzegovina,RTL,51628.39459
2019,Bosnia and Herzegovina,OOHC,91266.29414
2019,Bosnia and Herzegovina,HHS,273269.2359
2019,Bulgaria,ALL,781689.74745
2019,Bulgaria,HHS,478667.29649
2019,Portugal,ALL,1254285.43687
2019,Portugal,HHS,861786.21558
2019,Portugal,RTL,131011.01269
2019,Portugal,OOHC,261488.20859
2019,Romania,ALL,2096225.69382
2019,Romania,HHS,1352978.89438
2019,Romania,OOHC,495160.91648
2019,Romania,RTL,248085.88296
2019,Serbia,OOHC,52633.2
2019,Serbia,ALL,916028.23004
2019,Serbia,HHS,726195.81676
2019,Serbia,RTL,137199.21328
2019,Slovakia,ALL,590722.43223
2019,Slovakia,HHS,381273.34552
2019,Slovakia,OOHC,139537.77105
2019,Slovakia,RTL,69911.31567
2019,Slovenia,RTL,13910.17955
2019,Slovenia,OOHC,41740.85416
2019,Slovenia,HHS,71106.54454
2019,Slovenia,ALL,126757.57825
2019,Spain,RTL,598759.60747
2019,Spain,HHS,3613954.12725
2019,Spain,ALL,5407793.24689
2019,Spain,OOHC,1195079.51217
2019,Sweden,RTL,100364.0
2019,Sweden,OOHC,205746.2
2019,Sweden,HHS,812948.4
2019,Sweden,ALL,1119058.6
2019,Switzerland,ALL,1069512.88313
2019,Switzerland,OOHC,343656.0
2019,Switzerland,RTL,110067.084
2019,Switzerland,HHS,615789.79912
2019,Tajikistan,ALL,1309698.87285
2019,Tajikistan,HHS,906208.59909
2019,Tajikistan,OOHC,257707.70303
2019,Tajikistan,RTL,145782.57073
2019,Türkiye,RTL,1304858.01558
2019,Türkiye,OOHC,2306667.80185
2019,Türkiye,HHS,7762574.96366
2019,Türkiye,ALL,11374100.78108
2019,Turkmenistan,ALL,707118.35149
2019,Turkmenistan,RTL,92935.80233
2019,Turkmenistan,OOHC,164287.62388
2019,Turkmenistan,HHS,449894.92528
2019,Ukraine,ALL,5249311.90262
2019,Ukraine,HHS,3344903.60866
2019,Ukraine,RTL,688069.96071
2019,Ukraine,OOHC,1216338.33325
2019,North Macedonia,ALL,262671.17145
2019,North Macedonia,HHS,172479.99182
2019,North Macedonia,OOHC,57604.76336
2019,North Macedonia,RTL,32586.41628
2019,Uzbekistan,ALL,4429590.1576
2019,Uzbekistan,HHS,3001868.32923
2019,Uzbekistan,OOHC,911880.50093
2019,Uzbekistan,RTL,515841.32745
2019,Bulgaria,OOHC,193539.28677
2019,Bulgaria,RTL,109483.16419
2019,Belarus,ALL,1055534.08791
2019,Belarus,HHS,646355.73111
2019,Belarus,OOHC,261340.66003
2019,Belarus,RTL,147837.69677
2019,Belarus,RTL,147837.69677
