Year,GeoAreaName,Activity,Location,Value
2015,Albania,TOTAL,ALLAREA,10.9462
2015,Azerbaijan,TOTAL,ALLAREA,49.57507
2015,Armenia,TOTAL,ALLAREA,7.46961
2015,Belgium,INDUSTRIES,ALLAREA,100.0
2015,Belgium,TOTAL,ALLAREA,100.0
2015,Bosnia and Herzegovina,INDUSTRIES,ALLAREA,100.0
2015,Bosnia and Herzegovina,TOTAL,ALLAREA,54.35953
2015,Bulgaria,TOTAL,ALLAREA,100.0
2015,Bulgaria,INDUSTRIES,ALLAREA,53.82156
2015,Belarus,TOTAL,ALLAREA,65.82278
2015,Croatia,TOTAL,ALLAREA,63.62044
2015,Croatia,INDUSTRIES,ALLAREA,24.73576
2015,Czechia,INDUSTRIES,ALLAREA,35.80084
2015,Czechia,TOTAL,ALLAREA,85.68493
2015,Hungary,TOTAL,ALLAREA,100.0
2015,Kazakhstan,TOTAL,ALLAREA,11.25555
2015,Kazakhstan,INDUSTRIES,ALLAREA,0.31889
2015,Kosovo,TOTAL,ALLAREA,0.08509
2015,Latvia,INDUSTRIES,ALLAREA,50.36908
2015,Latvia,TOTAL,ALLAREA,64.83402
2015,Lithuania,TOTAL,ALLAREA,59.34747
2015,Lithuania,INDUSTRIES,ALLAREA,23.58608
2015,Republic of Moldova,TOTAL,ALLAREA,16.62051
2015,Poland,TOTAL,ALLAREA,36.21954
2015,Poland,INDUSTRIES,ALLAREA,71.08558
2015,Romania,INDUSTRIES,ALLAREA,30.79678
2015,Romania,TOTAL,ALLAREA,62.455
2015,Slovakia,TOTAL,ALLAREA,100.0
2015,Slovakia,INDUSTRIES,ALLAREA,100.0
2015,Spain,TOTAL,ALLAREA,100.0
2015,Türkiye,TOTAL,ALLAREA,81.20237
2015,Türkiye,TOTAL,ALLAREA,81.20237
