Year,GeoAreaName,Counterpart,Value
2021,Czechia,UA,2.49333
2021,Czechia,VN,4.23333
2016,France,DZ,8.82786
2016,France,ML,5.37755
2016,France,TG,5.38095
2016,France,IN,6.40924
2016,France,LB,11.7355
2016,France,MA,5.61397
2016,France,CN,10.36253
2016,France,CI,6.61224
2016,France,KM,4.40689
2016,France,MG,9.42042
2016,France,RS,9.64286
2016,France,SN,5.33333
2016,France,HT,11.94011
2016,France,TN,8.42814
2016,France,VN,11.02323
2016,France,CM,5.45238
2017,France,LB,11.15313
2017,France,MG,9.87287
2017,France,ML,4.09722
2017,France,VN,8.36082
2017,France,CN,9.04217
2017,France,HT,8.66769
2017,France,MA,5.86382
2017,France,IN,1.63958
2017,France,TN,10.6492
2017,France,DZ,10.07403
2017,France,SN,4.09656
2017,France,TG,5.21429
2017,France,RS,10.95147
2017,France,CM,3.56429
2017,France,CI,3.49762
2018,France,DZ,11.06528
2018,France,HT,7.24236
2018,France,VN,5.41075
2018,France,TG,5.07143
2018,France,TN,10.07721
2018,France,IN,1.82778
2018,France,ML,3.95238
2018,France,MA,4.10692
2018,France,KM,6.96429
2018,France,LB,7.2497
2018,France,CI,3.49762
2018,France,CN,7.49434
2018,France,CM,4.92857
2018,France,RS,7.97619
2018,France,SN,4.19643
2019,France,DZ,10.56041
2019,France,CN,4.84528
2019,France,LB,4.58445
2019,France,CI,2.54529
2019,France,CM,3.21191
2019,France,HT,6.53354
2019,France,TG,4.16429
2019,France,IN,1.99673
2019,France,KM,4.87372
2019,France,MA,2.97853
2019,France,SN,3.1381
2019,France,RS,7.00171
2019,France,VN,4.0629
2019,France,TN,9.01532
2019,France,ML,3.25952
2019,France,MG,12.80085
2020,France,DZ,11.28183
2020,France,VN,5.77896
2020,France,TN,8.94559
2020,France,ML,1.42857
2020,France,MG,14.48583
2020,France,MA,2.82316
2020,France,SN,1.78571
2020,France,RS,5.90944
2020,France,CN,4.80112
2020,France,CI,1.19048
2020,France,IN,1.74011
2020,France,KM,3.66443
2020,France,HT,6.94986
2020,France,LB,5.61486
2020,France,TG,2.35476
2020,France,CM,2.11905
2021,France,CN,1.85667
2021,France,CI,2.09
2021,France,TG,2.86667
2021,France,CM,2.89
2021,France,SN,2.285
2021,France,VN,3.70667
2021,France,HT,4.71
2021,France,LB,6.03333
2021,France,RS,3.60667
2021,France,KM,2.92667
2021,France,MG,16.595
2021,France,MA,2.16
2021,France,TN,9.22
2021,France,ML,2.00333
2021,France,IN,0.43333
2021,France,DZ,7.16
2016,Germany,MD,10.21097
2016,Germany,LB,12.66891
2016,Germany,IN,6.69542
2016,Germany,HU,6.6128
2016,Germany,BA,9.6127
2016,Germany,TJ,17.34234
2016,Germany,BG,6.72867
2016,Germany,XK,6.96429
2016,Germany,RO,6.09088
2016,Germany,NG,12.70233
2016,Germany,CN,9.17064
2016,Germany,MA,9.38708
