Year,GeoAreaName,Activity,Level of requirement,Value
2016,Sweden,ISIC4_L,TOTAL,5
2016,Germany,ISIC4_Q,TOTAL,3
2016,Germany,ISIC4_M,TOTAL,1
2016,Germany,ISIC4_G,TOTAL,59
2017,Germany,ISIC4_L,TOTAL,6
2017,Germany,ISIC4_N,TOTAL,1
2017,Germany,ISIC4_R,TOTAL,1
2017,Germany,TOTAL,TOTAL,86
2017,Germany,ISIC4_K,TOTAL,8
2017,Germany,ISIC4_B,TOTAL,1
2017,Germany,ISIC4_H,TOTAL,4
2017,Germany,ISIC4_G,TOTAL,86
2017,Germany,ISIC4_Q,TOTAL,3
2017,Germany,ISIC4_C,TOTAL,37
2017,Germany,ISIC4_M,TOTAL,4
2017,Germany,ISIC4_F,TOTAL,1
2017,Germany,ISIC4_J,TOTAL,8
2018,Germany,ISIC4_M,TOTAL,7
2018,Germany,ISIC4_A,TOTAL,1
2018,Germany,ISIC4_H,TOTAL,4
2018,Germany,TOTAL,TOTAL,120
2018,Germany,ISIC4_G,TOTAL,120
2018,Germany,ISIC4_K,TOTAL,10
2016,Sweden,ISIC4_N,TOTAL,2
2016,Sweden,ISIC4_S,TOTAL,1
2016,Sweden,ISIC4_J,TOTAL,3
2017,Sweden,ISIC4_N,TOTAL,3
2017,Sweden,TOTAL,TOTAL,56
2017,Sweden,ISIC4_H,TOTAL,2
2017,Sweden,ISIC4_J,TOTAL,3
2017,Sweden,ISIC4_F,TOTAL,3
2017,Sweden,ISIC4_K,TOTAL,6
2017,Sweden,ISIC4_C,TOTAL,27
2017,Sweden,ISIC4_L,TOTAL,6
2018,Germany,ISIC4_B,TOTAL,1
2018,Germany,ISIC4_Q,TOTAL,3
2018,Germany,ISIC4_J,TOTAL,12
2018,Germany,ISIC4_L,TOTAL,9
2018,Germany,ISIC4_N,TOTAL,2
2018,Germany,ISIC4_C,TOTAL,54
2018,Germany,ISIC4_R,TOTAL,1
2018,Germany,ISIC4_F,TOTAL,1
2019,Germany,ISIC4_J,TOTAL,13
2019,Germany,ISIC4_R,TOTAL,2
2019,Germany,ISIC4_A,TOTAL,1
2017,Sweden,ISIC4_S,TOTAL,1
2017,Sweden,ISIC4_G,TOTAL,56
2018,Sweden,ISIC4_J,TOTAL,6
2018,Sweden,ISIC4_M,TOTAL,4
2018,Sweden,ISIC4_I,TOTAL,2
2018,Sweden,ISIC4_H,TOTAL,2
2018,Sweden,TOTAL,TOTAL,99
2018,Sweden,ISIC4_Q,TOTAL,2
2018,Sweden,ISIC4_G,TOTAL,99
2018,Sweden,ISIC4_R,TOTAL,1
2018,Sweden,ISIC4_A,TOTAL,1
2019,Germany,ISIC4_B,TOTAL,1
2019,Germany,ISIC4_L,TOTAL,10
2019,Germany,TOTAL,TOTAL,135
2019,Germany,ISIC4_H,TOTAL,4
2019,Germany,ISIC4_N,TOTAL,3
2019,Germany,ISIC4_F,TOTAL,1
2019,Germany,ISIC4_Q,TOTAL,3
2019,Germany,ISIC4_M,TOTAL,7
2019,Germany,ISIC4_K,TOTAL,13
2019,Germany,ISIC4_C,TOTAL,61
2019,Germany,ISIC4_G,TOTAL,135
2020,Germany,ISIC4_F,TOTAL,3
2020,Germany,ISIC4_L,TOTAL,10
2020,Germany,ISIC4_N,TOTAL,4
2020,Germany,ISIC4_B,TOTAL,1
2020,Germany,ISIC4_C,TOTAL,88
2020,Germany,ISIC4_A,TOTAL,1
2020,Germany,ISIC4_K,TOTAL,14
2020,Germany,ISIC4_M,TOTAL,12
2020,Germany,ISIC4_Q,TOTAL,3
2020,Germany,ISIC4_G,TOTAL,181
2020,Germany,ISIC4_R,TOTAL,2
2018,Sweden,ISIC4_L,TOTAL,8
2018,Sweden,ISIC4_S,TOTAL,2
2018,Sweden,ISIC4_K,TOTAL,12
2018,Sweden,ISIC4_F,TOTAL,6
2018,Sweden,ISIC4_N,TOTAL,3
2018,Sweden,ISIC4_C,TOTAL,45
2019,Sweden,ISIC4_F,TOTAL,7
2019,Sweden,ISIC4_A,TOTAL,1
2019,Sweden,ISIC4_K,TOTAL,14
2019,Sweden,ISIC4_G,TOTAL,132
2019,Sweden,ISIC4_S,TOTAL,2
2020,Germany,ISIC4_H,TOTAL,4
2020,Germany,TOTAL,TOTAL,181
2020,Germany,ISIC4_J,TOTAL,20
2021,Germany,ISIC4_Q,TOTAL,3
2021,Germany,ISIC4_L,TOTAL,11
2021,Germany,ISIC4_B,TOTAL,1
2021,Germany,TOTAL,TOTAL,195
2021,Germany,ISIC4_F,TOTAL,3
2021,Germany,ISIC4_A,TOTAL,1
2021,Germany,ISIC4_N,TOTAL,4
2021,Germany,ISIC4_S,TOTAL,1
2021,Germany,ISIC4_M,TOTAL,13
2021,Germany,ISIC4_H,TOTAL,4
2021,Germany,ISIC4_J,TOTAL,23
2021,Germany,ISIC4_K,TOTAL,16
2021,Germany,ISIC4_C,TOTAL,94
2021,Germany,ISIC4_R,TOTAL,2
2021,Germany,ISIC4_G,TOTAL,195
2016,Greece,ISIC4_F,TOTAL,1
2016,Greece,TOTAL,TOTAL,6
2016,Greece,ISIC4_G,TOTAL,6
2016,Greece,ISIC4_R,TOTAL,1
2019,Sweden,ISIC4_M,TOTAL,7
2019,Sweden,ISIC4_Q,TOTAL,3
2019,Sweden,ISIC4_N,TOTAL,4
2019,Sweden,TOTAL,TOTAL,132
2019,Sweden,ISIC4_J,TOTAL,10
2019,Sweden,ISIC4_P,TOTAL,1
2019,Sweden,ISIC4_I,TOTAL,2
2019,Sweden,ISIC4_C,TOTAL,59
2019,Sweden,ISIC4_R,TOTAL,1
2019,Sweden,ISIC4_L,TOTAL,12
2019,Sweden,ISIC4_H,TOTAL,2
2016,Greece,ISIC4_K,TOTAL,2
2016,Greece,ISIC4_C,TOTAL,2
2017,Greece,ISIC4_F,TOTAL,2
2017,Greece,ISIC4_R,TOTAL,1
2017,Greece,ISIC4_C,TOTAL,3
2017,Greece,ISIC4_K,TOTAL,2
2017,Greece,ISIC4_G,TOTAL,9
2017,Greece,TOTAL,TOTAL,9
2018,Greece,TOTAL,TOTAL,11
2018,Greece,ISIC4_C,TOTAL,4
2018,Greece,ISIC4_F,TOTAL,2
2018,Austria,ISIC4_K,TOTAL,5
2018,Austria,TOTAL,TOTAL,28
2018,Austria,ISIC4_C,TOTAL,13
2018,Austria,ISIC4_H,TOTAL,1
2018,Austria,ISIC4_L,TOTAL,3
2018,Austria,ISIC4_J,TOTAL,1
2018,Austria,ISIC4_G,TOTAL,28
2018,Austria,ISIC4_B,TOTAL,1
2019,Austria,ISIC4_L,TOTAL,3
2019,Austria,ISIC4_C,TOTAL,16
2019,Austria,ISIC4_B,TOTAL,1
2020,Sweden,ISIC4_L,TOTAL,18
2020,Sweden,ISIC4_R,TOTAL,1
2020,Sweden,TOTAL,TOTAL,197
2020,Sweden,ISIC4_H,TOTAL,3
2020,Sweden,ISIC4_K,TOTAL,18
2020,Sweden,ISIC4_B,TOTAL,2
2020,Sweden,ISIC4_J,TOTAL,15
2020,Sweden,ISIC4_P,TOTAL,1
2020,Sweden,ISIC4_A,TOTAL,1
2020,Sweden,ISIC4_G,TOTAL,197
2020,Sweden,ISIC4_M,TOTAL,18
2018,Greece,ISIC4_G,TOTAL,11
2018,Greece,ISIC4_R,TOTAL,1
2018,Greece,ISIC4_K,TOTAL,2
2019,Greece,ISIC4_K,TOTAL,2
2019,Greece,ISIC4_H,TOTAL,1
2019,Greece,ISIC4_C,TOTAL,4
2019,Greece,ISIC4_R,TOTAL,1
2019,Greece,ISIC4_G,TOTAL,12
2019,Greece,ISIC4_F,TOTAL,2
2019,Greece,TOTAL,TOTAL,12
2020,Greece,TOTAL,TOTAL,13
2020,Sweden,ISIC4_S,TOTAL,2
2020,Sweden,ISIC4_N,TOTAL,5
2020,Sweden,ISIC4_C,TOTAL,82
2020,Sweden,ISIC4_F,TOTAL,9
2020,Sweden,ISIC4_Q,TOTAL,3
2020,Sweden,ISIC4_I,TOTAL,2
2021,Sweden,ISIC4_A,TOTAL,1
2021,Sweden,TOTAL,TOTAL,217
2021,Sweden,ISIC4_J,TOTAL,15
2021,Sweden,ISIC4_Q,TOTAL,3
2021,Sweden,ISIC4_B,TOTAL,2
2021,Sweden,ISIC4_G,TOTAL,217
2021,Sweden,ISIC4_L,TOTAL,19
2021,Sweden,ISIC4_P,TOTAL,1
2021,Sweden,ISIC4_F,TOTAL,10
2021,Sweden,ISIC4_I,TOTAL,2
2021,Sweden,ISIC4_R,TOTAL,1
2021,Sweden,ISIC4_M,TOTAL,20
2021,Sweden,ISIC4_K,TOTAL,19
2021,Sweden,ISIC4_C,TOTAL,93
2021,Sweden,ISIC4_N,TOTAL,5
2021,Sweden,ISIC4_S,TOTAL,2
2020,Greece,ISIC4_R,TOTAL,1
2020,Greece,ISIC4_F,TOTAL,2
2020,Greece,ISIC4_C,TOTAL,4
2020,Greece,ISIC4_K,TOTAL,2
2020,Greece,ISIC4_H,TOTAL,2
2020,Greece,ISIC4_G,TOTAL,13
2021,Greece,ISIC4_H,TOTAL,2
2021,Greece,ISIC4_G,TOTAL,13
2021,Greece,ISIC4_C,TOTAL,4
2021,Greece,ISIC4_F,TOTAL,2
2021,Greece,ISIC4_R,TOTAL,1
2021,Sweden,ISIC4_H,TOTAL,4
2016,Switzerland,ISIC4_K,TOTAL,9
2016,Switzerland,ISIC4_B,TOTAL,3
2016,Switzerland,ISIC4_J,TOTAL,2
2016,Switzerland,ISIC4_L,TOTAL,3
2016,Switzerland,ISIC4_H,TOTAL,2
2016,Switzerland,ISIC4_G,TOTAL,50
2016,Switzerland,ISIC4_N,TOTAL,1
2016,Switzerland,ISIC4_C,TOTAL,29
2016,Switzerland,ISIC4_M,TOTAL,1
2016,Switzerland,TOTAL,TOTAL,50
2021,Greece,ISIC4_K,TOTAL,2
2021,Greece,TOTAL,TOTAL,13
2016,Hungary,ISIC4_J,TOTAL,1
2016,Hungary,ISIC4_C,TOTAL,2
2016,Hungary,ISIC4_K,TOTAL,1
2016,Hungary,ISIC4_G,TOTAL,4
2016,Hungary,TOTAL,TOTAL,4
2017,Hungary,ISIC4_G,TOTAL,4
2017,Hungary,TOTAL,TOTAL,4
2017,Hungary,ISIC4_K,TOTAL,1
2017,Hungary,ISIC4_J,TOTAL,1
2017,Switzerland,TOTAL,TOTAL,57
2017,Switzerland,ISIC4_H,TOTAL,2
2017,Switzerland,ISIC4_K,TOTAL,11
2017,Switzerland,ISIC4_N,TOTAL,1
2017,Switzerland,ISIC4_J,TOTAL,2
2017,Switzerland,ISIC4_G,TOTAL,57
2017,Switzerland,ISIC4_L,TOTAL,4
2017,Switzerland,ISIC4_C,TOTAL,32
2017,Switzerland,ISIC4_M,TOTAL,2
2017,Switzerland,ISIC4_B,TOTAL,2
2018,Switzerland,ISIC4_M,TOTAL,5
2017,Hungary,ISIC4_C,TOTAL,2
2018,Hungary,ISIC4_C,TOTAL,2
2018,Hungary,ISIC4_J,TOTAL,1
2018,Hungary,TOTAL,TOTAL,4
2018,Hungary,ISIC4_G,TOTAL,4
2018,Hungary,ISIC4_K,TOTAL,1
2019,Hungary,ISIC4_C,TOTAL,2
2019,Hungary,ISIC4_G,TOTAL,4
2019,Hungary,ISIC4_K,TOTAL,1
2019,Hungary,ISIC4_J,TOTAL,1
2019,Hungary,TOTAL,TOTAL,4
2020,Hungary,ISIC4_G,TOTAL,4
2020,Hungary,ISIC4_C,TOTAL,2
2020,Hungary,ISIC4_J,TOTAL,1
2020,Hungary,TOTAL,TOTAL,4
2020,Hungary,ISIC4_K,TOTAL,1
2021,Hungary,TOTAL,TOTAL,6
2021,Hungary,ISIC4_J,TOTAL,1
2021,Hungary,ISIC4_C,TOTAL,2
2021,Hungary,ISIC4_G,TOTAL,6
2021,Hungary,ISIC4_K,TOTAL,1
2021,Hungary,ISIC4_F,TOTAL,2
2018,Switzerland,ISIC4_F,TOTAL,1
2018,Switzerland,ISIC4_L,TOTAL,4
2018,Switzerland,TOTAL,TOTAL,80
2018,Switzerland,ISIC4_N,TOTAL,1
2018,Switzerland,ISIC4_G,TOTAL,80
2018,Switzerland,ISIC4_B,TOTAL,3
2018,Switzerland,ISIC4_J,TOTAL,2
2018,Switzerland,ISIC4_H,TOTAL,3
2018,Switzerland,ISIC4_K,TOTAL,12
2018,Switzerland,ISIC4_C,TOTAL,46
2019,Switzerland,ISIC4_F,TOTAL,1
2020,Iceland,ISIC4_K,TOTAL,1
2020,Iceland,ISIC4_M,TOTAL,1
2020,Iceland,ISIC4_G,TOTAL,7
2020,Iceland,ISIC4_H,TOTAL,1
2020,Iceland,ISIC4_A,TOTAL,1
2020,Iceland,ISIC4_C,TOTAL,1
2020,Iceland,TOTAL,TOTAL,7
2021,Iceland,ISIC4_H,TOTAL,1
2021,Iceland,ISIC4_K,TOTAL,2
2021,Iceland,ISIC4_M,TOTAL,1
2021,Iceland,TOTAL,TOTAL,8
2019,Switzerland,ISIC4_G,TOTAL,95
2019,Switzerland,TOTAL,TOTAL,95
2019,Switzerland,ISIC4_N,TOTAL,3
2019,Switzerland,ISIC4_B,TOTAL,3
2019,Switzerland,ISIC4_H,TOTAL,3
2019,Switzerland,ISIC4_M,TOTAL,7
2019,Switzerland,ISIC4_K,TOTAL,12
2019,Switzerland,ISIC4_J,TOTAL,2
2019,Switzerland,ISIC4_L,TOTAL,6
2019,Switzerland,ISIC4_C,TOTAL,55
2020,Switzerland,ISIC4_N,TOTAL,3
2019,Austria,ISIC4_I,TOTAL,1
2019,Austria,ISIC4_F,TOTAL,2
2019,Austria,ISIC4_K,TOTAL,5
2019,Austria,ISIC4_H,TOTAL,1
2019,Austria,TOTAL,TOTAL,32
2019,Austria,ISIC4_J,TOTAL,1
2019,Austria,ISIC4_G,TOTAL,32
2020,Austria,ISIC4_H,TOTAL,2
2020,Austria,ISIC4_G,TOTAL,34
2020,Austria,ISIC4_C,TOTAL,16
2020,Austria,TOTAL,TOTAL,34
2021,Iceland,ISIC4_C,TOTAL,1
2021,Iceland,ISIC4_G,TOTAL,8
2021,Iceland,ISIC4_A,TOTAL,1
2016,Ireland,ISIC4_G,TOTAL,18
2016,Ireland,ISIC4_C,TOTAL,10
2016,Ireland,ISIC4_M,TOTAL,1
2016,Ireland,ISIC4_B,TOTAL,1
2016,Ireland,ISIC4_S,TOTAL,1
2016,Ireland,ISIC4_H,TOTAL,1
2016,Ireland,TOTAL,TOTAL,18
2016,Ireland,ISIC4_N,TOTAL,1
2016,Ireland,ISIC4_R,TOTAL,1
2016,Ireland,ISIC4_K,TOTAL,1
2017,Ireland,TOTAL,TOTAL,21
2017,Ireland,ISIC4_H,TOTAL,1
2017,Ireland,ISIC4_M,TOTAL,2
2017,Ireland,ISIC4_S,TOTAL,1
2017,Ireland,ISIC4_G,TOTAL,21
2017,Ireland,ISIC4_C,TOTAL,11
2017,Ireland,ISIC4_K,TOTAL,2
2017,Ireland,ISIC4_R,TOTAL,1
2017,Ireland,ISIC4_N,TOTAL,1
2020,Switzerland,TOTAL,TOTAL,119
2020,Switzerland,ISIC4_C,TOTAL,70
2020,Switzerland,ISIC4_F,TOTAL,1
2020,Switzerland,ISIC4_H,TOTAL,3
2020,Switzerland,ISIC4_K,TOTAL,16
2020,Switzerland,ISIC4_M,TOTAL,7
2020,Switzerland,ISIC4_L,TOTAL,8
2020,Switzerland,ISIC4_B,TOTAL,3
2020,Switzerland,ISIC4_G,TOTAL,119
2020,Switzerland,ISIC4_J,TOTAL,3
2021,Switzerland,ISIC4_J,TOTAL,4
2017,Ireland,ISIC4_B,TOTAL,1
2018,Ireland,TOTAL,TOTAL,24
2018,Ireland,ISIC4_G,TOTAL,24
2018,Ireland,ISIC4_R,TOTAL,1
2018,Ireland,ISIC4_H,TOTAL,1
2018,Ireland,ISIC4_B,TOTAL,1
2018,Ireland,ISIC4_N,TOTAL,1
2018,Ireland,ISIC4_K,TOTAL,2
2018,Ireland,ISIC4_S,TOTAL,1
2018,Ireland,ISIC4_C,TOTAL,12
2018,Ireland,ISIC4_M,TOTAL,2
2018,Ireland,ISIC4_L,TOTAL,1
2019,Ireland,ISIC4_H,TOTAL,1
2019,Ireland,ISIC4_J,TOTAL,1
2019,Ireland,ISIC4_N,TOTAL,1
2019,Ireland,ISIC4_L,TOTAL,2
2019,Ireland,ISIC4_R,TOTAL,1
2019,Ireland,ISIC4_B,TOTAL,1
2019,Ireland,ISIC4_S,TOTAL,1
2019,Ireland,TOTAL,TOTAL,32
2019,Ireland,ISIC4_F,TOTAL,2
2019,Ireland,ISIC4_M,TOTAL,2
2021,Switzerland,ISIC4_K,TOTAL,18
2021,Switzerland,ISIC4_C,TOTAL,74
2021,Switzerland,TOTAL,TOTAL,130
2021,Switzerland,ISIC4_H,TOTAL,3
2021,Switzerland,ISIC4_F,TOTAL,1
2021,Switzerland,ISIC4_L,TOTAL,10
2021,Switzerland,ISIC4_G,TOTAL,130
2021,Switzerland,ISIC4_N,TOTAL,3
2021,Switzerland,ISIC4_B,TOTAL,3
2021,Switzerland,ISIC4_M,TOTAL,8
2016,Türkiye,ISIC4_G,TOTAL,21
2019,Ireland,ISIC4_K,TOTAL,3
2019,Ireland,ISIC4_C,TOTAL,14
2019,Ireland,ISIC4_A,TOTAL,1
2019,Ireland,ISIC4_G,TOTAL,32
2020,Ireland,ISIC4_F,TOTAL,2
2020,Ireland,ISIC4_J,TOTAL,2
2020,Ireland,ISIC4_A,TOTAL,1
2020,Ireland,ISIC4_B,TOTAL,1
2020,Ireland,ISIC4_H,TOTAL,1
2020,Ireland,ISIC4_C,TOTAL,14
2020,Ireland,TOTAL,TOTAL,36
2016,Türkiye,ISIC4_C,TOTAL,9
2016,Türkiye,ISIC4_J,TOTAL,2
2016,Türkiye,TOTAL,TOTAL,21
2016,Türkiye,ISIC4_H,TOTAL,2
2016,Türkiye,ISIC4_K,TOTAL,8
2017,Türkiye,TOTAL,TOTAL,25
2017,Türkiye,ISIC4_K,TOTAL,8
2017,Türkiye,ISIC4_A,TOTAL,1
2017,Türkiye,ISIC4_G,TOTAL,25
2017,Türkiye,ISIC4_C,TOTAL,11
2017,Türkiye,ISIC4_F,TOTAL,1
2020,Ireland,ISIC4_M,TOTAL,3
2020,Ireland,ISIC4_L,TOTAL,3
2020,Ireland,ISIC4_R,TOTAL,1
2020,Ireland,ISIC4_N,TOTAL,2
2020,Ireland,ISIC4_K,TOTAL,3
2020,Ireland,ISIC4_G,TOTAL,36
2020,Ireland,ISIC4_S,TOTAL,1
2021,Ireland,ISIC4_H,TOTAL,1
2021,Ireland,ISIC4_S,TOTAL,1
2021,Ireland,ISIC4_L,TOTAL,3
2021,Ireland,ISIC4_G,TOTAL,37
2017,Türkiye,ISIC4_J,TOTAL,2
2017,Türkiye,ISIC4_H,TOTAL,1
2018,Türkiye,ISIC4_G,TOTAL,40
2018,Türkiye,ISIC4_C,TOTAL,15
2018,Türkiye,TOTAL,TOTAL,40
2018,Türkiye,ISIC4_H,TOTAL,2
2018,Türkiye,ISIC4_J,TOTAL,2
2018,Türkiye,ISIC4_K,TOTAL,11
2018,Türkiye,ISIC4_A,TOTAL,1
2018,Türkiye,ISIC4_F,TOTAL,1
2019,Türkiye,ISIC4_J,TOTAL,2
2021,Ireland,ISIC4_A,TOTAL,1
2021,Ireland,TOTAL,TOTAL,37
2021,Ireland,ISIC4_N,TOTAL,2
2021,Ireland,ISIC4_M,TOTAL,3
2021,Ireland,ISIC4_R,TOTAL,1
2021,Ireland,ISIC4_J,TOTAL,2
2021,Ireland,ISIC4_B,TOTAL,1
2021,Ireland,ISIC4_C,TOTAL,14
2021,Ireland,ISIC4_F,TOTAL,2
2021,Ireland,ISIC4_K,TOTAL,3
2016,Italy,ISIC4_I,TOTAL,1
2019,Türkiye,ISIC4_H,TOTAL,4
2019,Türkiye,ISIC4_F,TOTAL,1
2019,Türkiye,ISIC4_K,TOTAL,12
2019,Türkiye,ISIC4_G,TOTAL,50
2019,Türkiye,TOTAL,TOTAL,50
2019,Türkiye,ISIC4_A,TOTAL,1
2019,Türkiye,ISIC4_C,TOTAL,20
2019,Türkiye,ISIC4_Q,TOTAL,1
2020,Türkiye,ISIC4_F,TOTAL,1
2020,Türkiye,ISIC4_A,TOTAL,1
2020,Türkiye,ISIC4_C,TOTAL,29
2016,Italy,ISIC4_G,TOTAL,26
2016,Italy,ISIC4_H,TOTAL,2
2016,Italy,ISIC4_C,TOTAL,6
2016,Italy,ISIC4_K,TOTAL,7
2016,Italy,ISIC4_J,TOTAL,3
2016,Italy,TOTAL,TOTAL,26
2017,Italy,ISIC4_G,TOTAL,35
2017,Italy,ISIC4_I,TOTAL,1
2017,Italy,ISIC4_C,TOTAL,9
2017,Italy,ISIC4_H,TOTAL,2
2017,Italy,ISIC4_K,TOTAL,9
2020,Türkiye,ISIC4_L,TOTAL,1
2020,Türkiye,ISIC4_J,TOTAL,2
2020,Türkiye,ISIC4_H,TOTAL,4
2020,Türkiye,ISIC4_G,TOTAL,67
2020,Türkiye,TOTAL,TOTAL,67
2020,Türkiye,ISIC4_Q,TOTAL,1
2020,Türkiye,ISIC4_K,TOTAL,16
2020,Türkiye,ISIC4_M,TOTAL,1
2021,Türkiye,ISIC4_L,TOTAL,3
2021,Türkiye,ISIC4_G,TOTAL,77
2021,Türkiye,ISIC4_A,TOTAL,1
2017,Italy,ISIC4_J,TOTAL,4
2017,Italy,TOTAL,TOTAL,35
2018,Italy,ISIC4_L,TOTAL,1
2018,Italy,ISIC4_F,TOTAL,2
2018,Italy,TOTAL,TOTAL,66
2018,Italy,ISIC4_J,TOTAL,5
2018,Italy,ISIC4_H,TOTAL,3
2018,Italy,ISIC4_G,TOTAL,66
2018,Italy,ISIC4_I,TOTAL,1
2018,Italy,ISIC4_K,TOTAL,13
2018,Italy,ISIC4_C,TOTAL,25
2018,Italy,ISIC4_S,TOTAL,1
2018,Italy,ISIC4_M,TOTAL,1
2019,Italy,ISIC4_K,TOTAL,15
2019,Italy,ISIC4_G,TOTAL,68
2019,Italy,TOTAL,TOTAL,68
2019,Italy,ISIC4_J,TOTAL,5
2019,Italy,ISIC4_H,TOTAL,3
2019,Italy,ISIC4_I,TOTAL,1
2019,Italy,ISIC4_F,TOTAL,2
2019,Italy,ISIC4_L,TOTAL,1
2019,Italy,ISIC4_S,TOTAL,1
2021,Türkiye,ISIC4_M,TOTAL,1
2021,Türkiye,ISIC4_H,TOTAL,4
2021,Türkiye,ISIC4_Q,TOTAL,1
2021,Türkiye,ISIC4_K,TOTAL,17
2021,Türkiye,TOTAL,TOTAL,77
2021,Türkiye,ISIC4_F,TOTAL,4
2021,Türkiye,ISIC4_C,TOTAL,32
2021,Türkiye,ISIC4_J,TOTAL,2
2016,Ukraine,ISIC4_A,TOTAL,1
2016,Ukraine,ISIC4_G,TOTAL,1
2016,Ukraine,TOTAL,TOTAL,1
2019,Italy,ISIC4_M,TOTAL,1
2019,Italy,ISIC4_C,TOTAL,25
2020,Italy,ISIC4_I,TOTAL,1
2020,Italy,ISIC4_N,TOTAL,1
2020,Italy,ISIC4_L,TOTAL,1
2020,Italy,ISIC4_M,TOTAL,3
2020,Italy,TOTAL,TOTAL,89
2020,Italy,ISIC4_G,TOTAL,89
2020,Italy,ISIC4_H,TOTAL,4
2020,Italy,ISIC4_F,TOTAL,2
2020,Italy,ISIC4_S,TOTAL,1
2017,Ukraine,TOTAL,TOTAL,1
2017,Ukraine,ISIC4_A,TOTAL,1
2017,Ukraine,ISIC4_G,TOTAL,1
2018,Ukraine,ISIC4_A,TOTAL,1
2018,Ukraine,TOTAL,TOTAL,1
2018,Ukraine,ISIC4_G,TOTAL,1
2019,Ukraine,TOTAL,TOTAL,1
2019,Ukraine,ISIC4_G,TOTAL,1
2019,Ukraine,ISIC4_A,TOTAL,1
2020,Ukraine,ISIC4_A,TOTAL,2
2020,Ukraine,TOTAL,TOTAL,2
2020,Italy,ISIC4_J,TOTAL,10
2020,Italy,ISIC4_Q,TOTAL,1
2020,Italy,ISIC4_C,TOTAL,33
2020,Italy,ISIC4_K,TOTAL,16
2021,Italy,ISIC4_Q,TOTAL,1
2021,Italy,ISIC4_N,TOTAL,2
2021,Italy,TOTAL,TOTAL,94
2021,Italy,ISIC4_L,TOTAL,1
2021,Italy,ISIC4_C,TOTAL,36
2021,Italy,ISIC4_J,TOTAL,9
2021,Italy,ISIC4_S,TOTAL,1
2020,Austria,ISIC4_F,TOTAL,2
2020,Austria,ISIC4_B,TOTAL,2
2020,Austria,ISIC4_J,TOTAL,1
2020,Austria,ISIC4_L,TOTAL,3
2020,Austria,ISIC4_K,TOTAL,5
2020,Austria,ISIC4_I,TOTAL,1
2021,Austria,ISIC4_G,TOTAL,34
2021,Austria,TOTAL,TOTAL,34
2021,Austria,ISIC4_L,TOTAL,3
2021,Austria,ISIC4_H,TOTAL,2
2021,Austria,ISIC4_F,TOTAL,2
2021,Italy,ISIC4_G,TOTAL,94
2021,Italy,ISIC4_I,TOTAL,1
2021,Italy,ISIC4_F,TOTAL,2
2021,Italy,ISIC4_K,TOTAL,16
2021,Italy,ISIC4_H,TOTAL,4
2021,Italy,ISIC4_M,TOTAL,3
2017,Kazakhstan,TOTAL,TOTAL,1
2017,Kazakhstan,ISIC4_G,TOTAL,1
2017,Kazakhstan,ISIC4_B,TOTAL,1
2018,Kazakhstan,TOTAL,TOTAL,2
2018,Kazakhstan,ISIC4_B,TOTAL,2
2018,Kazakhstan,ISIC4_G,TOTAL,2
2019,Kazakhstan,TOTAL,TOTAL,2
2019,Kazakhstan,ISIC4_B,TOTAL,2
2019,Kazakhstan,ISIC4_G,TOTAL,2
2020,Kazakhstan,ISIC4_B,TOTAL,2
2020,Kazakhstan,ISIC4_G,TOTAL,2
2020,Kazakhstan,TOTAL,TOTAL,2
2021,Kazakhstan,ISIC4_B,TOTAL,2
2021,Kazakhstan,ISIC4_K,TOTAL,1
2021,Kazakhstan,ISIC4_G,TOTAL,3
2021,Kazakhstan,TOTAL,TOTAL,3
2018,Liechtenstein,TOTAL,TOTAL,1
2018,Liechtenstein,ISIC4_G,TOTAL,1
2018,Liechtenstein,ISIC4_K,TOTAL,1
2019,Liechtenstein,ISIC4_K,TOTAL,2
2019,Liechtenstein,ISIC4_G,TOTAL,2
2019,Liechtenstein,TOTAL,TOTAL,2
2020,Liechtenstein,ISIC4_G,TOTAL,2
2020,Liechtenstein,ISIC4_K,TOTAL,2
2020,Liechtenstein,TOTAL,TOTAL,2
2021,Liechtenstein,ISIC4_K,TOTAL,2
2021,Liechtenstein,TOTAL,TOTAL,2
2021,Liechtenstein,ISIC4_G,TOTAL,2
2016,Luxembourg,TOTAL,TOTAL,7
2016,Luxembourg,ISIC4_J,TOTAL,1
2016,Luxembourg,ISIC4_G,TOTAL,7
2016,Luxembourg,ISIC4_M,TOTAL,1
2016,Luxembourg,ISIC4_C,TOTAL,4
2017,Luxembourg,TOTAL,TOTAL,8
2017,Luxembourg,ISIC4_L,TOTAL,1
2017,Luxembourg,ISIC4_J,TOTAL,1
2017,Luxembourg,ISIC4_G,TOTAL,8
2017,Luxembourg,ISIC4_M,TOTAL,1
2017,Luxembourg,ISIC4_C,TOTAL,4
2018,Luxembourg,ISIC4_G,TOTAL,10
2018,Luxembourg,ISIC4_C,TOTAL,5
2018,Luxembourg,ISIC4_J,TOTAL,1
2018,Luxembourg,ISIC4_N,TOTAL,1
2018,Luxembourg,ISIC4_M,TOTAL,1
2018,Luxembourg,ISIC4_L,TOTAL,1
2018,Luxembourg,TOTAL,TOTAL,10
2019,Luxembourg,ISIC4_N,TOTAL,1
2019,Luxembourg,TOTAL,TOTAL,15
2019,Luxembourg,ISIC4_C,TOTAL,7
2019,Luxembourg,ISIC4_J,TOTAL,1
