Year,GeoAreaName,Type of waste treatment,Value
2000,Greece,INCINRT_EGY,0.0
2000,Greece,INCINRT,0.0
2001,Greece,INCINRT_EGY,0.0
2001,Greece,INCINRT,0.0
2002,Greece,INCINRT_EGY,0.0
2002,Greece,INCINRT,0.0
2003,Greece,INCINRT,0.0
2003,Greece,INCINRT_EGY,0.0
2004,Greece,INCINRT,0.0
2004,Greece,INCINRT_EGY,0.0
2005,Greece,INCINRT,0.0
2005,Greece,INCINRT_EGY,0.0
2006,Greece,INCINRT,0.0
2006,Greece,INCINRT_EGY,0.0
2007,Greece,INCINRT_EGY,0.0
2007,Greece,INCINRT,0.0
2008,Greece,INCINRT_EGY,0.0
2008,Greece,INCINRT,0.0
2009,Greece,INCINRT_EGY,0.0
2009,Greece,INCINRT,0.0
2010,Greece,INCINRT,0.0
2010,Greece,INCINRT_EGY,0.0
2011,Greece,INCINRT,0.0
2011,Greece,INCINRT_EGY,0.28643
2012,Greece,INCINRT,0.0
2012,Greece,INCINRT_EGY,0.53084
2016,Greece,INCINRT,0.0
2016,Greece,INCINRT_EGY,0.50307
2017,Greece,INCINRT,0.0
2017,Greece,INCINRT_EGY,1.0711
2018,Greece,INCINRT_EGY,1.50281
2018,Greece,INCINRT,0.0
2019,Greece,INCINRT_EGY,1.31837
2019,Greece,INCINRT,0.0
2000,Hungary,INCINRT,0.0
2000,Hungary,INCINRT_EGY,7.64499
2001,Hungary,INCINRT,0.0
2001,Hungary,INCINRT_EGY,7.66891
2002,Hungary,INCINRT,0.0
2002,Hungary,INCINRT_EGY,6.19888
2003,Hungary,INCINRT,0.0
2003,Hungary,INCINRT_EGY,5.21277
2004,Hungary,INCINRT_EGY,3.37544
2004,Hungary,INCINRT,0.0
2005,Hungary,INCINRT,0.0
2005,Hungary,INCINRT_EGY,6.52174
2006,Hungary,INCINRT_EGY,8.25727
2006,Hungary,INCINRT,0.0
2007,Hungary,INCINRT,0.0
2007,Hungary,INCINRT_EGY,8.31519
2008,Hungary,INCINRT_EGY,8.63167
2008,Hungary,INCINRT,0.0
2009,Hungary,INCINRT_EGY,9.41558
2009,Hungary,INCINRT,0.0
2010,Hungary,INCINRT_EGY,10.06695
