Year,GeoAreaName,Sex,Value
2001,Finland,FEMALE,73
2002,Finland,FEMALE,73
2003,Finland,FEMALE,73
2004,Finland,FEMALE,75
2005,Finland,FEMALE,75
2006,Finland,FEMALE,75
2007,Finland,FEMALE,76
2008,Finland,FEMALE,83
2009,Finland,FEMALE,83
2010,Finland,FEMALE,80
2011,Finland,FEMALE,80
2012,Finland,FEMALE,85
2013,Finland,FEMALE,85
2014,Finland,FEMALE,85
2015,Finland,FEMALE,85
2016,Finland,FEMALE,83
2017,Finland,FEMALE,84
2021,Portugal,FEMALE,92
2022,Portugal,FEMALE,92
2023,Portugal,FEMALE,83
2000,Romania,FEMALE,25
2001,Romania,FEMALE,37
2002,Romania,FEMALE,37
2003,Romania,FEMALE,37
2004,Romania,FEMALE,37
2005,Romania,FEMALE,38
2006,Austria,FEMALE,62
2007,Austria,FEMALE,59
2008,Austria,FEMALE,60
2009,Austria,FEMALE,50
2010,Austria,FEMALE,51
2011,Austria,FEMALE,51
2012,Austria,FEMALE,51
2013,Austria,FEMALE,51
2014,Austria,FEMALE,59
2018,Finland,FEMALE,84
2019,Finland,FEMALE,83
2020,Finland,FEMALE,92
2021,Finland,FEMALE,92
2022,Finland,FEMALE,91
2023,Finland,FEMALE,91
2000,France,FEMALE,63
2001,France,FEMALE,63
2002,France,FEMALE,63
2015,Austria,FEMALE,56
2016,Austria,FEMALE,56
2017,Austria,FEMALE,56
2018,Austria,FEMALE,63
2019,Austria,FEMALE,68
2020,Austria,FEMALE,72
2021,Austria,FEMALE,73
2022,Austria,FEMALE,76
2023,Austria,FEMALE,74
2003,France,FEMALE,70
2004,France,FEMALE,70
2005,France,FEMALE,70
2006,France,FEMALE,70
2007,France,FEMALE,70
2008,France,FEMALE,105
2009,France,FEMALE,105
2010,France,FEMALE,109
2011,France,FEMALE,109
2012,France,FEMALE,109
2013,France,FEMALE,155
2014,France,FEMALE,151
2015,France,FEMALE,151
2016,France,FEMALE,151
2017,France,FEMALE,149
2018,France,FEMALE,225
2019,France,FEMALE,229
2020,France,FEMALE,228
2000,Armenia,FEMALE,4
2001,Armenia,FEMALE,4
2002,Armenia,FEMALE,4
2003,Armenia,FEMALE,4
2004,Armenia,FEMALE,6
2005,Armenia,FEMALE,7
2006,Armenia,FEMALE,7
2007,Armenia,FEMALE,7
2008,Armenia,FEMALE,12
2021,France,FEMALE,228
2022,France,FEMALE,228
2023,France,FEMALE,218
2000,Georgia,FEMALE,17
2001,Georgia,FEMALE,17
2002,Georgia,FEMALE,17
2003,Georgia,FEMALE,17
2004,Georgia,FEMALE,17
2005,Georgia,FEMALE,22
2009,Armenia,FEMALE,11
2010,Armenia,FEMALE,12
2011,Armenia,FEMALE,12
2012,Armenia,FEMALE,11
2013,Armenia,FEMALE,14
