Year,GeoAreaName,Bioclimatic belt,Value
2015,Albania,TOTAL,137.13
2015,Albania,MONTANE,136.91
2015,Albania,REMAIN_MOUNT,0.21
2018,Albania,MONTANE,14.0
2018,Albania,TOTAL,14.07
2018,Albania,REMAIN_MOUNT,0.07
2015,Azerbaijan,TOTAL,563.6
2015,Poland,MONTANE,283.86
2015,Poland,ALPINE,0.62
2015,Poland,TOTAL,284.48
2018,Poland,MONTANE,17.08
2018,Poland,TOTAL,17.08
2015,Portugal,MONTANE,1039.84
2015,Azerbaijan,ALPINE,0.07
2015,Azerbaijan,MONTANE,470.24
2015,Azerbaijan,REMAIN_MOUNT,93.29
2018,Azerbaijan,MONTANE,12.47
2018,Azerbaijan,TOTAL,13.72
2018,Azerbaijan,ALPINE,0.22
2018,Azerbaijan,REMAIN_MOUNT,1.04
2015,Austria,ALPINE,55.71
2015,Austria,MONTANE,1695.26
2015,Portugal,REMAIN_MOUNT,125.81
2015,Portugal,TOTAL,1165.65
2018,Portugal,MONTANE,62.89
2018,Portugal,TOTAL,65.39
2018,Portugal,REMAIN_MOUNT,2.5
2015,Romania,TOTAL,1119.92
2015,Romania,MONTANE,1119.59
2015,Romania,ALPINE,0.33
2015,Austria,TOTAL,1761.32
2015,Austria,NIVAL,10.35
2018,Austria,TOTAL,160.1
2018,Austria,NIVAL,5.84
2018,Austria,MONTANE,140.31
2018,Austria,ALPINE,13.96
2018,Romania,ALPINE,0.07
2018,Romania,TOTAL,242.26
2018,Romania,MONTANE,242.19
2015,Serbia,TOTAL,290.25
2015,Serbia,MONTANE,290.25
2018,Serbia,TOTAL,242.57
2018,Serbia,MONTANE,242.57
2015,Belgium,TOTAL,21.86
2015,Belgium,MONTANE,21.86
2018,Belgium,MONTANE,0.3
2018,Belgium,TOTAL,0.3
2015,Bosnia and Herzegovina,MONTANE,288.99
2015,Bosnia and Herzegovina,TOTAL,289.27
2015,Bosnia and Herzegovina,REMAIN_MOUNT,0.28
2018,Bosnia and Herzegovina,TOTAL,117.38
2018,Bosnia and Herzegovina,MONTANE,117.31
2018,Bosnia and Herzegovina,REMAIN_MOUNT,0.07
2015,Bulgaria,ALPINE,17.34
2015,Bulgaria,TOTAL,265.88
2015,Bulgaria,MONTANE,248.54
2018,Bulgaria,TOTAL,56.38
