Year,GeoAreaName,Age,Parliamentary committees,Sex,Value
2021,Switzerland,<=45Y,FOR_AFF,MALE,1
2021,Switzerland,46+,FINANCE,MALE,1
2021,Switzerland,46+,DEFENCE,MALE,1
2021,Switzerland,46+,GEN_EQU,MALE,1
2021,Switzerland,46+,HUM_RIGH,MALE,1
2021,Switzerland,<=45Y,HUM_RIGH,MALE,1
2022,Switzerland,46+,HUM_RIGH,MALE,1
2022,Switzerland,<=45Y,HUM_RIGH,MALE,1
2022,Switzerland,46+,GEN_EQU,MALE,1
2022,Switzerland,46+,DEFENCE,MALE,1
2022,Switzerland,<=45Y,FINANCE,FEMALE,1
2022,Switzerland,46+,FOR_AFF,MALE,1
2023,Switzerland,46+,DEFENCE,MALE,1
2023,Switzerland,<=45Y,FINANCE,FEMALE,1
2023,Switzerland,46+,FOR_AFF,MALE,1
2023,Switzerland,46+,GEN_EQU,MALE,1
2023,Switzerland,<=45Y,HUM_RIGH,MALE,1
2023,Switzerland,46+,HUM_RIGH,MALE,1
2022,Turkmenistan,_X,FOR_AFF,_X,0
2022,Turkmenistan,_X,FINANCE,_X,0
2022,Turkmenistan,_X,HUM_RIGH,_X,0
2022,Turkmenistan,_X,GEN_EQU,_X,0
2022,Turkmenistan,_X,DEFENCE,_X,0
2021,Uzbekistan,46+,FOR_AFF,MALE,1
2021,Austria,46+,GEN_EQU,FEMALE,1
2021,Austria,_X,HUM_RIGH,_X,0
2021,Austria,46+,FINANCE,MALE,1
2021,Austria,46+,FOR_AFF,MALE,1
2021,Austria,46+,DEFENCE,MALE,1
2022,Austria,46+,FINANCE,MALE,1
2022,Austria,_X,HUM_RIGH,_X,0
2022,Austria,_X,DEFENCE,_X,1
2021,Uzbekistan,46+,FINANCE,MALE,1
2021,Uzbekistan,46+,DEFENCE,MALE,1
2021,Uzbekistan,<=45Y,GEN_EQU,FEMALE,1
2022,Uzbekistan,46+,FINANCE,MALE,1
2022,Uzbekistan,<=45Y,GEN_EQU,FEMALE,1
2022,Uzbekistan,46+,DEFENCE,MALE,1
2022,Uzbekistan,46+,FOR_AFF,MALE,1
2023,Uzbekistan,46+,FOR_AFF,MALE,1
2023,Uzbekistan,46+,FINANCE,MALE,1
2022,Austria,46+,GEN_EQU,FEMALE,1
2022,Austria,46+,FOR_AFF,MALE,1
2023,Austria,46+,FINANCE,MALE,1
2023,Austria,_X,HUM_RIGH,_X,0
2023,Austria,46+,GEN_EQU,FEMALE,1
2023,Austria,46+,FOR_AFF,MALE,1
2023,Austria,_X,DEFENCE,_X,1
2021,Belgium,_X,FINANCE,_X,0
2021,Belgium,46+,GEN_EQU,FEMALE,1
2021,Belgium,_X,HUM_RIGH,_X,0
2021,Belgium,_X,DEFENCE,_X,0
2021,Belgium,_X,FOR_AFF,_X,0
2022,Belgium,_X,HUM_RIGH,_X,0
2022,Belgium,_X,FOR_AFF,_X,0
2022,Belgium,_X,DEFENCE,_X,0
2022,Belgium,46+,GEN_EQU,FEMALE,1
2022,Belgium,_X,FINANCE,_X,0
2023,Belgium,_X,FINANCE,_X,0
2023,Belgium,_X,DEFENCE,_X,0
2023,Belgium,46+,GEN_EQU,FEMALE,1
2023,Belgium,_X,FOR_AFF,_X,0
2023,Belgium,_X,HUM_RIGH,_X,0
2021,Bosnia and Herzegovina,_U,DEFENCE,MALE,1
2021,Bosnia and Herzegovina,_X,FINANCE,_X,0
2021,Bosnia and Herzegovina,_X,FOR_AFF,_X,0
2021,Bosnia and Herzegovina,_X,GEN_EQU,_X,0
2022,Bosnia and Herzegovina,_X,GEN_EQU,_X,0
2022,Bosnia and Herzegovina,_U,DEFENCE,MALE,1
2022,Bosnia and Herzegovina,_X,FOR_AFF,_X,0
2022,Bosnia and Herzegovina,_X,FINANCE,_X,0
2023,Bosnia and Herzegovina,_X,GEN_EQU,_X,0
2023,Bosnia and Herzegovina,_X,FOR_AFF,_X,0
2023,Bosnia and Herzegovina,_X,FINANCE,_X,0
2021,Belarus,46+,FAFF_DEF,MALE,1
2021,Belarus,46+,FINANCE,FEMALE,1
2021,Belarus,_X,HUM_RIGH,_X,0
2021,Belarus,_X,GEN_EQU,_X,0
2022,Belarus,46+,FINANCE,FEMALE,1
2022,Belarus,46+,FAFF_DEF,MALE,1
2022,Belarus,_X,HUM_RIGH,_X,0
2022,Belarus,_X,GEN_EQU,_X,0
2023,Belarus,46+,FAFF_DEF,MALE,1
2023,Belarus,46+,FINANCE,FEMALE,1
2023,Belarus,_X,HUM_RIGH,_X,0
2023,Belarus,_X,GEN_EQU,_X,0
2021,Czechia,46+,FAFF_DEF,MALE,1
2021,Czechia,_X,GEN_EQU,_X,0
2021,Czechia,46+,FINANCE,MALE,1
2021,Czechia,_X,HUM_RIGH,_X,0
2022,Czechia,_X,GEN_EQU,_X,0
2022,Czechia,46+,FAFF_DEF,MALE,1
2022,Czechia,46+,FINANCE,MALE,1
2022,Czechia,_X,HUM_RIGH,_X,0
2023,Czechia,46+,FINANCE,MALE,1
2023,Czechia,46+,FAFF_DEF,MALE,1
2023,Czechia,_X,GEN_EQU,_X,0
2023,Czechia,46+,HUM_RIGH,MALE,1
2021,France,46+,FAFF_DEF,MALE,1
2021,France,46+,FINANCE,MALE,1
2021,France,46+,HUM_RIGH,MALE,1
2021,France,46+,GEN_EQU,FEMALE,1
2022,France,46+,FAFF_DEF,MALE,1
2022,France,46+,HUM_RIGH,MALE,1
2022,France,46+,GEN_EQU,FEMALE,1
2022,France,46+,FINANCE,MALE,1
2023,France,46+,GEN_EQU,FEMALE,1
2023,France,46+,HUM_RIGH,MALE,1
2023,France,46+,FINANCE,MALE,1
2023,France,46+,FAFF_DEF,MALE,1
2021,Germany,46+,FINANCE,MALE,1
2021,Germany,46+,GEN_EQU,FEMALE,1
2021,Germany,_X,HUM_RIGH,_X,0
2021,Germany,46+,DEFENCE,MALE,1
2021,Germany,<=45Y,FOR_AFF,MALE,1
2022,Germany,46+,FOR_AFF,MALE,1
2022,Germany,_X,HUM_RIGH,_X,0
2022,Germany,46+,DEFENCE,MALE,1
2022,Germany,46+,GEN_EQU,FEMALE,1
2022,Germany,46+,FINANCE,MALE,1
2023,Germany,46+,DEFENCE,MALE,1
2023,Germany,46+,FINANCE,MALE,1
2023,Germany,46+,FOR_AFF,MALE,1
2023,Germany,46+,GEN_EQU,FEMALE,1
2023,Germany,_X,HUM_RIGH,_X,0
2021,Ireland,_X,HUM_RIGH,_X,0
2022,Ireland,_X,HUM_RIGH,_X,0
2023,Ireland,_X,HUM_RIGH,_X,0
2021,Italy,46+,HUM_RIGH,FEMALE,1
2021,Italy,46+,FOR_AFF,MALE,1
2021,Italy,<=45Y,GEN_EQU,FEMALE,1
2021,Italy,46+,FINANCE,MALE,1
2021,Italy,46+,DEFENCE,FEMALE,1
2022,Italy,46+,FINANCE,MALE,1
2022,Italy,46+,FOR_AFF,MALE,1
2022,Italy,46+,DEFENCE,FEMALE,1
2022,Italy,46+,HUM_RIGH,FEMALE,1
2022,Italy,<=45Y,GEN_EQU,FEMALE,1
2023,Italy,46+,FINANCE,MALE,1
2023,Italy,46+,FAFF_DEF,FEMALE,1
2023,Italy,_X,GEN_EQU,_X,0
2023,Italy,_X,HUM_RIGH,_X,0
2021,Kazakhstan,46+,GEN_EQU,MALE,1
2021,Kazakhstan,46+,FAFF_DEF,MALE,1
2021,Kazakhstan,46+,FINANCE,FEMALE,1
2021,Kazakhstan,46+,HUM_RIGH,MALE,1
2022,Kazakhstan,46+,GEN_EQU,MALE,1
2022,Kazakhstan,46+,HUM_RIGH,MALE,1
2022,Kazakhstan,46+,FINANCE,FEMALE,1
2022,Kazakhstan,46+,FAFF_DEF,MALE,1
2023,Kazakhstan,46+,HUM_RIGH,MALE,1
2023,Kazakhstan,46+,FINANCE,FEMALE,1
2023,Kazakhstan,46+,FAFF_DEF,MALE,1
2023,Kazakhstan,46+,GEN_EQU,MALE,1
2021,Netherlands,_X,HUM_RIGH,_X,0
2021,Netherlands,_X,GEN_EQU,_X,0
2021,Netherlands,46+,FAFF_DEF,MALE,1
2021,Netherlands,46+,FINANCE,MALE,1
2022,Netherlands,46+,FINANCE,MALE,1
2022,Netherlands,46+,FAFF_DEF,MALE,1
2022,Netherlands,_X,GEN_EQU,_X,0
2022,Netherlands,_X,HUM_RIGH,_X,0
2023,Netherlands,46+,FINANCE,MALE,1
2023,Netherlands,46+,FAFF_DEF,MALE,1
2023,Netherlands,_X,GEN_EQU,_X,0
2023,Netherlands,_X,HUM_RIGH,_X,0
2021,Poland,46+,DEFENCE,MALE,1
2021,Poland,46+,FOR_AFF,MALE,1
2021,Poland,46+,FINANCE,MALE,1
2021,Poland,46+,HUM_RIGH,MALE,1
2021,Poland,46+,GEN_EQU,MALE,1
2022,Poland,46+,HUM_RIGH,MALE,1
2022,Poland,46+,DEFENCE,MALE,1
2022,Poland,46+,GEN_EQU,MALE,1
2022,Poland,46+,FOR_AFF,MALE,1
2022,Poland,46+,FINANCE,MALE,1
2023,Poland,46+,DEFENCE,MALE,1
2023,Poland,46+,HUM_RIGH,MALE,1
2023,Poland,46+,GEN_EQU,MALE,1
2023,Poland,46+,FOR_AFF,MALE,1
2023,Poland,46+,FINANCE,MALE,1
2021,Romania,<=45Y,HUM_RIGH,MALE,1
2021,Romania,46+,FOR_AFF,MALE,1
2021,Romania,46+,DEFENCE,MALE,1
2021,Romania,46+,FINANCE,MALE,1
2021,Romania,<=45Y,GEN_EQU,MALE,1
2022,Romania,46+,DEFENCE,FEMALE,1
2022,Romania,<=45Y,HR_GEQU,MALE,1
2022,Romania,46+,FOR_AFF,MALE,1
2022,Romania,46+,FINANCE,MALE,1
2023,Romania,<=45Y,HR_GEQU,MALE,1
2023,Romania,46+,FINANCE,MALE,1
2023,Romania,46+,FOR_AFF,MALE,1
2023,Romania,46+,DEFENCE,FEMALE,1
2021,Slovenia,46+,FOR_AFF,MALE,1
2021,Slovenia,46+,FINANCE,FEMALE,1
2021,Slovenia,_X,GEN_EQU,_X,0
2021,Slovenia,_X,HUM_RIGH,_X,0
2021,Slovenia,_X,DEFENCE,_X,0
2022,Slovenia,_X,DEFENCE,_X,0
2022,Slovenia,_X,HUM_RIGH,_X,0
2022,Slovenia,_X,GEN_EQU,_X,0
2022,Slovenia,46+,FINANCE,FEMALE,1
2022,Slovenia,46+,FOR_AFF,MALE,1
2023,Slovenia,_X,DEFENCE,_X,0
2023,Slovenia,46+,FINANCE,MALE,1
2023,Slovenia,46+,FOR_AFF,MALE,1
2023,Slovenia,_X,GEN_EQU,_X,0
2023,Slovenia,_X,HUM_RIGH,_X,0
2021,Spain,<=45Y,HUM_RIGH,MALE,1
2021,Spain,46+,HUM_RIGH,FEMALE,2
2021,Spain,<=45Y,HUM_RIGH,FEMALE,1
2021,Spain,46+,GEN_EQU,FEMALE,1
2021,Spain,46+,FOR_AFF,MALE,1
2021,Spain,46+,FINANCE,MALE,1
2021,Spain,46+,DEFENCE,MALE,1
2022,Spain,46+,FOR_AFF,MALE,1
