Indicator
#1-1-1_SI_POV_DAY1
#1-1-1_SI_POV_EMP1
#1-2-1_SI_POV_NAHC
#1-2-2_SD_MDP_CSMP
#1-2-2_SD_MDP_MUHC
#1-2-2_SD_MDP_MUHHC
#1-3-1_SI_COV_BENFTS
#1-3-1_SI_COV_CHLD
#1-3-1_SI_COV_DISAB
#1-3-1_SI_COV_LMKT
#1-3-1_SI_COV_MATNL
#1-3-1_SI_COV_PENSN
#1-3-1_SI_COV_POOR
#1-3-1_SI_COV_SOCAST
#1-3-1_SI_COV_SOCINS
#1-3-1_SI_COV_UEMP
#1-3-1_SI_COV_VULN
#1-3-1_SI_COV_WKINJRY
#1-4-1_SP_ACS_BSRVH2O
#1-4-1_SP_ACS_BSRVSAN
#1-4-2_SP_LGL_LNDDOC
#1-4-2_SP_LGL_LNDSEC
#1-4-2_SP_LGL_LNDSTR
#1-5-1_VC_DSR_AFFCT
#1-5-1_VC_DSR_DAFF
#1-5-1_VC_DSR_IJILN
#1-5-1_VC_DSR_MISS
#1-5-1_VC_DSR_MMHN
#1-5-1_VC_DSR_MORT
#1-5-1_VC_DSR_MTMP
#1-5-1_VC_DSR_PDAN
#1-5-1_VC_DSR_PDLN
#1-5-1_VC_DSR_PDYN
#1-5-2_VC_DSR_AGLH
#1-5-2_VC_DSR_CHLN
#1-5-2_VC_DSR_CILN
#1-5-2_VC_DSR_DDPA
#1-5-2_VC_DSR_GDPLS
#1-5-2_VC_DSR_HOLH
#1-5-2_VC_DSR_LSGP
#1-5-3_SG_DSR_LGRGSR
#1-5-4_SG_DSR_SILN
#1-5-4_SG_DSR_SILS
#1-5-4_SG_GOV_LOGV
#1-a-1_DC_ODA_POVDLG
#1-a-1_DC_ODA_POVLG
#1-a-2_SD_XPD_ESED
#10-1-1_SI_HEI_TOTL
#10-2-1_SI_POV_50MI
#10-3-1_VC_VOV_GDSD
#10-4-1_SL_EMP_GTOTL
#10-4-2_SI_DST_FISP
#10-5-1_FI_FSI_FSANL
#10-5-1_FI_FSI_FSERA
#10-5-1_FI_FSI_FSKA
#10-5-1_FI_FSI_FSKNL
#10-5-1_FI_FSI_FSKRTC
#10-5-1_FI_FSI_FSLS
#10-5-1_FI_FSI_FSSNO
#10-6-1_SG_INT_MBRDEV
#10-6-1_SG_INT_VRTDEV
#10-7-2_SG_CPA_MIGRS
#10-7-3_SM_DTH_MIGR
#10-7-4_SM_POP_REFG_OR
#10-a-1_TM_TRF_ZERO
#10-b-1_DC_TRF_TOTDL
#10-b-1_DC_TRF_TOTL
#10-c-1_SI_RMT_COST
#10-c-1_SI_RMT_COST_BC
#10-c-1_SI_RMT_COST_SC
#10-c-1_SI_RMT_COST_SND
#11-1-1_EN_LND_SLUM
#11-2-1_SP_TRN_PUBL
#11-4-1_GB_XPD_CULNAT_PB
#11-4-1_GB_XPD_CULNAT_PBPV
#11-4-1_GB_XPD_CULNAT_PV
