Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Croatia,,,,FEMALE,10.90609
2001,Croatia,,,,FEMALE,10.53485
2002,Croatia,,,,FEMALE,10.83446
2003,Croatia,,,,FEMALE,10.85276
2004,Croatia,,,,FEMALE,9.72103
2005,Croatia,,,,FEMALE,9.22811
2006,Croatia,,,,FEMALE,8.75829
2007,Croatia,,,,FEMALE,8.66689
2008,Croatia,,,,FEMALE,7.98099
2009,Croatia,,,,FEMALE,9.00552
2010,Croatia,,,,FEMALE,7.23662
2011,Croatia,,,,FEMALE,7.0512
2012,Croatia,,,,FEMALE,6.42449
2013,Croatia,,,,FEMALE,6.08767
2014,Croatia,,,,FEMALE,5.89039
2015,Croatia,,,,FEMALE,6.14627
2016,Croatia,,,,FEMALE,5.34301
2017,Croatia,,,,FEMALE,5.35671
2018,Croatia,,,,FEMALE,4.89074
2019,Croatia,,,,FEMALE,4.53287
2020,Croatia,,,,FEMALE,4.81682
2000,Cyprus,,,,FEMALE,33.16145
2001,Cyprus,,,,FEMALE,32.51078
2002,Cyprus,,,,FEMALE,34.16544
2003,Cyprus,,,,FEMALE,31.23918
2004,Cyprus,,,,FEMALE,32.02489
2005,Cyprus,,,,FEMALE,27.31871
2006,Cyprus,,,,FEMALE,30.62386
2007,Cyprus,,,,FEMALE,25.90659
2008,Cyprus,,,,FEMALE,26.91146
2009,Cyprus,,,,FEMALE,30.41244
2010,Cyprus,,,,FEMALE,26.78463
2011,Cyprus,,,,FEMALE,30.74882
2012,Cyprus,,,,FEMALE,31.88332
2013,Cyprus,,,,FEMALE,36.32315
2014,Cyprus,,,,FEMALE,39.07214
2015,Cyprus,,,,FEMALE,42.39329
2016,Cyprus,,,,FEMALE,42.29249
2017,Cyprus,,,,FEMALE,49.37267
2018,Cyprus,,,,FEMALE,58.51631
2000,Albania,,,,FEMALE,14.32641
2001,Albania,,,,FEMALE,12.52553
2002,Albania,,,,FEMALE,12.40726
2003,Albania,,,,FEMALE,12.11916
2004,Albania,,,,FEMALE,10.6316
2005,Albania,,,,FEMALE,10.8305
2006,Albania,,,,FEMALE,10.76677
2007,Albania,,,,FEMALE,10.19582
2008,Albania,,,,FEMALE,9.7394
2009,Albania,,,,FEMALE,9.09726
2000,Slovakia,,,,FEMALE,8.55377
2001,Slovakia,,,,FEMALE,9.34733
2002,Slovakia,,,,FEMALE,8.61392
2003,Slovakia,,,,FEMALE,8.28518
2004,Slovakia,,,,FEMALE,7.63127
2005,Slovakia,,,,FEMALE,7.436
2006,Slovakia,,,,FEMALE,6.61311
2007,Slovakia,,,,FEMALE,7.2473
2008,Slovakia,,,,FEMALE,5.88334
2009,Slovakia,,,,FEMALE,5.47262
2019,Cyprus,,,,FEMALE,63.81406
2020,Cyprus,,,,FEMALE,68.40659
2000,Czechia,,,,FEMALE,8.02829
2001,Czechia,,,,FEMALE,7.6298
2002,Czechia,,,,FEMALE,6.82948
2003,Czechia,,,,FEMALE,6.49944
2004,Czechia,,,,FEMALE,5.7283
2005,Czechia,,,,FEMALE,5.27713
2006,Czechia,,,,FEMALE,4.70081
2007,Czechia,,,,FEMALE,4.83644
2010,Albania,,,,FEMALE,8.51668
2011,Albania,,,,FEMALE,8.04523
2012,Albania,,,,FEMALE,7.7967
2013,Albania,,,,FEMALE,7.21536
2014,Albania,,,,FEMALE,7.00986
2015,Albania,,,,FEMALE,6.87828
2016,Albania,,,,FEMALE,6.65608
2017,Albania,,,,FEMALE,6.6897
2018,Albania,,,,FEMALE,5.42929
2019,Albania,,,,FEMALE,5.30502
2010,Slovakia,,,,FEMALE,5.08949
2011,Slovakia,,,,FEMALE,5.05522
2012,Slovakia,,,,FEMALE,5.25491
2013,Slovakia,,,,FEMALE,5.4865
2014,Slovakia,,,,FEMALE,5.21655
2015,Slovakia,,,,FEMALE,4.88799
2016,Slovakia,,,,FEMALE,5.11487
2017,Slovakia,,,,FEMALE,4.79292
