Year,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Sex,Value
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,89
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,89
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,91
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,88
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,89
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,89
