Year,GeoAreaName,Quantile,Value
2017,Albania,_T,6.96
2017,Albania,B40,8.81
2020,Austria,_T,1.29
2020,Austria,B40,1.61
2018,Armenia,B40,1.26
2018,Armenia,_T,2.4
2020,Belgium,_T,1.09
2020,Belgium,B40,2.2
2020,Bulgaria,B40,10.13
2020,Bulgaria,_T,9.91
2020,Belarus,B40,3.32
2020,Belarus,_T,2.6
2020,Croatia,_T,6.18
2020,Croatia,B40,7.12
2020,Cyprus,_T,3.26
2020,Cyprus,B40,4.64
2020,Czechia,B40,3.5
2020,Czechia,_T,3.62
2020,Denmark,B40,1.69
2020,Denmark,_T,1.59
2020,Estonia,_T,5.56
2020,Estonia,B40,6.63
2020,Finland,_T,1.3
2020,Finland,B40,1.38
2020,France,_T,-0.52
2020,France,B40,-0.11
2021,Georgia,_T,-0.89
2021,Georgia,B40,0.2
2019,Germany,_T,2.34
2019,Germany,B40,2.14
2020,Greece,_T,2.76
2020,Greece,B40,4.2
2020,Hungary,B40,6.81
2020,Hungary,_T,6.34
2017,Iceland,B40,5.65
2017,Iceland,_T,5.26
2020,Ireland,B40,5.93
2020,Ireland,_T,4.52
2020,Italy,B40,2.19
2020,Italy,_T,1.67
2018,Kazakhstan,B40,-0.3
2018,Kazakhstan,_T,-0.23
2020,Kyrgyzstan,B40,0.76
2020,Kyrgyzstan,_T,1.14
2020,Latvia,B40,5.99
2020,Latvia,_T,6.79
2020,Lithuania,B40,10.66
2020,Lithuania,_T,8.98
2020,Luxembourg,B40,4.49
2020,Luxembourg,_T,4.9
2020,Malta,B40,3.21
2020,Malta,_T,4.43
2021,Republic of Moldova,B40,1.3
2021,Republic of Moldova,_T,1.12
2018,Montenegro,_T,1.9
2018,Montenegro,B40,3.43
2020,Netherlands,B40,3.07
2020,Netherlands,_T,2.1
2019,Norway,B40,-0.24
2019,Norway,_T,0.36
2019,Poland,B40,8.82
2019,Poland,_T,6.34
2020,Portugal,B40,4.5
2020,Portugal,_T,3.86
2020,Romania,B40,15.29
2020,Romania,_T,14.23
2020,Serbia,_T,7.63
2020,Serbia,B40,13.4
2019,Slovakia,_T,2.9
2019,Slovakia,B40,4.47
2020,Slovenia,_T,3.73
2020,Slovenia,B40,4.54
2020,Spain,B40,2.68
2020,Spain,_T,1.99
2020,Sweden,B40,1.29
2020,Sweden,_T,1.3
2018,Switzerland,_T,0.08
2018,Switzerland,B40,-0.34
2015,Tajikistan,B40,1.32
2015,Tajikistan,_T,2.67
2019,Türkiye,B40,0.85
2019,Türkiye,_T,1.47
2020,Ukraine,B40,4.13
2020,Ukraine,_T,4.12
2019,North Macedonia,B40,6.09
2019,North Macedonia,_T,5.34
2019,North Macedonia,_T,5.34
