Year,GeoAreaName,Age,Education level,Sex,Value
2021,Poland,15+,,BOTHSEX,91.37944
2011,Portugal,15+,,BOTHSEX,71.54314
2014,Portugal,15+,,BOTHSEX,80.35786
2017,Portugal,15+,,BOTHSEX,87.66882
2021,Portugal,15+,,BOTHSEX,84.36706
2011,Romania,15+,,BOTHSEX,34.73035
2014,Romania,15+,,BOTHSEX,48.56176
2017,Romania,15+,,BOTHSEX,47.83712
2021,Romania,15+,,BOTHSEX,53.90932
2011,Serbia,15+,,BOTHSEX,52.60715
2014,Serbia,15+,,BOTHSEX,76.72476
2017,Serbia,15+,,BOTHSEX,58.77736
2021,Serbia,15+,,BOTHSEX,81.75607
2011,Slovakia,15+,,BOTHSEX,59.24871
2014,Slovakia,15+,,BOTHSEX,55.23951
2017,Slovakia,15+,,BOTHSEX,65.44839
2021,Slovakia,15+,,BOTHSEX,92.71291
2011,Slovenia,15+,,BOTHSEX,96.43349
2014,Slovenia,15+,,BOTHSEX,96.91555
2017,Slovenia,15+,,BOTHSEX,94.04204
2021,Slovenia,15+,,BOTHSEX,97.88979
2011,Spain,15+,,BOTHSEX,88.72352
2014,Spain,15+,,BOTHSEX,97.57531
2017,Spain,15+,,BOTHSEX,83.9481
2021,Spain,15+,,BOTHSEX,99.82846
2011,Sweden,15+,,BOTHSEX,97.6048
2014,Sweden,15+,,BOTHSEX,99.14268
2017,Sweden,15+,,BOTHSEX,99.64494
2021,Sweden,15+,,BOTHSEX,99.89687
2014,Switzerland,15+,,BOTHSEX,96.70686
2017,Switzerland,15+,,BOTHSEX,97.24341
2021,Switzerland,15+,,BOTHSEX,99.1257
2011,Tajikistan,15+,,BOTHSEX,1.8295
2014,Tajikistan,15+,,BOTHSEX,8.2341
2017,Tajikistan,15+,,BOTHSEX,37.34571
2021,Tajikistan,15+,,BOTHSEX,33.73207
2011,Türkiye,15+,,BOTHSEX,37.04825
2014,Türkiye,15+,,BOTHSEX,45.39205
2017,Türkiye,15+,,BOTHSEX,43.922
2021,Türkiye,15+,,BOTHSEX,63.25098
2011,Turkmenistan,15+,,BOTHSEX,0.0
2017,Turkmenistan,15+,,BOTHSEX,10.23296
2011,Ukraine,15+,,BOTHSEX,27.88924
2014,Ukraine,15+,,BOTHSEX,32.19132
2017,Ukraine,15+,,BOTHSEX,54.75802
2021,Ukraine,15+,,BOTHSEX,75.06514
2011,North Macedonia,15+,,BOTHSEX,67.29443
2014,North Macedonia,15+,,BOTHSEX,57.34823
2017,North Macedonia,15+,,BOTHSEX,65.5631
2021,North Macedonia,15+,,BOTHSEX,76.26702
2011,Uzbekistan,15+,,BOTHSEX,10.50153
2014,Uzbekistan,15+,,BOTHSEX,36.40635
2017,Uzbekistan,15+,,BOTHSEX,34.32649
2021,Uzbekistan,15+,,BOTHSEX,34.44476
2021,Uzbekistan,15+,,BOTHSEX,34.44476
