Year,GeoAreaName,Type of waste treatment,Value
2014,Finland,INCINRT,149463.0
2014,Finland,OTHERWM,363431.0
2016,Finland,RECYCL,385016.0
2016,Finland,INCINRT_EGY,125313.0
2016,Finland,LANDFIL,1723271.0
2016,Finland,OTHERWM,5239.0
2021,Azerbaijan,LANDFIL,190761.0
2004,Austria,INCINRT,150206.0
2004,Austria,OTHERWM,0.0
2004,Austria,INCINRT_EGY,35668.0
2004,Austria,LANDFIL,43465.0
2006,Austria,INCINRT,79972.0
2006,Austria,LANDFIL,0.0
2006,Austria,INCINRT_EGY,73195.0
2006,Austria,OTHERWM,0.0
2008,Austria,INCINRT,77201.0
2008,Austria,INCINRT_EGY,83500.0
2008,Austria,LANDFIL,45033.0
2008,Austria,OTHERWM,0.0
2010,Austria,INCINRT_EGY,88184.0
2010,Austria,OTHERWM,0.0
2010,Austria,RECYCL,1117841.0
2010,Austria,LANDFIL,47959.0
2010,Austria,INCINRT,67983.0
2012,Austria,RECYCL,1158065.0
2012,Austria,OTHERWM,0.0
2012,Austria,INCINRT,62905.0
2012,Austria,LANDFIL,59046.0
2012,Austria,INCINRT_EGY,130516.0
2014,Austria,RECYCL,1492430.0
2014,Austria,OTHERWM,0.0
2014,Austria,LANDFIL,60260.0
2016,Austria,LANDFIL,66429.0
2016,Austria,OTHERWM,0.0
2016,Austria,RECYCL,926403.0
2018,Austria,RECYCL,1728815.0
2016,Finland,INCINRT,42460.0
2018,Finland,LANDFIL,1329817.0
2018,Finland,OTHERWM,4012.0
2018,Finland,INCINRT_EGY,94513.0
2018,Finland,RECYCL,372532.0
2018,Finland,INCINRT,84304.0
2020,Finland,RECYCL,1819547.0
2020,Finland,LANDFIL,2614967.0
2020,Finland,INCINRT_EGY,116280.0
2020,Finland,OTHERWM,1515977.0
2020,Finland,INCINRT,104023.0
2004,France,INCINRT_EGY,2332000.0
2004,France,INCINRT,37000.0
2004,France,LANDFIL,1707000.0
2004,France,OTHERWM,0.0
2006,France,LANDFIL,1769040.0
2006,France,INCINRT,1220900.0
2006,France,OTHERWM,300.0
2006,France,INCINRT_EGY,1630100.0
2008,France,LANDFIL,2120360.0
2008,France,INCINRT_EGY,1042501.0
2008,France,OTHERWM,0.0
2008,France,INCINRT,1228645.0
2010,France,INCINRT_EGY,1083008.0
2018,Austria,OTHERWM,0.0
2018,Austria,LANDFIL,73286.0
2020,Austria,RECYCL,1153284.0
2020,Austria,LANDFIL,80681.0
2020,Austria,OTHERWM,0.0
2000,Armenia,LANDFIL,381578.0
2000,Armenia,INCINRT,0.0
2000,Armenia,RECYCL,0.0
2001,Armenia,RECYCL,0.0
2001,Armenia,INCINRT,0.0
2001,Armenia,LANDFIL,375500.0
2002,Armenia,RECYCL,0.0
2002,Armenia,LANDFIL,377900.0
2002,Armenia,INCINRT,0.0
2003,Armenia,RECYCL,0.0
2003,Armenia,INCINRT,0.0
2003,Armenia,LANDFIL,344095.0
2004,Armenia,LANDFIL,351400.0
2004,Armenia,INCINRT,0.0
2004,Armenia,RECYCL,0.0
2005,Armenia,INCINRT,0.0
2005,Armenia,RECYCL,0.0
2005,Armenia,LANDFIL,346325.0
2010,France,LANDFIL,2729389.0
2010,France,OTHERWM,0.0
2010,France,RECYCL,26371.0
2010,France,INCINRT,1306167.0
2012,France,OTHERWM,0.0
2012,France,INCINRT,1422701.0
2012,France,INCINRT_EGY,1103481.0
2012,France,RECYCL,54660.0
2012,France,LANDFIL,2838870.0
2014,France,INCINRT,1520287.0
2014,France,INCINRT_EGY,1046249.0
2006,Armenia,INCINRT,0.0
2006,Armenia,RECYCL,0.0
2006,Armenia,LANDFIL,352279.0
2007,Armenia,INCINRT,0.0
2007,Armenia,RECYCL,0.0
2007,Armenia,LANDFIL,362275.0
2008,Armenia,INCINRT,1359.0
2008,Armenia,LANDFIL,433537.53125
2008,Armenia,RECYCL,2362.0
2009,Armenia,INCINRT,456.0
2009,Armenia,RECYCL,2340.0
2009,Armenia,LANDFIL,438227.5625
2010,Armenia,LANDFIL,432811.78125
2010,Armenia,RECYCL,2286.0
2010,Armenia,INCINRT,300.0
2011,Armenia,INCINRT,12.0
2011,Armenia,RECYCL,5154.0
2011,Armenia,LANDFIL,457729.8125
2012,Armenia,LANDFIL,460844.6875
2014,France,RECYCL,44649.0
2014,France,LANDFIL,2672055.0
2014,France,OTHERWM,0.0
2016,France,INCINRT_EGY,1098465.0
2016,France,LANDFIL,2322485.0
2016,France,RECYCL,55565.0
2016,France,OTHERWM,0.0
2016,France,INCINRT,1514417.0
2018,France,LANDFIL,3285021.0
2018,France,INCINRT,1778037.0
2018,France,OTHERWM,0.0
2018,France,RECYCL,67651.0
2018,France,INCINRT_EGY,1110043.0
2020,France,RECYCL,88332.0
2020,France,OTHERWM,0.0
2020,France,INCINRT_EGY,1105699.0
2020,France,LANDFIL,2886539.0
2020,France,INCINRT,1691252.0
2004,Georgia,RECYCL,0.0
2004,Georgia,INCINRT,0.0
2004,Georgia,LANDFIL,0.0
2005,Georgia,LANDFIL,0.0
2005,Georgia,RECYCL,0.0
2005,Georgia,INCINRT,0.0
2004,Germany,INCINRT_EGY,1741450.0
2004,Germany,INCINRT,1436474.0
2004,Germany,OTHERWM,809186.0
2004,Germany,LANDFIL,5570009.0
2006,Germany,OTHERWM,575094.0
2006,Germany,LANDFIL,4826070.0
2006,Germany,INCINRT,1351419.0
2006,Germany,INCINRT_EGY,1813661.0
2008,Germany,INCINRT,1543961.0
2008,Germany,LANDFIL,5215311.0
2008,Germany,OTHERWM,158200.0
2008,Germany,INCINRT_EGY,2390370.0
2010,Germany,INCINRT_EGY,2592474.0
2010,Germany,RECYCL,933398.0
2010,Germany,LANDFIL,3983980.0
2010,Germany,OTHERWM,44315.0
2010,Germany,INCINRT,1128772.0
2012,Germany,RECYCL,1568605.0
2012,Germany,INCINRT,1142653.0
2012,Germany,LANDFIL,4863231.0
2012,Germany,INCINRT_EGY,3169878.0
2012,Germany,OTHERWM,24121.0
2014,Germany,INCINRT_EGY,2788642.0
2014,Germany,RECYCL,1316434.0
2014,Germany,INCINRT,1263306.0
2014,Germany,LANDFIL,4649719.0
2014,Germany,OTHERWM,37402.0
2016,Germany,OTHERWM,40074.0
2016,Germany,RECYCL,214601.0
2016,Germany,INCINRT,1056183.0
2016,Germany,INCINRT_EGY,2954075.0
2016,Germany,LANDFIL,5215508.0
2018,Germany,OTHERWM,42420.0
2018,Germany,LANDFIL,5800429.0
2012,Armenia,INCINRT,167.39999
2012,Armenia,RECYCL,7983.0
2013,Armenia,INCINRT,17.0
2013,Armenia,RECYCL,4059.0
2013,Armenia,LANDFIL,574973.8125
2014,Armenia,LANDFIL,571750.375
2014,Armenia,RECYCL,2290.0
2014,Armenia,INCINRT,2379.0
2015,Armenia,RECYCL,3766.80005
2015,Armenia,LANDFIL,551020.0625
2015,Armenia,INCINRT,289.70001
2016,Armenia,RECYCL,12948.29981
2018,Germany,INCINRT,945280.0
2018,Germany,INCINRT_EGY,3128166.0
2018,Germany,RECYCL,615843.0
2020,Germany,OTHERWM,16715.0
2020,Germany,INCINRT,1040575.0
2020,Germany,LANDFIL,5427389.0
2020,Germany,INCINRT_EGY,3066914.0
2020,Germany,RECYCL,487713.0
2004,Greece,OTHERWM,0.0
2004,Greece,INCINRT,27.0
2004,Greece,LANDFIL,143971.0
2004,Greece,INCINRT_EGY,2979.0
2006,Greece,INCINRT_EGY,7517.0
2006,Greece,LANDFIL,33118.0
2006,Greece,OTHERWM,0.0
2006,Greece,INCINRT,13404.0
2008,Greece,LANDFIL,15748.0
2008,Greece,OTHERWM,0.0
2008,Greece,INCINRT,4449.0
2008,Greece,INCINRT_EGY,7884.0
2010,Greece,INCINRT,3772.0
2010,Greece,RECYCL,1618549.0
2010,Greece,INCINRT_EGY,4020.0
2010,Greece,LANDFIL,11910.0
2010,Greece,OTHERWM,112.0
2012,Greece,INCINRT_EGY,3006.0
2012,Greece,OTHERWM,0.0
2012,Greece,INCINRT,3170.0
2012,Greece,LANDFIL,16997.0
2012,Greece,RECYCL,1612927.0
