Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2005,Estonia,RES,FEMALE,104
2005,Estonia,DIA,FEMALE,146
2005,Estonia,CAR,FEMALE,5448
2005,Estonia,CAN,FEMALE,1588
2005,Estonia,RES,MALE,223
2005,Estonia,CAR,BOTHSEX,9645
2005,Estonia,CAN,BOTHSEX,3579
2005,Estonia,DIA,MALE,86
2005,Estonia,RES,BOTHSEX,327
2005,Estonia,DIA,BOTHSEX,232
2005,Estonia,CAN,MALE,1991
2010,Estonia,RES,MALE,204
2010,Estonia,CAR,MALE,3726
2010,Estonia,CAN,BOTHSEX,3617
2010,Estonia,RES,BOTHSEX,323
2010,Estonia,DIA,BOTHSEX,155
2010,Estonia,CAN,MALE,1982
2005,Italy,DIA,BOTHSEX,19961
2005,Italy,CAR,BOTHSEX,228156
2005,Italy,DIA,FEMALE,11860
2005,Italy,RES,FEMALE,16588
2005,Italy,CAR,FEMALE,128217
2005,Italy,CAN,FEMALE,69197
2010,Italy,DIA,BOTHSEX,20583
2010,Italy,CAN,FEMALE,72680
2010,Italy,CAR,MALE,93315
2010,Italy,DIA,MALE,8776
2010,Italy,RES,MALE,20361
2010,Italy,CAN,MALE,94423
2010,Italy,RES,BOTHSEX,36088
2010,Italy,CAN,BOTHSEX,167103
2010,Italy,CAR,BOTHSEX,215496
2010,Italy,CAR,FEMALE,122181
2010,Italy,DIA,FEMALE,11807
2010,Italy,RES,FEMALE,15727
2015,Italy,CAR,FEMALE,136246
2015,Italy,DIA,FEMALE,12675
2015,Italy,CAR,MALE,101051
2015,Italy,RES,MALE,22587
2015,Italy,DIA,MALE,9979
2015,Italy,RES,BOTHSEX,42334
2015,Italy,DIA,BOTHSEX,22654
2015,Italy,CAN,BOTHSEX,173077
2015,Italy,CAR,BOTHSEX,237296
2019,Belgium,RES,MALE,4887
2019,Belgium,RES,BOTHSEX,8810
2000,Bosnia and Herzegovina,DIA,BOTHSEX,975
2000,Bosnia and Herzegovina,CAR,BOTHSEX,14670
2000,Bosnia and Herzegovina,CAN,BOTHSEX,5888
2000,Bosnia and Herzegovina,DIA,MALE,350
2000,Bosnia and Herzegovina,CAN,MALE,3549
2000,Bosnia and Herzegovina,CAR,MALE,6746
2000,Bosnia and Herzegovina,RES,BOTHSEX,1140
2015,Italy,CAN,FEMALE,76984
2015,Italy,RES,FEMALE,19747
2015,Italy,CAN,MALE,96093
2019,Italy,CAR,FEMALE,128553
2019,Italy,DIA,FEMALE,12226
2019,Italy,RES,FEMALE,21627
2019,Italy,CAR,MALE,98803
2019,Italy,DIA,MALE,10593
2019,Italy,CAN,BOTHSEX,172725
2000,Bosnia and Herzegovina,RES,MALE,656
2000,Bosnia and Herzegovina,RES,FEMALE,483
2000,Bosnia and Herzegovina,DIA,FEMALE,625
2000,Bosnia and Herzegovina,CAN,FEMALE,2339
2000,Bosnia and Herzegovina,CAR,FEMALE,7924
2005,Bosnia and Herzegovina,CAR,FEMALE,9964
2005,Bosnia and Herzegovina,DIA,MALE,761
2005,Bosnia and Herzegovina,RES,MALE,808
2005,Bosnia and Herzegovina,CAN,MALE,4362
2010,Estonia,CAR,FEMALE,5161
2010,Estonia,DIA,MALE,71
2010,Estonia,CAR,BOTHSEX,8887
2010,Estonia,RES,FEMALE,118
2010,Estonia,CAN,FEMALE,1635
2010,Estonia,DIA,FEMALE,85
2015,Estonia,DIA,FEMALE,86
2015,Estonia,DIA,BOTHSEX,141
2015,Estonia,RES,FEMALE,118
2005,Bosnia and Herzegovina,RES,FEMALE,554
2005,Bosnia and Herzegovina,CAN,FEMALE,2942
2005,Bosnia and Herzegovina,RES,BOTHSEX,1362
2005,Bosnia and Herzegovina,CAR,BOTHSEX,18090
2005,Bosnia and Herzegovina,DIA,BOTHSEX,1941
2005,Bosnia and Herzegovina,CAN,BOTHSEX,7304
2005,Bosnia and Herzegovina,DIA,FEMALE,1181
2005,Bosnia and Herzegovina,CAR,MALE,8126
2010,Bosnia and Herzegovina,RES,BOTHSEX,1389
2019,Italy,DIA,BOTHSEX,22818
2019,Italy,RES,BOTHSEX,46151
2019,Italy,CAR,BOTHSEX,227356
2019,Italy,CAN,FEMALE,76735
2019,Italy,RES,MALE,24525
2019,Italy,CAN,MALE,95989
2000,Kazakhstan,DIA,BOTHSEX,1968
2000,Kazakhstan,RES,BOTHSEX,7032
2000,Kazakhstan,CAR,BOTHSEX,80351
2010,Bosnia and Herzegovina,RES,FEMALE,564
2010,Bosnia and Herzegovina,CAN,MALE,4726
2010,Bosnia and Herzegovina,RES,MALE,824
2010,Bosnia and Herzegovina,CAR,MALE,8426
2010,Bosnia and Herzegovina,DIA,BOTHSEX,2480
2010,Bosnia and Herzegovina,CAR,FEMALE,10966
2010,Bosnia and Herzegovina,DIA,FEMALE,1509
2010,Bosnia and Herzegovina,CAN,FEMALE,3305
2010,Bosnia and Herzegovina,CAN,BOTHSEX,8032
2000,Kazakhstan,CAN,BOTHSEX,27216
2000,Kazakhstan,RES,FEMALE,2539
2000,Kazakhstan,RES,MALE,4493
2000,Kazakhstan,CAN,FEMALE,11820
2000,Kazakhstan,DIA,FEMALE,1199
2000,Kazakhstan,CAR,FEMALE,41197
2000,Kazakhstan,CAR,MALE,39154
2000,Kazakhstan,DIA,MALE,769
2000,Kazakhstan,CAN,MALE,15395
2015,Estonia,RES,MALE,212
2015,Estonia,CAN,BOTHSEX,3919
2015,Estonia,RES,BOTHSEX,330
2015,Estonia,CAN,FEMALE,1813
2015,Estonia,DIA,MALE,54
2015,Estonia,CAR,MALE,3211
2015,Estonia,CAR,BOTHSEX,8121
2015,Estonia,CAN,MALE,2106
2015,Estonia,CAR,FEMALE,4910
2005,Kazakhstan,RES,BOTHSEX,5640
2005,Kazakhstan,DIA,BOTHSEX,1664
2005,Kazakhstan,CAN,BOTHSEX,24527
2005,Kazakhstan,CAN,FEMALE,11015
2005,Kazakhstan,CAR,BOTHSEX,80676
2005,Kazakhstan,DIA,FEMALE,984
2005,Kazakhstan,RES,FEMALE,2139
2005,Kazakhstan,CAR,FEMALE,41807
2005,Kazakhstan,DIA,MALE,680
2005,Azerbaijan,CAR,FEMALE,18786
2005,Azerbaijan,DIA,FEMALE,1147
2005,Azerbaijan,RES,BOTHSEX,1735
2005,Azerbaijan,DIA,BOTHSEX,2015
2005,Azerbaijan,CAN,FEMALE,2711
2005,Azerbaijan,CAN,BOTHSEX,5660
2005,Azerbaijan,CAR,BOTHSEX,37524
2005,Azerbaijan,CAR,MALE,18738
2005,Azerbaijan,DIA,MALE,869
2019,Estonia,RES,FEMALE,102
2019,Estonia,CAN,FEMALE,1795
2019,Estonia,CAR,BOTHSEX,7727
2019,Estonia,CAR,FEMALE,4680
2019,Estonia,DIA,FEMALE,152
2019,Estonia,RES,BOTHSEX,313
2019,Estonia,CAN,BOTHSEX,3869
2019,Estonia,DIA,BOTHSEX,248
2019,Estonia,CAN,MALE,2074
2010,Bosnia and Herzegovina,CAR,BOTHSEX,19392
2010,Bosnia and Herzegovina,DIA,MALE,971
2015,Bosnia and Herzegovina,CAN,FEMALE,3270
2015,Bosnia and Herzegovina,DIA,FEMALE,1445
2015,Bosnia and Herzegovina,CAN,MALE,4785
2015,Bosnia and Herzegovina,CAN,BOTHSEX,8056
2015,Bosnia and Herzegovina,CAR,BOTHSEX,18648
2015,Bosnia and Herzegovina,RES,BOTHSEX,1249
2015,Bosnia and Herzegovina,CAR,MALE,8468
2005,Kazakhstan,CAR,MALE,38869
2005,Kazakhstan,RES,MALE,3501
2005,Kazakhstan,CAN,MALE,13512
2010,Kazakhstan,DIA,MALE,676
2010,Kazakhstan,DIA,BOTHSEX,1648
2010,Kazakhstan,CAN,BOTHSEX,23702
2010,Kazakhstan,CAN,MALE,12881
2010,Kazakhstan,CAR,MALE,34101
2010,Kazakhstan,RES,MALE,3559
2010,Kazakhstan,CAR,BOTHSEX,70414
2010,Kazakhstan,RES,BOTHSEX,5786
2010,Kazakhstan,CAN,FEMALE,10821
2010,Kazakhstan,RES,FEMALE,2227
2010,Kazakhstan,DIA,FEMALE,972
2010,Kazakhstan,CAR,FEMALE,36313
2015,Kazakhstan,RES,BOTHSEX,7918
2015,Kazakhstan,DIA,BOTHSEX,2388
2015,Kazakhstan,DIA,MALE,971
2015,Kazakhstan,CAN,MALE,12092
2015,Kazakhstan,CAR,MALE,29395
2015,Kazakhstan,RES,MALE,4773
2015,Kazakhstan,CAR,BOTHSEX,61302
2015,Kazakhstan,CAN,BOTHSEX,22261
2015,Kazakhstan,CAN,FEMALE,10169
2015,Kazakhstan,DIA,FEMALE,1417
2015,Kazakhstan,RES,FEMALE,3145
2015,Kazakhstan,CAR,FEMALE,31907
2019,Estonia,CAR,MALE,3047
2019,Estonia,RES,MALE,210
2019,Estonia,DIA,MALE,96
2000,Finland,CAR,BOTHSEX,21496
2000,Finland,RES,FEMALE,553
2000,Finland,RES,MALE,1022
2000,Finland,CAN,MALE,5268
2000,Finland,CAR,FEMALE,11489
2000,Finland,CAR,MALE,10007
2019,Kazakhstan,RES,BOTHSEX,8935
2019,Kazakhstan,CAR,MALE,27528
2019,Kazakhstan,CAN,MALE,11946
2019,Kazakhstan,RES,MALE,5238
2019,Kazakhstan,DIA,FEMALE,1674
2019,Kazakhstan,DIA,BOTHSEX,2794
2019,Kazakhstan,CAR,BOTHSEX,60291
2019,Kazakhstan,CAN,BOTHSEX,21876
2019,Kazakhstan,RES,FEMALE,3697
2000,Finland,CAN,BOTHSEX,10348
2000,Finland,RES,BOTHSEX,1575
2000,Finland,DIA,FEMALE,350
2000,Finland,DIA,BOTHSEX,578
2000,Finland,CAN,FEMALE,5079
2000,Finland,DIA,MALE,228
2005,Finland,RES,MALE,1029
2005,Finland,CAR,MALE,9463
2005,Finland,DIA,FEMALE,231
2015,Bosnia and Herzegovina,RES,MALE,776
2015,Bosnia and Herzegovina,RES,FEMALE,474
2015,Bosnia and Herzegovina,CAR,FEMALE,10181
2015,Bosnia and Herzegovina,DIA,BOTHSEX,2476
2015,Bosnia and Herzegovina,DIA,MALE,1031
2019,Bosnia and Herzegovina,RES,MALE,785
2019,Bosnia and Herzegovina,DIA,FEMALE,1504
2019,Bosnia and Herzegovina,CAN,FEMALE,3395
2019,Bosnia and Herzegovina,RES,FEMALE,477
2019,Kazakhstan,CAR,FEMALE,32764
2019,Kazakhstan,CAN,FEMALE,9929
2019,Kazakhstan,DIA,MALE,1120
2000,Kyrgyzstan,CAR,BOTHSEX,15530
2000,Kyrgyzstan,DIA,BOTHSEX,432
2000,Kyrgyzstan,CAR,FEMALE,8264
2000,Kyrgyzstan,DIA,FEMALE,231
2000,Kyrgyzstan,CAN,FEMALE,1986
2000,Kyrgyzstan,CAN,BOTHSEX,4255
2005,Azerbaijan,RES,MALE,941
2005,Azerbaijan,CAN,MALE,2949
2005,Azerbaijan,RES,FEMALE,795
2010,Azerbaijan,CAN,BOTHSEX,6626
2010,Azerbaijan,RES,BOTHSEX,1903
2010,Azerbaijan,CAR,BOTHSEX,41813
2010,Azerbaijan,CAN,MALE,3545
2010,Azerbaijan,RES,MALE,1052
2010,Azerbaijan,DIA,BOTHSEX,2271
2005,Finland,CAN,MALE,5608
2005,Finland,CAN,FEMALE,5148
2005,Finland,CAN,BOTHSEX,10756
2005,Finland,DIA,MALE,296
2005,Finland,RES,FEMALE,565
2005,Finland,CAR,BOTHSEX,19922
2005,Finland,CAR,FEMALE,10458
2005,Finland,RES,BOTHSEX,1594
2005,Finland,DIA,BOTHSEX,527
2010,Finland,CAR,BOTHSEX,20634
2010,Finland,DIA,BOTHSEX,460
2010,Finland,RES,BOTHSEX,1648
2010,Finland,DIA,MALE,246
2010,Finland,CAN,MALE,6164
2010,Finland,CAN,BOTHSEX,11665
2010,Finland,CAR,MALE,10033
2010,Finland,CAN,FEMALE,5501
2010,Finland,RES,MALE,1052
2000,Kyrgyzstan,RES,BOTHSEX,2688
2000,Kyrgyzstan,RES,FEMALE,1165
2000,Kyrgyzstan,CAR,MALE,7265
2000,Kyrgyzstan,CAN,MALE,2268
2000,Kyrgyzstan,RES,MALE,1523
2000,Kyrgyzstan,DIA,MALE,201
2005,Kyrgyzstan,RES,BOTHSEX,2461
2005,Kyrgyzstan,CAR,BOTHSEX,16862
2005,Kyrgyzstan,DIA,BOTHSEX,389
2005,Kyrgyzstan,CAN,FEMALE,1869
2005,Kyrgyzstan,RES,FEMALE,996
2005,Kyrgyzstan,CAN,BOTHSEX,4017
2005,Kyrgyzstan,CAR,FEMALE,8491
2005,Kyrgyzstan,DIA,MALE,192
2005,Kyrgyzstan,CAN,MALE,2148
2005,Kyrgyzstan,RES,MALE,1465
2005,Kyrgyzstan,CAR,MALE,8371
2005,Kyrgyzstan,DIA,FEMALE,197
2010,Azerbaijan,DIA,MALE,1007
2010,Azerbaijan,CAR,MALE,20639
2010,Azerbaijan,CAN,FEMALE,3081
2010,Azerbaijan,DIA,FEMALE,1264
2010,Azerbaijan,CAR,FEMALE,21174
2010,Azerbaijan,RES,FEMALE,852
2015,Azerbaijan,CAR,FEMALE,25277
2015,Azerbaijan,RES,FEMALE,1029
2015,Azerbaijan,DIA,FEMALE,1427
2010,Kyrgyzstan,CAN,MALE,2215
2010,Kyrgyzstan,CAN,BOTHSEX,4192
2010,Kyrgyzstan,CAR,BOTHSEX,16598
2010,Kyrgyzstan,DIA,BOTHSEX,360
2010,Kyrgyzstan,RES,BOTHSEX,1729
2010,Kyrgyzstan,DIA,MALE,176
2010,Kyrgyzstan,CAR,FEMALE,8294
2010,Kyrgyzstan,RES,FEMALE,740
2010,Kyrgyzstan,CAN,FEMALE,1976
2010,Kyrgyzstan,DIA,FEMALE,184
2010,Kyrgyzstan,RES,MALE,989
2010,Kyrgyzstan,CAR,MALE,8305
2015,Kyrgyzstan,CAR,BOTHSEX,16251
2015,Kyrgyzstan,DIA,BOTHSEX,393
2015,Kyrgyzstan,RES,BOTHSEX,1325
2015,Kyrgyzstan,CAN,FEMALE,2228
2015,Kyrgyzstan,CAR,MALE,8342
2015,Kyrgyzstan,CAN,BOTHSEX,4739
2010,Finland,DIA,FEMALE,214
2010,Finland,RES,FEMALE,596
2010,Finland,CAR,FEMALE,10601
2015,Finland,CAN,MALE,6579
2015,Finland,DIA,BOTHSEX,490
2015,Finland,RES,BOTHSEX,1708
2015,Finland,RES,FEMALE,643
2015,Finland,CAN,BOTHSEX,12334
2015,Finland,DIA,MALE,256
2015,Kyrgyzstan,CAR,FEMALE,7909
2015,Kyrgyzstan,DIA,FEMALE,206
2015,Kyrgyzstan,RES,FEMALE,576
2015,Kyrgyzstan,CAN,MALE,2510
2015,Kyrgyzstan,DIA,MALE,187
2015,Kyrgyzstan,RES,MALE,749
2019,Kyrgyzstan,CAN,FEMALE,2112
2019,Kyrgyzstan,RES,FEMALE,552
2019,Kyrgyzstan,DIA,FEMALE,201
2019,Kyrgyzstan,RES,BOTHSEX,1202
2019,Kyrgyzstan,DIA,BOTHSEX,371
2019,Kyrgyzstan,CAN,BOTHSEX,4390
2019,Kyrgyzstan,CAR,FEMALE,7146
2019,Kyrgyzstan,CAR,MALE,6828
2019,Kyrgyzstan,DIA,MALE,170
2019,Kyrgyzstan,CAN,MALE,2278
2019,Kyrgyzstan,RES,MALE,651
2019,Kyrgyzstan,CAR,BOTHSEX,13974
2015,Azerbaijan,RES,MALE,1244
2015,Azerbaijan,CAR,BOTHSEX,48901
2015,Azerbaijan,DIA,BOTHSEX,2631
2015,Azerbaijan,CAN,MALE,4154
2015,Azerbaijan,CAR,MALE,23624
2015,Azerbaijan,DIA,MALE,1204
2015,Azerbaijan,CAN,FEMALE,3398
2015,Azerbaijan,RES,BOTHSEX,2273
2015,Azerbaijan,CAN,BOTHSEX,7552
2015,Finland,CAR,BOTHSEX,19605
2015,Finland,CAR,FEMALE,9980
2015,Finland,CAN,FEMALE,5755
2015,Finland,DIA,FEMALE,234
2015,Finland,RES,MALE,1064
2015,Finland,CAR,MALE,9625
2019,Finland,RES,BOTHSEX,1829
2019,Finland,CAR,BOTHSEX,18900
2019,Finland,RES,FEMALE,682
2000,Latvia,DIA,BOTHSEX,242
2000,Latvia,RES,BOTHSEX,490
2000,Latvia,CAN,MALE,3086
2000,Latvia,RES,MALE,322
2000,Latvia,CAR,MALE,8034
2000,Latvia,DIA,MALE,87
2000,Latvia,CAN,BOTHSEX,5767
2000,Latvia,CAR,BOTHSEX,19099
2000,Latvia,CAN,FEMALE,2680
2019,Bosnia and Herzegovina,DIA,BOTHSEX,2582
2019,Bosnia and Herzegovina,CAN,MALE,5012
2019,Bosnia and Herzegovina,DIA,MALE,1078
2019,Bosnia and Herzegovina,CAR,FEMALE,10665
2019,Bosnia and Herzegovina,CAR,MALE,8986
2019,Bosnia and Herzegovina,RES,BOTHSEX,1262
2019,Bosnia and Herzegovina,CAR,BOTHSEX,19651
2019,Bosnia and Herzegovina,CAN,BOTHSEX,8407
2000,Bulgaria,CAR,BOTHSEX,79704
2019,Finland,CAN,BOTHSEX,12824
2019,Finland,CAN,FEMALE,6000
2019,Finland,CAR,FEMALE,9317
2019,Finland,DIA,BOTHSEX,570
2019,Finland,DIA,MALE,324
2019,Finland,CAN,MALE,6824
2019,Finland,RES,MALE,1147
2019,Finland,DIA,FEMALE,246
2019,Finland,CAR,MALE,9583
2000,Bulgaria,CAN,BOTHSEX,15798
2000,Bulgaria,CAR,MALE,39454
2000,Bulgaria,DIA,MALE,932
2000,Bulgaria,CAN,MALE,9031
2000,Bulgaria,RES,MALE,2350
2000,Bulgaria,DIA,FEMALE,1240
2000,Bulgaria,CAR,FEMALE,40250
2000,Bulgaria,CAN,FEMALE,6767
2000,Bulgaria,RES,FEMALE,1376
2000,Latvia,DIA,FEMALE,156
2000,Latvia,CAR,FEMALE,11064
2000,Latvia,RES,FEMALE,167
2005,Latvia,DIA,BOTHSEX,241
2005,Latvia,CAR,FEMALE,11102
2005,Latvia,DIA,MALE,92
2005,Latvia,RES,MALE,306
2005,Latvia,CAR,MALE,8641
2005,Latvia,CAN,MALE,3349
2005,Latvia,CAN,BOTHSEX,6118
2005,Latvia,CAR,BOTHSEX,19743
2005,Latvia,RES,BOTHSEX,432
2005,Latvia,CAN,FEMALE,2768
2005,Latvia,DIA,FEMALE,149
2005,Latvia,RES,FEMALE,126
2010,Latvia,DIA,MALE,187
2010,Latvia,CAR,MALE,7549
2010,Latvia,CAN,MALE,3339
2010,Latvia,RES,MALE,318
2010,Latvia,RES,BOTHSEX,451
2010,Latvia,CAN,BOTHSEX,6335
2010,Latvia,CAR,BOTHSEX,17576
2010,Latvia,RES,FEMALE,134
2010,Latvia,CAN,FEMALE,2996
2010,Latvia,DIA,FEMALE,393
2010,Latvia,CAR,FEMALE,10028
2010,Latvia,DIA,BOTHSEX,579
2000,Bulgaria,DIA,BOTHSEX,2172
2000,Bulgaria,RES,BOTHSEX,3727
2005,Bulgaria,CAR,MALE,37693
2005,Bulgaria,CAN,MALE,10615
2005,Bulgaria,RES,MALE,2805
2005,Bulgaria,CAN,BOTHSEX,18266
2005,Bulgaria,CAR,BOTHSEX,75497
2005,Bulgaria,RES,FEMALE,1575
2005,Bulgaria,DIA,MALE,857
2015,Latvia,CAR,BOTHSEX,16930
2015,Latvia,RES,BOTHSEX,400
2015,Latvia,DIA,BOTHSEX,490
2015,Latvia,CAN,BOTHSEX,6019
2015,Latvia,RES,FEMALE,119
2015,Latvia,CAN,FEMALE,2910
2015,Latvia,DIA,MALE,187
2015,Latvia,CAN,MALE,3108
2015,Latvia,CAR,MALE,6740
2005,Bulgaria,DIA,FEMALE,1096
2005,Bulgaria,CAR,FEMALE,37804
2005,Bulgaria,CAN,FEMALE,7651
2005,Bulgaria,DIA,BOTHSEX,1954
2005,Bulgaria,RES,BOTHSEX,4381
2010,Bulgaria,CAN,BOTHSEX,17185
2010,Bulgaria,RES,BOTHSEX,5315
2010,Bulgaria,CAR,MALE,36086
2010,Bulgaria,RES,MALE,3353
2015,Latvia,RES,MALE,281
2015,Latvia,CAR,FEMALE,10190
2015,Latvia,DIA,FEMALE,304
2019,Latvia,CAR,FEMALE,10189
2019,Latvia,DIA,FEMALE,406
2019,Latvia,CAN,FEMALE,2846
2019,Latvia,RES,FEMALE,137
2019,Latvia,CAR,MALE,6738
2019,Latvia,CAN,BOTHSEX,6079
2010,Bulgaria,DIA,FEMALE,1008
2010,Bulgaria,RES,FEMALE,1962
2010,Bulgaria,CAR,BOTHSEX,74557
2010,Bulgaria,DIA,BOTHSEX,1817
2010,Bulgaria,CAN,FEMALE,7014
2010,Bulgaria,CAR,FEMALE,38472
2010,Bulgaria,CAN,MALE,10171
2010,Bulgaria,DIA,MALE,808
2015,Bulgaria,CAR,BOTHSEX,70305
2019,Latvia,DIA,BOTHSEX,608
2019,Latvia,CAR,BOTHSEX,16927
2019,Latvia,RES,BOTHSEX,449
2019,Latvia,DIA,MALE,202
2019,Latvia,CAN,MALE,3233
2019,Latvia,RES,MALE,311
2000,Lithuania,DIA,FEMALE,144
2000,Lithuania,CAN,FEMALE,3448
2000,Lithuania,DIA,MALE,101
2000,France,DIA,BOTHSEX,11504
2000,France,CAR,BOTHSEX,165506
2000,France,CAN,BOTHSEX,152121
2000,France,DIA,MALE,5173
2000,France,CAR,FEMALE,90456
2000,France,DIA,FEMALE,6332
2000,France,RES,BOTHSEX,27371
2000,France,CAN,FEMALE,60916
2000,France,RES,MALE,14866
2000,Lithuania,RES,MALE,825
2000,Lithuania,CAR,MALE,8868
2000,Lithuania,DIA,BOTHSEX,245
2000,Lithuania,CAR,BOTHSEX,20772
2000,Lithuania,RES,FEMALE,409
2000,Lithuania,RES,BOTHSEX,1234
2000,Lithuania,CAN,BOTHSEX,7821
2000,Lithuania,CAR,FEMALE,11904
2000,Lithuania,CAN,MALE,4373
2000,France,CAR,MALE,75049
2000,France,CAN,MALE,91205
2000,France,RES,FEMALE,12505
2005,France,CAN,BOTHSEX,158592
2005,France,RES,MALE,14839
2005,France,CAR,BOTHSEX,153329
2005,France,RES,FEMALE,12387
2005,France,DIA,BOTHSEX,12041
2005,France,RES,BOTHSEX,27225
2005,Lithuania,CAR,FEMALE,13167
2005,Lithuania,DIA,FEMALE,197
2005,Lithuania,RES,FEMALE,364
2005,Lithuania,CAN,MALE,4466
2005,Lithuania,CAR,MALE,10532
2005,Lithuania,CAN,BOTHSEX,8146
2005,Lithuania,CAR,BOTHSEX,23699
2005,Lithuania,DIA,BOTHSEX,342
2005,Lithuania,RES,BOTHSEX,1175
2005,Lithuania,CAN,FEMALE,3680
2005,Lithuania,RES,MALE,811
2005,Lithuania,DIA,MALE,145
2010,Lithuania,RES,FEMALE,276
2010,Lithuania,DIA,FEMALE,161
2010,Lithuania,CAR,FEMALE,13505
2010,Lithuania,CAN,FEMALE,3590
2010,Lithuania,CAN,MALE,4519
2010,Lithuania,CAR,BOTHSEX,23123
2015,Bulgaria,CAN,FEMALE,7721
2015,Bulgaria,CAR,FEMALE,36590
2015,Bulgaria,RES,BOTHSEX,5163
2015,Bulgaria,DIA,MALE,822
2015,Bulgaria,RES,MALE,3214
2015,Bulgaria,CAN,BOTHSEX,18427
2015,Bulgaria,DIA,BOTHSEX,1810
2015,Bulgaria,CAN,MALE,10706
2015,Bulgaria,CAR,MALE,33716
2010,Lithuania,RES,BOTHSEX,916
2010,Lithuania,DIA,BOTHSEX,278
2010,Lithuania,CAN,BOTHSEX,8110
2010,Lithuania,RES,MALE,639
2010,Lithuania,DIA,MALE,116
2010,Lithuania,CAR,MALE,9618
2015,Lithuania,DIA,FEMALE,181
2015,Lithuania,CAR,FEMALE,14022
2015,Lithuania,RES,FEMALE,248
2005,France,CAR,MALE,70264
2005,France,CAN,FEMALE,64703
2005,France,CAR,FEMALE,83065
2005,France,DIA,FEMALE,6380
2005,France,CAN,MALE,93889
2005,France,DIA,MALE,5661
2010,France,DIA,BOTHSEX,11690
2010,France,CAN,BOTHSEX,166062
2010,France,CAR,BOTHSEX,149789
2010,France,DIA,MALE,5525
2010,France,CAN,MALE,97036
2010,France,CAR,MALE,68761
2010,France,CAR,FEMALE,81028
2010,France,RES,MALE,15234
2010,France,RES,FEMALE,12430
2010,France,DIA,FEMALE,6165
2010,France,RES,BOTHSEX,27663
2010,France,CAN,FEMALE,69026
2019,Azerbaijan,RES,FEMALE,1078
2019,Azerbaijan,DIA,MALE,1361
2019,Azerbaijan,CAN,MALE,4587
2019,Azerbaijan,RES,BOTHSEX,2417
2019,Azerbaijan,DIA,BOTHSEX,2942
2019,Azerbaijan,CAR,BOTHSEX,51281
2019,Azerbaijan,CAR,MALE,25230
2019,Azerbaijan,RES,MALE,1339
2019,Azerbaijan,CAN,FEMALE,3723
2015,Lithuania,RES,MALE,563
2015,Lithuania,CAN,MALE,4708
2015,Lithuania,CAN,BOTHSEX,8486
2015,Lithuania,CAR,BOTHSEX,23675
2015,Lithuania,DIA,BOTHSEX,324
2015,Lithuania,DIA,MALE,143
2015,Lithuania,CAR,MALE,9653
2015,Lithuania,CAN,FEMALE,3778
2015,Lithuania,RES,BOTHSEX,811
2019,Lithuania,DIA,BOTHSEX,642
2019,Lithuania,CAR,BOTHSEX,23965
2019,Lithuania,RES,BOTHSEX,669
2019,Lithuania,RES,FEMALE,213
2019,Lithuania,DIA,FEMALE,374
2019,Lithuania,DIA,MALE,268
2019,Lithuania,CAN,BOTHSEX,8549
2019,Lithuania,CAR,FEMALE,14528
2019,Lithuania,CAN,FEMALE,3870
2015,France,RES,MALE,17624
2015,France,DIA,MALE,6335
2015,France,RES,FEMALE,16092
2015,France,CAN,MALE,100299
2015,France,CAN,FEMALE,74849
2015,France,CAR,BOTHSEX,151908
2015,France,DIA,BOTHSEX,12946
2015,France,RES,BOTHSEX,33716
2015,France,CAN,BOTHSEX,175149
2015,France,DIA,FEMALE,6610
2015,France,CAR,MALE,68918
2015,France,CAR,FEMALE,82989
2019,France,RES,BOTHSEX,35420
2019,France,CAR,FEMALE,80849
2019,France,CAR,BOTHSEX,148624
2019,France,CAN,BOTHSEX,182100
2019,France,RES,MALE,18179
2019,France,DIA,BOTHSEX,12957
2019,Lithuania,RES,MALE,455
2019,Lithuania,CAR,MALE,9437
2019,Lithuania,CAN,MALE,4679
2000,Luxembourg,DIA,BOTHSEX,50
2000,Luxembourg,CAN,BOTHSEX,983
2000,Luxembourg,CAR,BOTHSEX,1424
2000,Luxembourg,CAN,FEMALE,450
2000,Luxembourg,DIA,FEMALE,32
2000,Luxembourg,RES,BOTHSEX,282
2000,Luxembourg,RES,FEMALE,129
2000,Luxembourg,CAR,FEMALE,804
2000,Luxembourg,CAN,MALE,532
2000,Luxembourg,DIA,MALE,18
2000,Luxembourg,CAR,MALE,620
2000,Luxembourg,RES,MALE,154
2005,Luxembourg,DIA,BOTHSEX,53
2005,Luxembourg,RES,BOTHSEX,268
2005,Luxembourg,CAN,BOTHSEX,984
2019,Azerbaijan,CAR,FEMALE,26052
2019,Azerbaijan,DIA,FEMALE,1581
2019,Azerbaijan,CAN,BOTHSEX,8310
2000,Austria,CAR,FEMALE,23262
2000,Austria,CAN,MALE,9653
2000,Austria,RES,MALE,2171
2000,Austria,DIA,MALE,557
2000,Austria,DIA,FEMALE,855
2000,Austria,RES,FEMALE,2378
2005,Luxembourg,RES,FEMALE,130
2005,Luxembourg,DIA,FEMALE,30
2005,Luxembourg,CAR,BOTHSEX,1462
2005,Luxembourg,CAR,FEMALE,831
2005,Luxembourg,DIA,MALE,23
2005,Luxembourg,RES,MALE,139
2005,Luxembourg,CAR,MALE,631
2005,Luxembourg,CAN,MALE,547
2005,Luxembourg,CAN,FEMALE,436
2010,Luxembourg,CAR,MALE,565
2010,Luxembourg,CAN,BOTHSEX,1082
