Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2019,Austria,RES,BOTHSEX,4746
2019,Austria,DIA,MALE,1361
2019,Austria,CAR,MALE,14826
2000,Armenia,RES,BOTHSEX,1177
2000,Croatia,RES,MALE,1039
2000,Croatia,RES,FEMALE,688
2000,Croatia,DIA,FEMALE,511
2000,Croatia,CAR,FEMALE,15041
2000,Croatia,CAN,FEMALE,4914
2000,Croatia,DIA,MALE,403
2000,Croatia,CAR,MALE,11617
2000,Croatia,CAN,MALE,6907
2000,Croatia,CAR,BOTHSEX,26658
2005,Albania,RES,FEMALE,260
2005,Albania,CAN,FEMALE,1873
2005,Albania,RES,MALE,449
2005,Albania,CAR,MALE,5313
2005,Albania,DIA,MALE,112
2005,Albania,CAN,MALE,2843
2010,Albania,DIA,BOTHSEX,169
2010,Albania,RES,BOTHSEX,591
2010,Albania,CAR,BOTHSEX,9808
2000,Armenia,RES,MALE,805
2000,Armenia,CAN,MALE,2188
2000,Armenia,DIA,MALE,408
2000,Armenia,CAR,MALE,6337
2000,Armenia,DIA,FEMALE,866
2000,Armenia,CAN,BOTHSEX,4016
2000,Armenia,CAR,FEMALE,7354
2000,Armenia,CAR,BOTHSEX,13692
2000,Armenia,CAN,FEMALE,1828
2000,Croatia,DIA,BOTHSEX,914
2000,Croatia,CAN,BOTHSEX,11821
2000,Croatia,RES,BOTHSEX,1726
2005,Croatia,RES,MALE,1177
2005,Croatia,DIA,MALE,443
2005,Croatia,CAR,MALE,11218
2005,Croatia,DIA,FEMALE,647
2005,Croatia,CAN,FEMALE,5266
2005,Croatia,RES,FEMALE,796
2005,Croatia,CAN,MALE,7492
2005,Croatia,CAR,FEMALE,14736
2005,Croatia,CAR,BOTHSEX,25954
2005,Croatia,RES,BOTHSEX,1973
2005,Croatia,DIA,BOTHSEX,1089
2005,Croatia,CAN,BOTHSEX,12758
2010,Croatia,DIA,BOTHSEX,1437
2010,Croatia,CAN,BOTHSEX,13582
2010,Croatia,CAR,BOTHSEX,25623
2010,Croatia,RES,MALE,1151
2010,Croatia,CAR,MALE,10854
2010,Croatia,RES,BOTHSEX,1911
2010,Croatia,DIA,MALE,635
2010,Croatia,CAN,MALE,7802
2010,Croatia,CAR,FEMALE,14769
2010,Croatia,DIA,FEMALE,801
2010,Croatia,RES,FEMALE,760
2010,Croatia,CAN,FEMALE,5780
2010,Albania,CAN,FEMALE,2364
2010,Albania,CAN,MALE,2950
2010,Albania,CAN,BOTHSEX,5314
2010,Albania,CAR,MALE,5227
2010,Albania,RES,MALE,384
2010,Albania,DIA,MALE,86
2010,Albania,RES,FEMALE,207
2010,Albania,CAR,FEMALE,4581
2010,Albania,DIA,FEMALE,83
2000,Hungary,DIA,FEMALE,1467
2000,Hungary,CAN,FEMALE,15150
2000,Hungary,CAR,FEMALE,38622
2000,Hungary,RES,FEMALE,2021
2000,Hungary,CAN,MALE,19525
2000,Hungary,RES,MALE,3011
2000,Hungary,RES,BOTHSEX,5032
2000,Hungary,CAR,BOTHSEX,71513
2000,Hungary,DIA,BOTHSEX,2379
2015,Croatia,RES,MALE,1315
2015,Croatia,CAR,BOTHSEX,25764
2015,Croatia,CAR,MALE,10975
2015,Croatia,CAN,MALE,8078
2015,Croatia,RES,FEMALE,942
2015,Croatia,DIA,BOTHSEX,1672
2015,Croatia,DIA,FEMALE,976
2015,Croatia,CAN,FEMALE,6028
2015,Croatia,CAR,FEMALE,14789
2000,Armenia,DIA,BOTHSEX,1274
2000,Armenia,RES,FEMALE,372
2005,Armenia,CAR,BOTHSEX,14262
2005,Armenia,CAN,BOTHSEX,4954
2005,Armenia,RES,BOTHSEX,1271
2005,Armenia,DIA,BOTHSEX,1418
2005,Armenia,RES,MALE,785
2005,Armenia,CAN,MALE,2770
2005,Armenia,DIA,FEMALE,915
2000,Hungary,CAN,BOTHSEX,34674
2000,Hungary,CAR,MALE,32891
2000,Hungary,DIA,MALE,913
2005,Hungary,RES,FEMALE,2513
2005,Hungary,CAN,FEMALE,13458
2005,Hungary,CAR,FEMALE,37273
2005,Hungary,DIA,FEMALE,2092
2005,Hungary,RES,MALE,3475
2005,Hungary,RES,BOTHSEX,5989
2015,Croatia,CAN,BOTHSEX,14106
2015,Croatia,RES,BOTHSEX,2257
2015,Croatia,DIA,MALE,696
2019,Croatia,CAN,FEMALE,5884
2019,Croatia,RES,FEMALE,978
2019,Croatia,CAR,FEMALE,12416
2019,Croatia,DIA,FEMALE,1539
2019,Croatia,DIA,MALE,824
2019,Croatia,CAN,MALE,7891
2019,Croatia,CAN,BOTHSEX,13774
2019,Croatia,DIA,BOTHSEX,2363
2019,Croatia,CAR,BOTHSEX,22106
2019,Croatia,RES,BOTHSEX,2289
2019,Croatia,CAR,MALE,9689
2019,Croatia,RES,MALE,1311
2000,Cyprus,RES,FEMALE,203
2000,Cyprus,DIA,FEMALE,219
2000,Cyprus,DIA,BOTHSEX,425
2005,Hungary,DIA,BOTHSEX,3574
2005,Hungary,CAN,BOTHSEX,30543
2005,Hungary,CAR,BOTHSEX,69071
2005,Hungary,CAR,MALE,31798
2005,Hungary,CAN,MALE,17085
2005,Hungary,DIA,MALE,1482
2010,Hungary,RES,FEMALE,2321
2010,Hungary,DIA,FEMALE,1376
2010,Hungary,DIA,BOTHSEX,2443
2010,Hungary,CAN,FEMALE,14082
2010,Hungary,CAR,FEMALE,34625
2010,Hungary,CAN,BOTHSEX,31719
2010,Hungary,RES,BOTHSEX,5500
2010,Hungary,CAR,BOTHSEX,62025
2010,Hungary,CAN,MALE,17637
2010,Hungary,CAR,MALE,27400
2010,Hungary,DIA,MALE,1067
2010,Hungary,RES,MALE,3180
2000,Cyprus,RES,BOTHSEX,443
2000,Cyprus,CAN,BOTHSEX,1227
2000,Cyprus,RES,MALE,239
2000,Cyprus,DIA,MALE,206
2000,Cyprus,CAN,MALE,711
2000,Cyprus,CAR,FEMALE,1168
2000,Cyprus,CAR,BOTHSEX,2413
2000,Cyprus,CAN,FEMALE,517
2000,Cyprus,CAR,MALE,1245
2015,Hungary,CAR,BOTHSEX,61780
2015,Hungary,DIA,BOTHSEX,2667
2015,Hungary,RES,FEMALE,3258
2015,Hungary,CAR,FEMALE,35093
2015,Hungary,DIA,FEMALE,1490
2015,Hungary,RES,BOTHSEX,7137
2015,Hungary,CAN,BOTHSEX,31957
2015,Hungary,CAN,FEMALE,14824
2015,Hungary,DIA,MALE,1176
2005,Cyprus,DIA,BOTHSEX,443
2005,Cyprus,CAN,BOTHSEX,1281
2005,Cyprus,DIA,FEMALE,229
2005,Cyprus,CAN,MALE,731
2005,Cyprus,CAR,MALE,1301
2005,Cyprus,CAR,FEMALE,1261
2005,Cyprus,RES,BOTHSEX,479
2005,Cyprus,CAR,BOTHSEX,2562
2005,Cyprus,RES,MALE,256
2005,Armenia,RES,FEMALE,486
2005,Armenia,CAN,FEMALE,2184
2005,Armenia,CAR,FEMALE,7417
2005,Armenia,CAR,MALE,6845
2005,Armenia,DIA,MALE,503
2010,Armenia,CAR,MALE,6753
2010,Armenia,CAN,MALE,3185
2010,Armenia,DIA,FEMALE,885
2010,Armenia,DIA,BOTHSEX,1420
2015,Hungary,RES,MALE,3879
2015,Hungary,CAN,MALE,17133
2015,Hungary,CAR,MALE,26687
2019,Hungary,CAR,BOTHSEX,62095
2019,Hungary,CAN,BOTHSEX,31654
2019,Hungary,RES,BOTHSEX,7044
2019,Hungary,DIA,FEMALE,1684
2019,Hungary,CAR,FEMALE,34820
2019,Hungary,DIA,BOTHSEX,3025
2005,Cyprus,DIA,MALE,214
2005,Cyprus,CAN,FEMALE,551
2005,Cyprus,RES,FEMALE,223
2010,Cyprus,RES,MALE,250
2010,Cyprus,CAR,FEMALE,1186
2010,Cyprus,RES,FEMALE,211
2010,Cyprus,DIA,FEMALE,216
2010,Cyprus,CAN,FEMALE,632
2010,Cyprus,CAR,MALE,1159
2010,Cyprus,CAN,MALE,810
