Year,GeoAreaName,Location,Value
2000,Tajikistan,URBAN,60.27623
2002,Tajikistan,URBAN,55.72756
2004,Tajikistan,URBAN,51.1789
2006,Tajikistan,URBAN,46.63024
2008,Tajikistan,URBAN,42.08157
2010,Tajikistan,URBAN,37.53291
2012,Tajikistan,URBAN,32.98425
2014,Tajikistan,URBAN,28.43558
2016,Tajikistan,URBAN,23.88692
2018,Tajikistan,URBAN,19.33825
2020,Tajikistan,URBAN,17.06392
2000,Türkiye,URBAN,24.58136
2002,Türkiye,URBAN,23.18733
2004,Türkiye,URBAN,21.79329
2006,Türkiye,URBAN,20.39926
2008,Türkiye,URBAN,19.00523
2010,Türkiye,URBAN,17.61119
2012,Türkiye,URBAN,16.21716
2014,Türkiye,URBAN,14.82313
2016,Türkiye,URBAN,14.12611
2018,Türkiye,URBAN,14.12611
2000,Turkmenistan,URBAN,10.5
2002,Turkmenistan,URBAN,10.5
2004,Turkmenistan,URBAN,10.50752
2006,Turkmenistan,URBAN,10.25739
2008,Turkmenistan,URBAN,10.00727
2010,Turkmenistan,URBAN,9.75714
2012,Turkmenistan,URBAN,9.50701
2014,Turkmenistan,URBAN,9.25688
2016,Turkmenistan,URBAN,9.00675
2018,Turkmenistan,URBAN,8.75663
2020,Turkmenistan,URBAN,8.5065
2000,Ukraine,URBAN,5.0
2002,Ukraine,URBAN,5.0
2004,Ukraine,URBAN,4.6
2006,Ukraine,URBAN,3.9
2000,Albania,URBAN,28.1
2002,Albania,URBAN,25.5
2004,Albania,URBAN,23.0
2006,Albania,URBAN,20.5
2008,Albania,URBAN,17.9
2010,Albania,URBAN,15.4
2012,Albania,URBAN,12.9
2014,Albania,URBAN,10.3
2016,Albania,URBAN,7.8
2018,Albania,URBAN,5.3
2020,Albania,URBAN,2.8
2000,Azerbaijan,URBAN,50.94
2002,Azerbaijan,URBAN,44.93667
2004,Azerbaijan,URBAN,38.93333
2006,Azerbaijan,URBAN,32.93
2008,Azerbaijan,URBAN,26.92667
2010,Azerbaijan,URBAN,26.92667
2012,Azerbaijan,URBAN,26.92667
2000,Austria,URBAN,4.5
2002,Austria,URBAN,4.4
2004,Austria,URBAN,4.4
2006,Austria,URBAN,4.4
2000,Armenia,URBAN,12.79599
2002,Armenia,URBAN,12.30696
2004,Armenia,URBAN,11.81793
2006,Armenia,URBAN,11.3289
2008,Armenia,URBAN,10.83987
2010,Armenia,URBAN,10.35084
2012,Armenia,URBAN,9.86181
2014,Armenia,URBAN,9.37278
2016,Armenia,URBAN,8.88375
2018,Armenia,URBAN,8.39472
2020,Armenia,URBAN,8.39472
2000,Bosnia and Herzegovina,URBAN,5.1
2002,Bosnia and Herzegovina,URBAN,5.1
2004,Bosnia and Herzegovina,URBAN,5.1
2006,Bosnia and Herzegovina,URBAN,4.9
2008,Bosnia and Herzegovina,URBAN,4.7
2010,Bosnia and Herzegovina,URBAN,4.5
2012,Bosnia and Herzegovina,URBAN,4.3
2014,Bosnia and Herzegovina,URBAN,4.0
2016,Bosnia and Herzegovina,URBAN,4.0
2018,Bosnia and Herzegovina,URBAN,4.0
2000,Belarus,URBAN,17.5584
2002,Belarus,URBAN,16.03017
2004,Belarus,URBAN,14.50194
2006,Belarus,URBAN,12.97371
2008,Belarus,URBAN,11.44548
2010,Belarus,URBAN,9.91726
2012,Belarus,URBAN,8.38903
2014,Belarus,URBAN,6.8608
2016,Belarus,URBAN,5.33257
2018,Belarus,URBAN,3.80434
2020,Belarus,URBAN,2.27611
2000,Georgia,URBAN,13.6
2002,Georgia,URBAN,13.6
2004,Georgia,URBAN,13.2148
2006,Georgia,URBAN,12.44783
2008,Georgia,URBAN,11.68087
2010,Georgia,URBAN,10.9139
2012,Georgia,URBAN,10.14694
2014,Georgia,URBAN,9.37997
2016,Georgia,URBAN,8.61301
2018,Georgia,URBAN,7.84604
2020,Georgia,URBAN,7.07908
2000,Hungary,URBAN,15.4
2002,Hungary,URBAN,14.2
2004,Hungary,URBAN,12.9
2006,Hungary,URBAN,11.6
2008,Hungary,URBAN,10.4
2010,Hungary,URBAN,9.1
2012,Hungary,URBAN,7.9
2014,Hungary,URBAN,7.2
2016,Hungary,URBAN,7.2
2000,Ireland,URBAN,6.2
2002,Ireland,URBAN,6.4
2004,Ireland,URBAN,6.7
2006,Ireland,URBAN,6.9
2008,Ireland,URBAN,7.2
2010,Ireland,URBAN,7.5
2012,Ireland,URBAN,7.7
2014,Ireland,URBAN,8.0
2016,Ireland,URBAN,8.3
2018,Ireland,URBAN,8.5
2020,Ireland,URBAN,8.5
2000,Kazakhstan,URBAN,24.45811
2002,Kazakhstan,URBAN,21.67406
2004,Kazakhstan,URBAN,18.89002
2006,Kazakhstan,URBAN,16.10598
2008,Kazakhstan,URBAN,13.32194
2010,Kazakhstan,URBAN,10.5379
2012,Kazakhstan,URBAN,7.75386
2014,Kazakhstan,URBAN,4.96982
2016,Kazakhstan,URBAN,2.18578
2018,Kazakhstan,URBAN,0.79376
2020,Kazakhstan,URBAN,0.79376
2000,Kyrgyzstan,URBAN,47.15842
2002,Kyrgyzstan,URBAN,42.68651
2004,Kyrgyzstan,URBAN,38.2146
2006,Kyrgyzstan,URBAN,33.74269
2008,Kyrgyzstan,URBAN,29.27078
2010,Kyrgyzstan,URBAN,24.79887
2012,Kyrgyzstan,URBAN,20.32696
2014,Kyrgyzstan,URBAN,15.85505
2016,Kyrgyzstan,URBAN,11.38314
2018,Kyrgyzstan,URBAN,6.91123
2020,Kyrgyzstan,URBAN,2.43932
2000,Republic of Moldova,URBAN,26.5
2002,Republic of Moldova,URBAN,23.7
2004,Republic of Moldova,URBAN,20.8
2006,Republic of Moldova,URBAN,18.0
2008,Republic of Moldova,URBAN,15.1
2010,Republic of Moldova,URBAN,12.3
2012,Republic of Moldova,URBAN,9.4
2014,Republic of Moldova,URBAN,6.5
2016,Republic of Moldova,URBAN,6.5
2018,Republic of Moldova,URBAN,6.5
2000,Montenegro,URBAN,19.1
